x,UB,LB,M
-0.05,0.2325890175818563,0.2097121187817798,0.22115056818181805
-0.03640905996670419,0.23258901758185568,0.20971211878178042,0.22115056818181805
-0.02648758523368654,0.23258901758185568,0.20971211878178042,0.22115056818181805
-0.01924472747190228,0.23258901758185568,0.20971211878178042,0.22115056818181805
-0.01395714581734536,0.23258901758185568,0.20971211878178042,0.22115056818181805
-0.01009678458521239,0.23258901758185568,0.20971211878178042,0.22115056818181805
-0.007278131510363134,0.23258901758185568,0.20971211878178042,0.22115056818181805
-0.005219729353472306,0.2325890175818557,0.20971211878178045,0.22115056818181808
-0.003716075109627959,0.2325890175818557,0.20971211878178045,0.22115056818181808
-0.002617116624604489,0.2325890175818557,0.20971211878178045,0.22115056818181808
-0.001739648995067414,0.23258901758185568,0.20971211878178042,0.22115056818181805
-0.0008698244975333391,0.23258901758185568,0.20971211878178042,0.22115056818181805
0.0,0.23258901758184736,0.2097121187817721,0.22115056818180973
0.0008914882248994977,0.2325890175818257,0.2097121187817535,0.2211505681817896
0.001782976449799005,0.2325890175817781,0.2097121187817053,0.2211505681817417
0.002674464674698533,0.23258901758174524,0.2097121187816712,0.22115056818170822
0.003565952899598004,0.23258901758164036,0.20971211878156815,0.22115056818160425
0.004457441124497438,0.23258901758153505,0.2097121187814659,0.22115056818150047
0.00534892934939678,0.23258901758143702,0.20971211878136964,0.22115056818140333
0.006240417574296114,0.23258901758134468,0.20971211878127913,0.2211505681813119
0.007131905799195436,0.2325890175812594,0.20971211878119692,0.22115056818122816
0.008023394024094811,0.23258901758116823,0.20971211878111723,0.22115056818114273
0.008914882248994234,0.23258901758105177,0.20971211878100987,0.22115056818103082
0.009806370473893577,0.23258901758094241,0.2097121187809169,0.22115056818092965
0.0106978586987929,0.23258901758083295,0.20971211878082258,0.22115056818082776
0.01158934692369223,0.23258901758071485,0.20971211878071724,0.22115056818071605
0.01248083514859175,0.23258901758058034,0.20971211878060822,0.22115056818059428
0.01337232337349147,0.2325890175804342,0.2097121187804894,0.2211505681804618
0.01426381159839122,0.23258901758028266,0.20971211878036516,0.22115056818032391
0.01515529982329097,0.23258901758012382,0.20971211878023602,0.22115056818017992
0.0160467880481907,0.23258901757994555,0.20971211878010687,0.2211505681800262
0.01693827627309051,0.23258901757976486,0.2097121187799717,0.22115056817986828
0.01782976449799041,0.2325890175795639,0.2097121187798302,0.22115056817969705
0.01872125272289031,0.23258901757936407,0.20971211877967405,0.22115056817951906
0.01961274094779022,0.23258901757915867,0.20971211877951473,0.2211505681793367
0.02050422917269014,0.2325890175789553,0.20971211877935866,0.221150568179157
0.02139571739759007,0.23258901757875114,0.20971211877921456,0.22115056817898285
0.02228720562248999,0.23258901757854808,0.20971211877905885,0.22115056817880346
0.02317869384738967,0.2325890175783108,0.209712118778901,0.2211505681786059
0.02407018207228917,0.2325890175780243,0.20971211877869883,0.22115056817836157
0.02496167029718797,0.2325890175777725,0.20971211877849316,0.22115056817813283
0.02585315852208661,0.23258901757752184,0.2097121187783074,0.22115056817791462
0.02674464674698497,0.2325890175772654,0.20971211877810253,0.22115056817768397
0.02763613497188353,0.2325890175769904,0.20971211877790275,0.22115056817744658
0.02852762319678226,0.23258901757668007,0.20971211877768645,0.22115056817718326
0.02941911142168101,0.2325890175763694,0.20971211877746554,0.22115056817691747
0.03031059964657972,0.2325890175760822,0.20971211877722262,0.2211505681766524
0.03120208876295687,0.23258901757575484,0.2097121187769499,0.22115056817635237
0.03211603615231537,0.2325890175753855,0.2097121187766424,0.22115056817601395
0.03306263821957166,0.23258901757495476,0.20971211877631724,0.221150568175636
0.03404330350149454,0.2325890175745353,0.2097121187760045,0.2211505681752699
0.03505990866283369,0.23258901757405281,0.20971211877562335,0.22115056817483808
0.03611437659401692,0.23258901757354442,0.20971211877520654,0.22115056817437548
0.03720781251492448,0.23258901757294395,0.20971211877469767,0.2211505681738208
0.03834153283913298,0.23258901757229344,0.20971211877414608,0.22115056817321976
0.03951707266937012,0.2325890175716044,0.20971211877358384,0.22115056817259413
0.04073611831285641,0.23258901757096584,0.20971211877308055,0.2211505681720232
0.04199973579341539,0.2325890175703095,0.20971211877255339,0.22115056817143144
0.04330924441866192,0.23258901756959025,0.20971211877198762,0.22115056817078893
0.04466648738017173,0.2325890175687357,0.20971211877129506,0.22115056817001538
0.04607394334706959,0.2325890175678185,0.20971211877054283,0.22115056816918066
0.04753441116795683,0.23258901756686512,0.20971211876974777,0.22115056816830644
0.04904722907946974,0.2325890175660065,0.2097121187690372,0.22115056816752185
0.05061579951229327,0.23258901756503741,0.2097121187682422,0.2211505681666398
0.0522429796984596,0.23258901756352263,0.20971211876698587,0.22115056816525425
0.05392886588664213,0.23258901756205205,0.2097121187657998,0.22115056816392592
0.05567779462008837,0.23258901756038114,0.2097121187644807,0.22115056816243092
0.05749073580602473,0.23258901755885825,0.20971211876330842,0.22115056816108333
0.05936984105820705,0.23258901755731004,0.20971211876209023,0.22115056815970013
0.06131888829774556,0.2325890175551678,0.20971211876028228,0.22115056815772505
0.0633395978503255,0.2325890175527804,0.20971211875827037,0.2211505681555254
0.06543449253022506,0.23258901754990724,0.20971211875588797,0.2211505681528976
0.0676064475245371,0.2325890175470364,0.20971211875346904,0.22115056815025272
0.06985839957815661,0.23258901754386246,0.2097121187507392,0.22115056814730083
0.07219325844631382,0.23258901754033687,0.20971211874769466,0.22115056814401576
0.07461397849477001,0.2325890175368062,0.2097121187447172,0.2211505681407617
