x,diffUB,diffLB,diffM
-0.05460651636123659,-8.26400455081308e-19,9.072533183875865e-19,4.0426431653139274e-20
-0.049206450539405866,-8.404412021785715e-19,9.221993115861053e-19,4.087905470376693e-20
-0.04380638471757525,-8.544819492758345e-19,9.371453047846237e-19,4.133167775439458e-20
-0.03840631889574453,-8.685226963730979e-19,9.520912979831423e-19,4.1784300805022235e-20
-0.033006253073913916,-8.990977152559721e-19,9.842488350756084e-19,4.257555990981813e-20
-0.027606187252083192,-9.393774346991287e-19,1.0265085938949654e-18,4.356557959791825e-20
-0.02220612143025258,-1.0241277573501515e-18,1.1136058107422268e-18,4.473902669603764e-20
-0.016806055608421855,-1.1733849093391554e-18,1.2632066179702274e-18,4.491085431553602e-20
-0.011405989786591186,-1.5174528696092477e-18,1.596769039191179e-18,3.965808479096566e-20
-0.006005923964760518,-2.9333940313124315e-18,2.8996099081381576e-18,-1.6892061587136988e-20
-0.0006058581429298493,-2.3684250813418197e-17,8.683606785531936e-18,-7.500322013943132e-18
0.004794207678900819,-1.1234962901833962e-15,9.207630438212133e-16,-1.0136662318109149e-16
0.010194273500731488,-3.1551000311767105e-14,2.6892296171171993e-14,-2.3293520702975543e-15
0.015594339322562156,-6.753461058640795e-13,5.760699827651906e-13,-4.9638061549444453e-14
0.020994405144392825,-1.1550210141080036e-11,9.849546535104442e-12,-8.503318029877971e-13
0.026394470966223493,-1.5969614949364448e-10,1.3629740331448044e-10,-1.1699373089582026e-11
0.03179453678805416,-1.7878119237183592e-09,1.5296522056609663e-09,-1.290798590286964e-10
0.03719460260988483,-1.2636087887419183e-08,1.085266449435181e-08,-8.917116965336863e-10
0.042594668431715554,-5.951485523401251e-08,5.1363217073754316e-08,-4.075819080129093e-09
0.04799473425354617,-2.050671800670424e-07,1.7791708931612714e-07,-1.3575045375457633e-08
0.05339480007537689,-5.716423446377778e-07,4.987751950715407e-07,-3.643357478311854e-08
0.05879486589720756,-1.360208570514251e-06,1.1938639990974643e-06,-8.317228570839322e-08
0.06419493171903823,-2.8611119739027535e-06,2.5266841126848925e-06,-1.672139306089309e-07
0.0695949975408689,-5.43067836419809e-06,4.825475129631193e-06,-3.026016172834479e-07
0.07499506336269957,-9.582401584279725e-06,8.568882803419144e-06,-5.067593904302913e-07
0.08039512918453023,-1.5850697322548638e-05,1.4265971757586115e-05,-7.923627824812629e-07
