"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient"
0, -5.000000000000000e-02, 0.000000000000000e+00, 2.390151788368373e-46, 1.819096359468645e-27, 5.236013299504294e-46, 1.176272102671411e-03, 3.673920740627240e-04, 8.690373663840967e+00, 1.758378690726378e-17, 2.512614530816281e+04, 5.807638068609240e+01, 1.548362541796569e-43, 1.178427527752332e-24, 3.391938077219559e-43, 7.620000000000000e-01, 2.380000000000000e-01, 4.280000000001108e+02, 9.627000000002506e+02, 9.626999999985761e+02, 5.629704824935969e+03, 1.139094057650872e-14, 9.035999999998822e+00, 4.531278158770296e-15
1, 0.000000000000000e+00, 0.000000000000000e+00, 4.444600075340585e-43, 5.148370230656953e-26, 9.638261083658078e-43, 1.545575929871253e-03, 4.827389387261917e-04, 1.136870914402006e+01, 4.054375463110620e-02, 3.293448029303170e+04, 7.631023375963831e+01, 2.191277175034453e-40, 2.538250007611978e-23, 4.751856446392280e-40, 7.619999999999999e-01, 2.380000000000000e-01, 6.426757128197457e+02, 1.100161751806890e+03, 9.627004727423659e+02, 5.605002122713514e+03, 1.998888597564821e+01, 8.415624620712086e+00, 8.775842780616083e-03
2, 1.931920337076797e-01, 5.173816881076040e-02, 8.471995192171861e-16, 7.617378316345062e-12, 2.840570274936506e-15, 8.041375036398570e-03, 2.511610568054829e-03, 5.127579188868796e+01, 1.532923215750698e+01, 1.628925679576119e+05, 8.501282343760431e+02, 8.028055285585166e-14, 7.218221076345870e-10, 2.691721925297041e-13, 7.619999999997942e-01, 2.379999992780343e-01, 1.180380177769981e+04, 3.883708181935029e+03, 1.246317218153462e+03, 4.858889585713020e+03, 1.452596707794963e+03, 4.052644609198589e+00, 4.650374585613765e-01
3, 3.346696875411197e-01, 1.931032050318336e-01, 3.872374914803024e-05, 2.058557102174894e-03, 5.686118497039115e-04, 7.811680917901549e-03, 1.731217665883776e-04, 3.204210016415537e+01, 2.958503607396027e+01, 1.614776607295469e+05, 7.931015527770943e+03, 3.635795386720789e-03, 1.932791266356375e-01, 5.338729811737292e-02, 7.334432762506927e-01, 1.625450360957609e-02, 1.483621739016959e+04, 4.105394289442485e+03, 4.566346138482132e+03, 3.008451467659801e+03, 2.777756287555757e+03, 2.876167545004958e+00, 5.890011911651917e-01
4, 4.846696875411197e-01, 1.931032050318336e-01, 1.146090506066078e-06, 1.173322655201074e-04, 2.781059050505288e-05, 4.350121754886016e-04, 8.121598391401439e-06, 2.640532028273343e+00, 7.796746964735344e-03, 9.207624571693093e+03, 3.275770701116573e+02, 1.944428788334579e-03, 1.990630178596557e-01, 4.718275957474108e-02, 7.380308909454687e-01, 1.377890283179981e-02, 5.498045844253392e+02, 2.741018461081739e+03, 3.769817256900532e+03, 4.479861289417367e+03, 1.322776794097061e+01, 3.844005515646371e+00, 4.979314468482037e-03
6, -3.640905996670419e-02, 0.000000000000000e+00, 2.449896743987844e-45, 6.828901663702118e-27, 5.538300004063779e-45, 1.176272102671411e-03, 3.673920740627240e-04, 8.690373663840980e+00, -8.176110555449395e-17, 2.512614530816286e+04, 5.807638068603694e+01, 1.587065879297003e-42, 4.423825963332088e-24, 3.587762213787280e-42, 7.620000000000000e-01, 2.379999999999999e-01, 4.280000000001109e+02, 9.627000000002506e+02, 9.626999999985761e+02, 5.629704824935976e+03, -5.296560403926226e-14, 9.035999999998836e+00, 4.533601891159409e-15
7, -2.648758523368654e-02, 0.000000000000000e+00, 4.734195029611782e-45, 1.013540508340136e-26, 1.082856604210173e-44, 1.176272102671412e-03, 3.673920740627244e-04, 8.690373663841001e+00, 1.736367574003634e-16, 2.512614530816295e+04, 5.807638068594640e+01, 3.066855538247777e-42, 6.565809608178122e-24, 7.014845719236201e-42, 7.620000000000000e-01, 2.379999999999999e-01, 4.280000000001114e+02, 9.627000000002506e+02, 9.626999999985761e+02, 5.629704824935983e+03, 1.124835051673734e-13, 9.035999999998847e+00, 4.552191750272312e-15
8, -1.924472747190228e-02, 0.000000000000000e+00, 6.920216298622747e-45, 1.265509203199159e-26, 1.596355754941322e-44, 1.176272102671414e-03, 3.673920740627251e-04, 8.690373663841001e+00, -8.907880476341512e-17, 2.512614530816291e+04, 5.807638068614589e+01, 4.482980432482107e-42, 8.198086230623940e-24, 1.034134094060964e-41, 7.620000000000000e-01, 2.380000000000000e-01, 4.280000000001122e+02, 9.627000000002506e+02, 9.626999999985761e+02, 5.629704824935973e+03, -5.770607759511212e-14, 9.035999999998831e+00, 4.587047736109007e-15
9, -1.395714581734536e-02, 0.000000000000000e+00, 9.033319473635338e-45, 1.474783756416169e-26, 2.098439484444510e-44, 1.176272102671413e-03, 3.673920740627247e-04, 8.690373663840985e+00, 6.390835126978467e-16, 2.512614530816286e+04, 5.807638068618041e+01, 5.851868307747308e-42, 9.553786235658488e-24, 1.359388600235633e-41, 7.620000000000000e-01, 2.380000000000000e-01, 4.280000000001518e+02, 9.627000000003410e+02, 9.626999999980807e+02, 5.629704824935970e+03, 4.140042389594916e-13, 9.035999999998399e+00, 6.206689211320749e-15
10, -1.009678458521239e-02, 0.000000000000000e+00, 1.042527943692590e-44, 1.600666981754543e-26, 2.431721462383688e-44, 1.176272102671410e-03, 3.673920740627239e-04, 8.690373663840973e+00, 1.653958810036226e-15, 2.512614530816282e+04, 5.807638068601185e+01, 6.753592908389067e-42, 1.036926946857708e-23, 1.575291762958689e-41, 7.620000000000000e-01, 2.379999999999999e-01, 4.279999999998500e+02, 9.626999999996642e+02, 9.627000000019086e+02, 5.629704824935973e+03, 1.071449888495461e-12, 9.036000000001582e+00, -6.130006042480021e-15
11, -7.278131510363134e-03, 0.000000000000000e+00, 1.154611365364047e-44, 1.696974230256609e-26, 2.701289866373857e-44, 1.176272102671411e-03, 3.673920740627240e-04, 8.690373663840989e+00, 2.250176772929716e-15, 2.512614530816292e+04, 5.807638068613434e+01, 7.479679730644583e-42, 1.099315677485518e-23, 1.749920680344388e-41, 7.620000000000000e-01, 2.379999999999999e-01, 4.279999999998502e+02, 9.626999999996642e+02, 9.627000000019086e+02, 5.629704824935981e+03, 1.457685425913245e-12, 9.036000000001597e+00, -6.125358577701795e-15
12, -5.219729353472306e-03, 0.000000000000000e+00, 1.245240921411184e-44, 1.771576487601600e-26, 2.920133126223406e-44, 1.176272102671415e-03, 3.673920740627254e-04, 8.690373663840999e+00, -4.228464712050615e-15, 2.512614530816288e+04, 5.807638068639863e+01, 8.066786417533397e-42, 1.147643713122658e-23, 1.891689377932833e-41, 7.620000000000001e-01, 2.380000000000000e-01, 4.279999999998519e+02, 9.626999999996642e+02, 9.627000000019086e+02, 5.629704824935967e+03, -2.739238738438941e-12, 9.036000000001572e+00, -6.055646606028406e-15
13, -3.716075109627959e-03, 0.000000000000000e+00, 1.309014336871502e-44, 1.822537278588090e-26, 3.074569658051154e-44, 1.176272102671410e-03, 3.673920740627236e-04, 8.690373663840942e+00, 1.225109317713903e-14, 2.512614530816268e+04, 5.807638068631460e+01, 8.479916529778711e-42, 1.180656587136690e-23, 1.991734798533638e-41, 7.620000000000000e-01, 2.379999999999999e-01, 4.279999999999680e+02, 9.626999999999300e+02, 9.627000000003646e+02, 5.629704824935957e+03, 7.936372017816827e-12, 9.036000000000307e+00, -1.308261335070603e-15
14, -2.617116624604489e-03, 0.000000000000000e+00, 1.358413899189112e-44, 1.861284151819919e-26, 3.194413584697879e-44, 1.176272102671410e-03, 3.673920740627237e-04, 8.690373663840958e+00, -2.168745669940630e-15, 2.512614530816277e+04, 5.807638068638206e+01, 8.799931485506467e-42, 1.205757171717077e-23, 2.069370808005772e-41, 7.620000000000000e-01, 2.380000000000000e-01, 4.279999999996402e+02, 9.626999999991926e+02, 9.627000000045589e+02, 5.629704824935968e+03, -1.404933600602792e-12, 9.036000000003787e+00, -1.470922602308511e-14
15, -1.739648995067414e-03, 0.000000000000000e+00, 1.404553135508591e-44, 1.896840336385919e-26, 3.306547889990805e-44, 1.176272102671412e-03, 3.673920740627243e-04, 8.690373663840942e+00, -5.971401213024771e-15, 2.512614530816265e+04, 5.807638068650976e+01, 9.098825746414247e-42, 1.228790798526518e-23, 2.142012453114204e-41, 7.620000000000000e-01, 2.380000000000000e-01, 4.279999999997064e+02, 9.626999999993400e+02, 9.627000000037789e+02, 5.629704824935948e+03, -3.868329202053654e-12, 9.036000000003062e+00, -1.200207778976850e-14
