"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient"
0, -5.000000000000000e-02, 0.000000000000000e+00, 1.989534148563183e-50, 8.574763227945509e-30, 4.346191773007723e-50, 1.493760463946224e-03, 4.311885875308687e-04, 1.033274309250383e+01, 4.556525351179567e-16, 2.842432754236999e+04, 5.247720144034776e+01, 1.033551587786976e-47, 4.454540353348958e-27, 2.257821717241145e-47, 7.760000000000000e-01, 2.240000000000000e-01, 4.877999999999586e+02, 8.782999999999248e+02, 8.783000000005652e+02, 5.367800817676237e+03, 2.367088805640418e-13, 9.012000000000359e+00, -1.494258349221376e-15
1, 0.000000000000000e+00, 0.000000000000000e+00, 7.619477854200031e-47, 2.996922253448788e-28, 1.647100489927142e-46, 1.962742669461903e-03, 5.665648942776628e-04, 1.351692825061992e+01, 4.846245253543788e-02, 3.725693483891916e+04, 6.895308106938265e+01, 3.012475810942770e-44, 1.184878540045109e-25, 6.512060903704069e-44, 7.760000000000000e-01, 2.240000000000000e-01, 7.324669172498034e+02, 1.003706409242302e+03, 8.783003500007990e+02, 5.344122021536687e+03, 1.916036358337791e+01, 8.393093102301188e+00, 8.822531589317274e-03
2, 1.931920337076797e-01, 5.173816881076040e-02, 3.518290402438195e-17, 7.373778618386567e-13, 1.189606476911645e-16, 1.017572812574200e-02, 2.937323581950996e-03, 6.072599317633718e+01, 1.816868881612486e+01, 1.835446091167109e+05, 7.738637055792367e+02, 2.683044710466785e-15, 5.623236133238066e-11, 9.071926988184100e-15, 7.759999999999930e-01, 2.239999999437628e-01, 1.340929112959319e+04, 3.544233875227104e+03, 1.118223438488716e+03, 4.630958111550478e+03, 1.385542375650362e+03, 4.039918391445355e+00, 4.659406549661362e-01
3, 3.346696875411197e-01, 1.931032050318336e-01, 2.201278788506111e-05, 2.124835504632479e-03, 8.084734998057341e-04, 9.697920781310959e-03, 3.587742114915235e-04, 3.736335266159405e+01, 3.443549585041804e+01, 1.785218070714330e+05, 9.279562879141202e+03, 1.691727596772260e-03, 1.632979375696327e-01, 6.213283560546225e-02, 7.453049701255232e-01, 2.757252910260952e-02, 1.691458049754698e+04, 3.921855049005609e+03, 4.315984176566741e+03, 2.871449774358168e+03, 2.646438013343312e+03, 2.848001139400099e+00, 5.923391338699903e-01
4, 4.846696875411197e-01, 1.931032050318336e-01, 5.120906800335689e-07, 1.290473878334560e-04, 4.431344014763302e-05, 5.731232381845964e-04, 1.888093712974418e-05, 3.275304223278070e+00, 6.608521599476390e-03, 1.082495700945318e+04, 3.888364791773913e+02, 6.686329752668839e-04, 1.684962102255932e-01, 5.785972775032845e-02, 7.483227304914774e-01, 2.465269855733416e-02, 6.782753518433874e+02, 2.663496517257603e+03, 3.465220214723982e+03, 4.276540255665359e+03, 8.628697282449487e+00, 3.777335222127574e+00, 6.868418613820410e-03
6, -3.640905996670419e-02, 0.000000000000000e+00, 2.043389230252266e-49, 3.218972682207045e-29, 4.588514371397500e-49, 1.493760463946221e-03, 4.311885875308679e-04, 1.033274309250385e+01, 3.672663258707547e-16, 2.842432754237009e+04, 5.247720144014594e+01, 1.061528994070931e-46, 1.672237859873227e-26, 2.383706918308592e-46, 7.759999999999999e-01, 2.240000000000000e-01, 4.877999999999577e+02, 8.782999999999248e+02, 8.783000000005652e+02, 5.367800817676252e+03, 1.907927514179852e-13, 9.012000000000386e+00, -1.525004405789718e-15
7, -2.648758523368654e-02, 0.000000000000000e+00, 3.951651145865530e-49, 4.777575325206185e-29, 8.965471582349821e-49, 1.493760463946218e-03, 4.311885875308672e-04, 1.033274309250383e+01, 2.067535147983276e-15, 2.842432754237008e+04, 5.247720144009996e+01, 2.052860122626768e-46, 2.481923000268590e-26, 4.657511104239502e-46, 7.760000000000000e-01, 2.240000000000000e-01, 4.877999999999569e+02, 8.782999999999248e+02, 8.783000000005652e+02, 5.367800817676256e+03, 1.074072659947430e-12, 9.012000000000391e+00, -1.555750462358058e-15
8, -1.924472747190228e-02, 0.000000000000000e+00, 5.779506786194258e-49, 5.965292450980642e-29, 1.321061605963929e-48, 1.493760463946218e-03, 4.311885875308670e-04, 1.033274309250385e+01, 4.969287813410621e-15, 2.842432754237016e+04, 5.247720144010430e+01, 3.002420651995660e-46, 3.098935240079861e-26, 6.862839330475940e-46, 7.759999999999999e-01, 2.240000000000000e-01, 4.877999999999568e+02, 8.782999999999248e+02, 8.783000000005652e+02, 5.367800817676264e+03, 2.581516539150738e-12, 9.012000000000405e+00, -1.559849936567171e-15
9, -1.395714581734536e-02, 0.000000000000000e+00, 7.547718533611868e-49, 6.951760119072661e-29, 1.735880409756212e-48, 1.493760463946223e-03, 4.311885875308683e-04, 1.033274309250388e+01, 2.051934105261940e-15, 2.842432754237026e+04, 5.247720144013378e+01, 3.920996520827500e-46, 3.611399540023304e-26, 9.017799242136832e-46, 7.760000000000000e-01, 2.240000000000000e-01, 4.877999999999582e+02, 8.782999999999248e+02, 8.783000000005652e+02, 5.367800817676266e+03, 1.065968007666181e-12, 9.012000000000409e+00, -1.508606508953269e-15
10, -1.009678458521239e-02, 0.000000000000000e+00, 8.713077048012096e-49, 7.545142017803853e-29, 2.011122968527968e-48, 1.493760463946225e-03, 4.311885875308689e-04, 1.033274309250388e+01, 7.382820786211027e-16, 2.842432754237020e+04, 5.247720144046126e+01, 4.526393590171226e-46, 3.919658035631723e-26, 1.044766856029124e-45, 7.760000000000000e-01, 2.240000000000000e-01, 4.877999999999589e+02, 8.782999999999248e+02, 8.783000000005652e+02, 5.367800817676257e+03, 3.835333086112529e-13, 9.012000000000391e+00, -1.481959926594040e-15
11, -7.278131510363134e-03, 0.000000000000000e+00, 9.651724619998421e-49, 7.999110192047178e-29, 2.233694399365652e-48, 1.493760463946228e-03, 4.311885875308699e-04, 1.033274309250389e+01, -7.343832236337731e-16, 2.842432754237023e+04, 5.247720144017042e+01, 5.014015624253655e-46, 4.155491900374771e-26, 1.160391438750880e-45, 7.759999999999999e-01, 2.240000000000000e-01, 4.877999999999600e+02, 8.782999999999248e+02, 8.783000000005652e+02, 5.367800817676253e+03, -3.815078757904001e-13, 9.012000000000386e+00, -1.443014921607475e-15
12, -5.219729353472306e-03, 0.000000000000000e+00, 1.041090653635069e-48, 8.350766490902801e-29, 2.414346056315887e-48, 1.493760463946231e-03, 4.311885875308707e-04, 1.033274309250391e+01, -1.830080480001456e-15, 2.842432754237026e+04, 5.247720144055601e+01, 5.408406278785365e-46, 4.338175332222364e-26, 1.254238939188156e-45, 7.759999999999999e-01, 2.240000000000000e-01, 4.877999999999610e+02, 8.782999999999248e+02, 8.783000000005652e+02, 5.367800817676251e+03, -9.507163208278948e-13, 9.012000000000381e+00, -1.408169390830021e-15
13, -3.716075109627959e-03, 0.000000000000000e+00, 1.094522265408188e-48, 8.590982856755510e-29, 2.541811752349010e-48, 1.493760463946232e-03, 4.311885875308712e-04, 1.033274309250391e+01, -1.785806733446226e-15, 2.842432754237024e+04, 5.247720144009085e+01, 5.685980439681299e-46, 4.462966357558008e-26, 1.320456637747663e-45, 7.759999999999999e-01, 2.240000000000000e-01, 4.877999999999843e+02, 8.782999999999661e+02, 8.783000000003034e+02, 5.367800817676247e+03, -9.277163632335583e-13, 9.012000000000164e+00, -5.657274408574758e-16
14, -2.617116624604489e-03, 0.000000000000000e+00, 1.135915906919092e-48, 8.773625882777410e-29, 2.640716767280080e-48, 1.493760463946234e-03, 4.311885875308715e-04, 1.033274309250391e+01, -1.068955549170639e-15, 2.842432754237022e+04, 5.247720143996094e+01, 5.901018034983572e-46, 4.557848362815103e-26, 1.371837226161249e-45, 7.760000000000000e-01, 2.240000000000000e-01, 4.877999999999925e+02, 8.782999999999797e+02, 8.783000000001256e+02, 5.367800817676241e+03, -5.553162814103462e-13, 9.012000000000084e+00, -2.726150349059576e-16
15, -1.739648995067414e-03, 0.000000000000000e+00, 1.174582183893903e-48, 8.941228804019643e-29, 2.733250553537785e-48, 1.493760463946233e-03, 4.311885875308713e-04, 1.033274309250390e+01, -1.029810935723618e-15, 2.842432754237017e+04, 5.247720144041034e+01, 6.101887127831204e-46, 4.644917119836817e-26, 1.419907997793725e-45, 7.760000000000000e-01, 2.240000000000000e-01, 4.878000000000048e+02, 8.783000000000026e+02, 8.782999999999898e+02, 5.367800817676239e+03, -5.349808790697063e-13, 9.011999999999963e+00, 1.721779167827100e-16
16, -8.698244975333391e-04, 0.000000000000000e+00, 1.213728656857251e-48, 9.107903287846877e-29, 2.827086099705774e-48, 1.493760463946228e-03, 4.311885875308698e-04, 1.033274309250386e+01, -2.143906443954794e-15, 2.842432754237006e+04, 5.247720144051095e+01, 6.305250811318377e-46, 4.731503558942500e-26, 1.468655026238968e-45, 7.760000000000000e-01, 2.239999999999999e-01, 4.878000000000258e+02, 8.783000000000433e+02, 8.782999999997672e+02, 5.367800817676236e+03, -1.113747110506473e-12, 9.011999999999750e+00, 9.305806454684567e-16
17, 8.914882248994977e-04, 2.387467401603415e-04, 1.675491855206413e-38, 1.244792727032485e-24, 3.691920974042636e-38, 2.960354976740959e-03, 8.545354572035758e-04, 2.015715351298292e+01, 2.393047570905731e-01, 5.584630089599179e+04, 1.040044000206303e+02, 4.391978968250424e-36, 3.262984215631559e-22, 9.677659261697979e-36, 7.760000000000000e-01, 2.240000000000000e-01, 1.452150043131558e+03, 1.319318793420876e+03, 8.783105061685728e+02, 5.283809289416668e+03, 6.272912977034989e+01, 7.238508607487560e+00, 3.477384198208139e-02
18, 1.782976449799005e-03, 4.774934803206855e-04, 4.574222072304749e-36, 1.748283130357590e-23, 1.019756608292736e-35, 3.285721659903854e-03, 9.484557368794630e-04, 2.226914802496573e+01, 4.288756483777388e-01, 6.183228936159193e+04, 1.154446221522279e+02, 1.080309501387391e-33, 4.128979413299385e-21, 2.408393680121763e-33, 7.760000000000000e-01, 2.240000000000000e-01, 1.763719498426019e+03, 1.443712753075419e+03, 8.783307003396548e+02, 5.259380025476373e+03, 1.012890127616177e+02, 6.888440528041161e+00, 4.600883604053524e-02
19, 2.674464674698533e-03, 7.162402204810351e-04, 1.015014416219203e-33, 2.322814942831248e-22, 2.291750423693682e-33, 3.687558715322242e-03, 1.064449938443534e-03, 2.485486086572624e+01, 7.002130793178323e-01, 6.919559745229071e+04, 1.295866227462074e+02, 2.135969208336447e-31, 4.888069681839722e-20, 4.822698338054503e-31, 7.760000000000000e-01, 2.240000000000000e-01, 2.178073541597538e+03, 1.588603966751100e+03, 8.783758582945961e+02, 5.230390488878796e+03, 1.473509688924791e+02, 6.531979280469377e+00, 6.095017619446238e-02
20, 3.565952899598004e-03, 9.549869606413694e-04, 5.326550528586620e-31, 4.982353767030881e-21, 1.229631322781382e-30, 4.248872919902038e-03, 1.226478781002650e-03, 2.841281281003556e+01, 1.161057319360846e+00, 7.941111628927596e+04, 1.493871939457632e+02, 9.728234494428033e-29, 9.099604991963622e-19, 2.245757697315062e-28, 7.760000000000000e-01, 2.240000000000000e-01, 2.826939099471688e+03, 1.789471384899142e+03, 8.785018519385292e+02, 5.189221507970151e+03, 2.120516421199036e+02, 6.108693915900326e+00, 8.434785065700462e-02
