"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient"
0, -5.000000000000000e-02, 0.000000000000000e+00, 1.321120137221632e-51, 1.714997605119799e-30, 2.876392930646809e-51, 1.323655375875688e-03, 3.711658480368447e-04, 8.720318779962684e+00, -6.167409623588594e-18, 2.301873210560508e+04, 4.274352572373841e+01, 7.795041262061827e-49, 1.011904725361350e-27, 1.697165984272130e-48, 7.810000000000000e-01, 2.190000000000000e-01, 4.209999999999991e+02, 8.603999999999985e+02, 8.604000000000041e+02, 5.145273529105112e+03, -3.638973560498015e-15, 8.725000000000009e+00, -3.800673973364223e-17
1, 0.000000000000000e+00, 0.000000000000000e+00, 6.025380751389101e-48, 6.328535401447941e-29, 1.300256262534404e-47, 1.739223932448388e-03, 4.876953152448105e-04, 1.140419292135921e+01, 4.362743292316253e-02, 3.016663226764808e+04, 5.616314554187554e+01, 2.705702399236353e-45, 2.841834255105339e-26, 5.838811909687797e-45, 7.810000000000000e-01, 2.190000000000000e-01, 6.321268287497033e+02, 9.832001902357173e+02, 8.604002806741984e+02, 5.121062621903551e+03, 1.959093620855581e+01, 8.123617316001500e+00, 9.410931047536181e-03
2, 1.931920337076797e-01, 5.173816881076040e-02, 1.747341483232748e-18, 7.762109029644603e-14, 5.541713433850979e-18, 8.833080335661485e-03, 2.476881681753191e-03, 5.008393972062936e+01, 1.504761214233744e+01, 1.454473972351445e+05, 5.225360470001975e+02, 1.544957870353818e-16, 6.863072588254061e-12, 4.899851498422373e-16, 7.809999999999996e-01, 2.189999999931367e-01, 1.097174365960643e+04, 3.360134840284115e+03, 1.031956093020976e+03, 4.428303087416928e+03, 1.330474153588171e+03, 3.967646472399898e+00, 4.702970326831339e-01
3, 3.346696875411197e-01, 1.931032050318336e-01, 1.003361795670361e-05, 1.491625479598560e-03, 7.636413326410031e-04, 8.262849914137860e-03, 5.209502355298467e-04, 3.050905967795767e+01, 2.803539708777226e+01, 1.391491655839774e+05, 7.896673898083925e+03, 9.080936393129598e-04, 1.349997195533651e-01, 6.911343843069662e-02, 7.478300929938303e-01, 4.714865538279498e-02, 1.366220705272939e+04, 3.815711993348746e+03, 4.215392854344285e+03, 2.761225627139079e+03, 2.537346536501291e+03, 2.812019235832798e+00, 5.902238351105870e-01
4, 4.846696875411197e-01, 1.931032050318336e-01, 2.227978098773783e-07, 9.951734794295680e-05, 4.796498615614632e-05, 5.322963365560295e-04, 3.050935631816471e-05, 2.920000163564191e+00, 2.564552719309523e-03, 9.219764576843811e+03, 3.611781260798135e+02, 3.135741245678686e-04, 1.400645063688176e-01, 6.750774862688926e-02, 7.491741406170264e-01, 4.294003026269895e-02, 6.067487781185346e+02, 2.626003579606133e+03, 3.386697298241474e+03, 4.109719460580044e+03, 3.609449187620952e+00, 3.706771665367140e+00, 8.279710131534302e-03
6, -3.640905996670419e-02, 0.000000000000000e+00, 1.360125246700048e-50, 6.438114142644077e-30, 3.029956649433173e-50, 1.323655375875688e-03, 3.711658480368446e-04, 8.720318779962684e+00, -5.338677805841418e-30, 2.301873210560508e+04, 4.274352572407622e+01, 8.025184175828105e-48, 3.798698087920769e-27, 1.787773605075850e-47, 7.810000000000000e-01, 2.189999999999999e-01, 4.209999999999991e+02, 8.603999999999985e+02, 8.604000000000041e+02, 5.145273529105111e+03, -3.149994660508770e-27, 8.725000000000010e+00, -4.054052238255171e-17
7, -2.648758523368654e-02, 0.000000000000000e+00, 2.632672686606711e-50, 9.555401149636941e-30, 5.915383808171199e-50, 1.323655375875689e-03, 3.711658480368449e-04, 8.720318779962687e+00, 3.015924172808317e-17, 2.301873210560509e+04, 4.274352572393989e+01, 1.553363062405559e-47, 5.637999462608851e-27, 3.490270079646158e-47, 7.810000000000000e-01, 2.190000000000000e-01, 4.209999999999994e+02, 8.603999999999985e+02, 8.604000000000041e+02, 5.145273529105111e+03, 1.779493984531292e-14, 8.725000000000007e+00, -2.787160913800430e-17
8, -1.924472747190228e-02, 0.000000000000000e+00, 3.852942127724157e-50, 1.193089767569171e-29, 8.711235167867706e-50, 1.323655375875689e-03, 3.711658480368448e-04, 8.720318779962685e+00, -2.685648132587103e-16, 2.301873210560509e+04, 4.274352572408075e+01, 2.273361976686575e-47, 7.039620171942949e-27, 5.139913900628186e-47, 7.810000000000000e-01, 2.190000000000000e-01, 4.209999999999992e+02, 8.603999999999985e+02, 8.604000000000041e+02, 5.145273529105111e+03, -1.584620309620164e-13, 8.725000000000009e+00, -3.547295708473274e-17
9, -1.395714581734536e-02, 0.000000000000000e+00, 5.034447262222178e-50, 1.390388473444232e-29, 1.144115313256842e-49, 1.323655375875689e-03, 3.711658480368449e-04, 8.720318779962689e+00, -9.442689216244946e-16, 2.301873210560509e+04, 4.274352572407454e+01, 2.970488681160152e-47, 8.203747119914439e-27, 6.750654860313972e-47, 7.810000000000000e-01, 2.190000000000000e-01, 4.209999999999994e+02, 8.603999999999985e+02, 8.604000000000041e+02, 5.145273529105112e+03, -5.571495732420839e-13, 8.725000000000009e+00, -2.787160913800430e-17
10, -1.009678458521239e-02, 0.000000000000000e+00, 5.813598092943562e-50, 1.509067964424536e-29, 1.325160915885409e-49, 1.323655375875689e-03, 3.711658480368449e-04, 8.720318779962691e+00, -9.971820576160258e-16, 2.301873210560509e+04, 4.274352572407680e+01, 3.430213175831452e-47, 8.903994964972284e-27, 7.818883178877381e-47, 7.810000000000000e-01, 2.190000000000000e-01, 4.209999999999994e+02, 8.603999999999985e+02, 8.604000000000041e+02, 5.145273529105113e+03, -5.883700555236192e-13, 8.725000000000009e+00, -2.787160913800430e-17
