"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient"
0, -5.000000000000000e-02, 0.000000000000000e+00, 5.398513792026648e-48, 2.104688579942853e-28, 1.183601978415948e-47, 1.638459474051677e-03, 4.381685032001315e-04, 1.149061088835782e+01, 1.611405319793564e-16, 3.261374649883644e+04, 6.614864251371377e+01, 2.599653790261939e-45, 1.013512580490310e-25, 5.699634173196090e-45, 7.890000000000000e-01, 2.110000000000000e-01, 5.534000000000590e+02, 9.221000000000976e+02, 9.220999999993718e+02, 5.533302553095907e+03, 7.759720746544522e-14, 9.058999999999511e+00, 1.856008685768215e-15
1, 0.000000000000000e+00, 0.000000000000000e+00, 1.390121303008315e-44, 6.532574614675224e-27, 3.012630717732796e-44, 2.152872897213078e-03, 5.757366049581235e-04, 1.503230726427489e+01, 5.333670060907635e-02, 4.274938102557229e+04, 8.691692577290515e+01, 5.094614315101416e-42, 2.394103886788176e-24, 1.104090092530864e-41, 7.890000000000000e-01, 2.110000000000000e-01, 8.309771743575246e+02, 1.053768653141326e+03, 9.221004593265881e+02, 5.509145684757539e+03, 1.954720914320478e+01, 8.437216753366007e+00, 8.731446764954574e-03
2, 1.931920337076797e-01, 5.173816881076040e-02, 4.827373902775936e-16, 5.092391780087558e-12, 1.675972572304557e-15, 1.121864146770927e-02, 3.000169005916756e-03, 6.791663520128805e+01, 2.029773439544608e+01, 2.117705976283548e+05, 1.051142441187140e+03, 3.395061710682782e-14, 3.581447117330011e-10, 1.178700971373635e-13, 7.889999999999112e-01, 2.109999996417924e-01, 1.532707001023029e+04, 3.729867836588729e+03, 1.214195313094213e+03, 4.776534246864738e+03, 1.427526896558825e+03, 4.058154001094942e+00, 4.647194551061429e-01
3, 3.346696875411197e-01, 1.931032050318336e-01, 5.362198051669001e-05, 2.469720994894419e-03, 6.347019395269302e-04, 1.076316488021802e-02, 1.637871713147352e-04, 4.168968693132971e+01, 3.845442650466482e+01, 2.055586464807089e+05, 1.059459425721229e+04, 3.807028190658233e-03, 1.753440913600171e-01, 4.506227023249151e-02, 7.641581255459007e-01, 1.162848467093242e-02, 1.940180042651214e+04, 4.103381983706890e+03, 4.537548854997399e+03, 2.959864814353289e+03, 2.730169313930647e+03, 2.849147037877411e+00, 5.928938692799850e-01
4, 4.846696875411197e-01, 1.931032050318336e-01, 1.636839150214954e-06, 1.495987061898335e-04, 3.167699949321307e-05, 6.356688578393957e-04, 7.898146960511944e-06, 3.644190885723632e+00, 7.024989332194378e-03, 1.242544040531462e+04, 4.586240667900112e+02, 1.980495646796658e-03, 1.810071480367936e-01, 3.832762650603130e-02, 7.691283566804958e-01, 9.556373129882665e-03, 7.747902576915261e+02, 2.784890047294951e+03, 3.716768957284185e+03, 4.409293475369230e+03, 8.499894928207723e+00, 3.780536088331358e+00, 6.964035331029492e-03
6, -3.640905996670419e-02, 0.000000000000000e+00, 5.530303409592078e-47, 7.901017046326727e-28, 1.252602071384581e-46, 1.638459474051674e-03, 4.381685032001309e-04, 1.149061088835781e+01, 3.329455708757418e-16, 3.261374649883642e+04, 6.614864251383919e+01, 2.663117067752715e-44, 3.804733988406955e-25, 6.031904053619976e-44, 7.890000000000000e-01, 2.110000000000000e-01, 5.534000000000580e+02, 9.221000000000976e+02, 9.220999999993718e+02, 5.533302553095912e+03, 1.603299071971281e-13, 9.058999999999520e+00, 1.823823564049691e-15
7, -2.648758523368654e-02, 0.000000000000000e+00, 1.068448247590680e-46, 1.172663076414293e-27, 2.449576110478292e-46, 1.638459474051675e-03, 4.381685032001310e-04, 1.149061088835782e+01, 2.545363908799730e-16, 3.261374649883646e+04, 6.614864251409178e+01, 5.145111494667699e-44, 5.646957901271208e-25, 1.179593137197373e-43, 7.889999999999999e-01, 2.110000000000000e-01, 5.534000000000583e+02, 9.221000000000976e+02, 9.220999999993718e+02, 5.533302553095912e+03, 1.225719742140932e-13, 9.058999999999520e+00, 1.834551937955866e-15
8, -1.924472747190228e-02, 0.000000000000000e+00, 1.561560665839866e-46, 1.464190038045714e-27, 3.611676615396077e-46, 1.638459474051678e-03, 4.381685032001317e-04, 1.149061088835784e+01, -1.259486349936212e-15, 3.261374649883651e+04, 6.614864251404880e+01, 7.519693864022873e-44, 7.050805700804482e-25, 1.739202522050068e-43, 7.890000000000000e-01, 2.110000000000000e-01, 5.534000000000592e+02, 9.221000000000976e+02, 9.220999999993718e+02, 5.533302553095912e+03, -6.065055290274021e-13, 9.058999999999520e+00, 1.863160935038998e-15
9, -1.395714581734536e-02, 0.000000000000000e+00, 2.038122121347269e-46, 1.706320016457380e-27, 4.748142545624277e-46, 1.638459474051681e-03, 4.381685032001327e-04, 1.149061088835786e+01, -4.337064639884649e-15, 3.261374649883657e+04, 6.614864251370491e+01, 9.814575088430127e-44, 8.216782375798986e-25, 2.286467579960045e-43, 7.890000000000000e-01, 2.110000000000000e-01, 5.534000000000603e+02, 9.221000000000976e+02, 9.220999999993718e+02, 5.533302553095910e+03, -2.088513054526152e-12, 9.058999999999518e+00, 1.898922181392913e-15
10, -1.009678458521239e-02, 0.000000000000000e+00, 2.352001062597125e-46, 1.851966499341690e-27, 5.502613264895439e-46, 1.638459474051683e-03, 4.381685032001333e-04, 1.149061088835787e+01, -7.338755995588166e-15, 3.261374649883657e+04, 6.614864251403490e+01, 1.132605882402554e-43, 8.918142872141012e-25, 2.649782881273480e-43, 7.889999999999999e-01, 2.110000000000000e-01, 5.534000000000611e+02, 9.221000000000976e+02, 9.220999999993718e+02, 5.533302553095907e+03, -3.533977234237296e-12, 9.058999999999513e+00, 1.923955053840654e-15
