"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient"
0, -5.000000000000000e-02, 0.000000000000000e+00, 1.083257809812412e-43, 5.859841349803626e-26, 2.391739060598469e-43, 1.367182940750442e-03, 3.811328402603534e-04, 9.118788638511770e+00, -1.793199278556519e-16, 2.461499357427514e+04, 7.721605706344376e+01, 6.196007732574045e-41, 3.351706490011625e-23, 1.368024636382150e-40, 7.820000000000000e-01, 2.180000000000000e-01, 5.135999999999773e+02, 1.017399999999956e+03, 1.017400000000232e+03, 5.215756065096951e+03, -1.025672420299137e-13, 8.133000000000184e+00, -9.561273835168722e-16
1, 0.000000000000000e+00, 0.000000000000000e+00, 1.367356141663335e-40, 1.494053156826929e-24, 2.985099858745349e-40, 1.796399010033325e-03, 5.007864247918986e-04, 1.191669966024684e+01, 5.248264839427706e-02, 3.224645132748816e+04, 1.014576447415443e+02, 5.952310688263473e-38, 6.503842198270777e-22, 1.299459683790161e-37, 7.820000000000000e-01, 2.180000000000000e-01, 7.710617462046637e+02, 1.162464501118980e+03, 1.017400731232649e+03, 5.187521860268758e+03, 2.284650059095908e+01, 7.567521598271591e+00, 1.082650510330559e-02
2, 1.931920337076797e-01, 5.173816881076040e-02, 2.396458630166552e-16, 3.665820214526171e-12, 8.087765633440753e-16, 8.786296021373314e-03, 2.449376636563310e-03, 5.020008809756326e+01, 1.519820452432253e+01, 1.496113988521951e+05, 8.753696184987646e+02, 2.132901787319019e-14, 3.262661991794807e-10, 7.198292329287664e-14, 7.819999999999450e-01, 2.179999996736954e-01, 1.187925112854994e+04, 3.661647904459283e+03, 1.235953929697746e+03, 4.467920133443882e+03, 1.352674199584018e+03, 3.836984089731591e+00, 4.779361662832065e-01
3, 3.346696875411197e-01, 1.931032050318336e-01, 1.518412624163636e-05, 1.695661839044136e-03, 7.522269298388462e-04, 8.555387765584281e-03, 3.903727478318508e-04, 3.200405499517040e+01, 2.941354143228581e+01, 1.494533239472701e+05, 8.218328217089464e+03, 1.330909629223738e-03, 1.486271013278842e-01, 6.593372897142337e-02, 7.498915497512344e-01, 3.421671032023436e-02, 1.452617048598500e+04, 3.884691225661429e+03, 4.291380707081973e+03, 2.805199607105481e+03, 2.578137516695317e+03, 2.811707366072761e+00, 5.892415790435505e-01
4, 4.846696875411197e-01, 1.931032050318336e-01, 3.727181796121711e-07, 1.128762253431629e-04, 4.586518963601618e-05, 5.514335787603503e-04, 2.246500168011608e-05, 3.059877856883841e+00, 2.574883123291538e-03, 9.891799296689262e+03, 3.768621407775211e+02, 5.084743725412903e-04, 1.539894509999904e-01, 6.257079691129469e-02, 7.522837851647718e-01, 3.064749255140181e-02, 6.438137572424910e+02, 2.670393289452960e+03, 3.452119181462879e+03, 4.174385791835929e+03, 3.512740059648190e+00, 3.707569304625786e+00, 5.475609204428238e-03
6, -3.640905996670419e-02, 0.000000000000000e+00, 1.104137497391272e-42, 2.199788930038556e-25, 2.542773853809662e-42, 1.367182940750445e-03, 3.811328402603542e-04, 9.118788638511786e+00, -6.262411846836571e-16, 2.461499357427519e+04, 7.721605706351227e+01, 6.315435171287585e-40, 1.258233183004694e-22, 1.454413373961277e-39, 7.819999999999999e-01, 2.180000000000000e-01, 5.135999999999782e+02, 1.017399999999956e+03, 1.017400000000232e+03, 5.215756065096949e+03, -3.581968380572484e-13, 8.133000000000182e+00, -9.178822881761972e-16
7, -2.648758523368654e-02, 0.000000000000000e+00, 2.129162941005864e-42, 3.264910376738860e-25, 4.980740165273396e-42, 1.367182940750448e-03, 3.811328402603550e-04, 9.118788638511795e+00, -2.312046866604300e-15, 2.461499357427518e+04, 7.721605706367133e+01, 1.217836596873176e-39, 1.867460336513822e-22, 2.848879029390069e-39, 7.820000000000000e-01, 2.180000000000000e-01, 5.135999999999792e+02, 1.017399999999956e+03, 1.017400000000232e+03, 5.215756065096944e+03, -1.322442370947182e-12, 8.133000000000175e+00, -8.748565559179380e-16
8, -1.924472747190228e-02, 0.000000000000000e+00, 3.107570576284785e-42, 4.076575228497723e-25, 7.352122492180655e-42, 1.367182940750445e-03, 3.811328402603543e-04, 9.118788638511772e+00, -2.615554041550463e-15, 2.461499357427511e+04, 7.721605706344077e+01, 1.777465266879948e-39, 2.331715627562903e-22, 4.205260040568861e-39, 7.820000000000000e-01, 2.180000000000000e-01, 5.135999999999783e+02, 1.017399999999956e+03, 1.017400000000232e+03, 5.215756065096941e+03, -1.496042116623957e-12, 8.133000000000170e+00, -9.131016512586129e-16
9, -1.395714581734536e-02, 0.000000000000000e+00, 4.051375021446924e-42, 4.750709764575922e-25, 9.674612589839615e-42, 1.367182940750445e-03, 3.811328402603541e-04, 9.118788638511758e+00, -5.710330266691486e-15, 2.461499357427505e+04, 7.721605706383200e+01, 2.317301637067303e-39, 2.717306459265197e-22, 5.533675720896474e-39, 7.820000000000000e-01, 2.180000000000000e-01, 5.135999999999781e+02, 1.017399999999956e+03, 1.017400000000232e+03, 5.215756065096934e+03, -3.266189282687837e-12, 8.133000000000161e+00, -9.226629250937815e-16
10, -1.009678458521239e-02, 0.000000000000000e+00, 4.672215976442197e-42, 5.156216446637781e-25, 1.121794589776745e-41, 1.367182940750440e-03, 3.811328402603528e-04, 9.118788638511726e+00, -2.113309791171653e-15, 2.461499357427495e+04, 7.721605706320955e+01, 2.672409656876142e-39, 2.949247786150339e-22, 6.416430040619875e-39, 7.820000000000000e-01, 2.180000000000000e-01, 5.135999999999764e+02, 1.017399999999956e+03, 1.017400000000232e+03, 5.215756065096934e+03, -1.208768927287173e-12, 8.133000000000159e+00, -9.943724788575470e-16
11, -7.278131510363134e-03, 0.000000000000000e+00, 5.171720032606686e-42, 5.466450258142840e-25, 1.246702040505685e-41, 1.367182940750434e-03, 3.811328402603512e-04, 9.118788638511715e+00, 5.457738880839584e-15, 2.461499357427500e+04, 7.721605706316238e+01, 2.958115512528673e-39, 3.126695027017615e-22, 7.130874491019620e-39, 7.819999999999999e-01, 2.180000000000000e-01, 5.135999999999742e+02, 1.017399999999956e+03, 1.017400000000232e+03, 5.215756065096950e+03, 3.121712301701128e-12, 8.133000000000184e+00, -1.085204580291650e-15
12, -5.219729353472306e-03, 0.000000000000000e+00, 5.575318256894846e-42, 5.706765945752905e-25, 1.348161537809977e-41, 1.367182940750439e-03, 3.811328402603525e-04, 9.118788638511790e+00, 1.343262413519198e-14, 2.461499357427530e+04, 7.721605706323429e+01, 3.188965241548908e-39, 3.264150565782533e-22, 7.711201560112530e-39, 7.819999999999999e-01, 2.180000000000000e-01, 5.135999999999759e+02, 1.017399999999956e+03, 1.017400000000232e+03, 5.215756065096975e+03, 7.683179595522434e-12, 8.133000000000223e+00, -1.013495026527884e-15
13, -3.716075109627959e-03, 0.000000000000000e+00, 5.859169100440559e-42, 5.870925556502898e-25, 1.419789214374532e-41, 1.367182940750454e-03, 3.811328402603567e-04, 9.118788638511896e+00, 9.176841470099303e-15, 2.461499357427562e+04, 7.721605706374757e+01, 3.351321977459363e-39, 3.358046424032477e-22, 8.120896864259059e-39, 7.820000000000000e-01, 2.180000000000000e-01, 5.135999999999705e+02, 1.017399999999934e+03, 1.017400000000393e+03, 5.215756065096979e+03, 5.248961068574007e-12, 8.133000000000317e+00, -1.242965598571934e-15
14, -2.617116624604489e-03, 0.000000000000000e+00, 6.078970083241535e-42, 5.995740566289922e-25, 1.475386555497583e-41, 1.367182940750458e-03, 3.811328402603578e-04, 9.118788638511864e+00, -3.271187670540760e-15, 2.461499357427539e+04, 7.721605706396834e+01, 3.477043534850943e-39, 3.429437994790273e-22, 8.438902007991744e-39, 7.820000000000000e-01, 2.180000000000000e-01, 5.135999999999974e+02, 1.017399999999984e+03, 1.017400000000157e+03, 5.215756065096944e+03, -1.871050817060904e-12, 8.133000000000061e+00, -1.099546491044403e-16
15, -1.739648995067414e-03, 0.000000000000000e+00, 6.284197066697113e-42, 6.110277434784435e-25, 1.527419936169416e-41, 1.367182940750443e-03, 3.811328402603537e-04, 9.118788638511688e+00, -1.239972462039170e-14, 2.461499357427471e+04, 7.721605706395866e+01, 3.594429069938312e-39, 3.494950684053055e-22, 8.736522044583563e-39, 7.820000000000000e-01, 2.180000000000000e-01, 5.135999999996069e+02, 1.017399999999222e+03, 1.017400000004147e+03, 5.215756065096901e+03, -7.092382712019415e-12, 8.133000000003042e+00, -1.653144246100672e-14
16, -8.698244975333391e-04, 0.000000000000000e+00, 6.491876834909334e-42, 6.224179825604035e-25, 1.580203592864504e-41, 1.367182940750428e-03, 3.811328402603495e-04, 9.118788638511623e+00, -5.858163740805117e-15, 2.461499357427462e+04, 7.721605706335026e+01, 3.713217546521313e-39, 3.560100465377922e-22, 9.038433502847631e-39, 7.820000000000000e-01, 2.180000000000000e-01, 5.136000000000407e+02, 1.017400000000092e+03, 1.017399999999484e+03, 5.215756065096920e+03, -3.350746932809962e-12, 8.132999999999594e+00, 1.711468016495201e-15
17, 8.914882248994977e-04, 2.387467401603415e-04, 1.524354776753993e-33, 1.445969957417187e-21, 3.385165432501986e-33, 2.705184752511447e-03, 7.541307877845209e-04, 1.769841147341592e+01, 2.575707472774067e-01, 4.819881919738728e+04, 1.527933508914447e+02, 4.406521345039181e-31, 4.179930800106990e-19, 9.785650927386525e-31, 7.820000000000000e-01, 2.180000000000000e-01, 1.522023685477826e+03, 1.523764421578349e+03, 1.017419822634433e+03, 5.116159907142121e+03, 7.445714167357215e+01, 6.519443853850095e+00, 4.240515081584634e-02
18, 1.782976449799005e-03, 4.774934803206855e-04, 1.833337130541629e-31, 1.399447146807298e-20, 4.124750495040531e-31, 2.995628691365534e-03, 8.350985354446119e-04, 1.948970693262137e+01, 4.584816806758948e-01, 5.321977552610324e+04, 1.692168793079180e+02, 4.785872295241058e-29, 3.653215339930692e-18, 1.076753903585878e-28, 7.819999999999999e-01, 2.180000000000000e-01, 1.839378330397795e+03, 1.662939438749761e+03, 1.017455814441357e+03, 5.087730286880929e+03, 1.196852852030588e+02, 6.207051735554368e+00, 5.575020783279257e-02
