"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient"
0, -5.000000000000000e-02, 0.000000000000000e+00, 1.267013729476571e-45, 4.530088442041396e-27, 2.784811289148945e-45, 1.323140634830853e-03, 3.666941478394575e-04, 8.617567297277217e+00, 1.229932909748446e-17, 2.271767020250785e+04, 6.497895886995680e+01, 7.497855662992157e-43, 2.680787783810947e-24, 1.647978440086510e-42, 7.829999999999999e-01, 2.170000000000000e-01, 4.755000000000030e+02, 9.744000000000062e+02, 9.743999999999937e+02, 5.099650797612039e+03, 7.278421076200603e-15, 8.124999999999972e+00, 1.371074122013707e-16
1, 0.000000000000000e+00, 0.000000000000000e+00, 2.142579702814231e-42, 1.248801455689489e-25, 4.656632119150825e-42, 1.738529712469771e-03, 4.818147479003067e-04, 1.126156684114757e+01, 4.969531548025780e-02, 2.976061324121986e+04, 8.537872706285115e+01, 9.649762642941964e-40, 5.624359093729737e-23, 2.097256620432074e-39, 7.830000000000000e-01, 2.170000000000000e-01, 7.138612492284616e+02, 1.113331383395159e+03, 9.744005649650454e+02, 5.071990874456724e+03, 2.238180443045976e+01, 7.560004170022681e+00, 1.084777144673087e-02
2, 1.931920337076797e-01, 5.173816881076040e-02, 3.012568215473534e-17, 7.741568197792219e-13, 9.807577390111554e-17, 8.484539357107508e-03, 2.351398518373104e-03, 4.732244844282161e+01, 1.433487838252159e+01, 1.377318589947494e+05, 7.019745910705840e+02, 2.780163793735900e-15, 7.144345312976129e-11, 9.050972331248947e-15, 7.829999999999929e-01, 2.169999999285518e-01, 1.099259267657901e+04, 3.512890627453841e+03, 1.156803811395890e+03, 4.367176056492595e+03, 1.322901491889689e+03, 3.828984010798226e+00, 4.786307254593527e-01
3, 3.346696875411197e-01, 1.931032050318336e-01, 9.877287786617435e-06, 1.453338566566136e-03, 7.452013787672128e-04, 8.140931210729183e-03, 5.046296397512342e-04, 2.980314371398246e+01, 2.735776345364492e+01, 1.355673458545604e+05, 7.769750994636789e+03, 9.100154533701648e-04, 1.338991617057004e-01, 6.865698207859484e-02, 7.500412427614509e-01, 4.649259800088366e-02, 1.340470966759664e+04, 3.813586615137951e+03, 4.217000967974416e+03, 2.745826782072922e+03, 2.520528717022252e+03, 2.796977789746951e+00, 5.884056738036456e-01
4, 4.846696875411197e-01, 1.931032050318336e-01, 2.282579907491843e-07, 1.005933646501616e-04, 4.840119604690457e-05, 5.433273439030570e-04, 3.050097702163449e-05, 2.953657424171755e+00, 1.203618464574442e-03, 9.304168807622078e+03, 3.681040098126022e+02, 3.156872014218952e-04, 1.391234438881750e-01, 6.694021127308290e-02, 7.514369511874827e-01, 4.218370644983755e-02, 6.197884443703971e+02, 2.637294355127873e+03, 3.388026996990480e+03, 4.084991036394274e+03, 1.664638085239003e+00, 3.677873530998056e+00, 6.566537438450023e-03
6, -3.640905996670419e-02, 0.000000000000000e+00, 1.295622245933153e-44, 1.700598670171206e-26, 2.951994123534194e-44, 1.323140634830853e-03, 3.666941478394575e-04, 8.617567297277217e+00, 5.022234546456444e-17, 2.271767020250785e+04, 6.497895887001518e+01, 7.667153376295079e-42, 1.006369786923125e-23, 1.746912866161622e-41, 7.829999999999999e-01, 2.170000000000000e-01, 4.755000000000030e+02, 9.744000000000062e+02, 9.743999999999937e+02, 5.099650797612039e+03, 2.972026968530147e-14, 8.124999999999972e+00, 1.371074122013707e-16
7, -2.648758523368654e-02, 0.000000000000000e+00, 2.501447074648850e-44, 2.524015904034796e-26, 5.776284194105510e-44, 1.323140634830853e-03, 3.666941478394574e-04, 8.617567297277215e+00, 2.992565006728743e-17, 2.271767020250785e+04, 6.497895887027623e+01, 1.480290913822956e-41, 1.493646556408489e-23, 3.418253815901286e-41, 7.830000000000000e-01, 2.170000000000000e-01, 4.755000000000030e+02, 9.744000000000062e+02, 9.743999999999937e+02, 5.099650797612039e+03, 1.770921653062338e-14, 8.124999999999972e+00, 1.345204798956844e-16
8, -1.924472747190228e-02, 0.000000000000000e+00, 3.654141353480338e-44, 3.151492544507676e-26, 8.520153564161137e-44, 1.323140634830853e-03, 3.666941478394575e-04, 8.617567297277219e+00, 2.131040102380592e-17, 2.271767020250785e+04, 6.497895887008924e+01, 2.162425221065689e-41, 1.864970810653823e-23, 5.042003899752506e-41, 7.829999999999999e-01, 2.170000000000000e-01, 4.755000000000031e+02, 9.744000000000062e+02, 9.743999999999937e+02, 5.099650797612039e+03, 1.261093761493700e-14, 8.124999999999972e+00, 1.422812768127432e-16
9, -1.395714581734536e-02, 0.000000000000000e+00, 4.767405757982395e-44, 3.672648133557733e-26, 1.120493230335111e-43, 1.323140634830853e-03, 3.666941478394575e-04, 8.617567297277217e+00, 6.211751474308285e-17, 2.271767020250784e+04, 6.497895887004722e+01, 2.821225960592931e-41, 2.173377049177636e-23, 6.630785694708478e-41, 7.829999999999999e-01, 2.170000000000000e-01, 4.755000000000030e+02, 9.744000000000062e+02, 9.743999999999937e+02, 5.099650797612039e+03, 3.675951955783719e-14, 8.124999999999972e+00, 1.371074122013707e-16
10, -1.009678458521239e-02, 0.000000000000000e+00, 5.500310382500550e-44, 3.986134629861528e-26, 1.298791582388765e-43, 1.323140634830853e-03, 3.666941478394575e-04, 8.617567297277217e+00, 5.978923215158645e-17, 2.271767020250784e+04, 6.497895887030288e+01, 3.254939736658071e-41, 2.358890153487406e-23, 7.685908679997628e-41, 7.830000000000000e-01, 2.170000000000000e-01, 4.755000000000031e+02, 9.744000000000062e+02, 9.743999999999937e+02, 5.099650797612039e+03, 3.538170285328505e-14, 8.124999999999972e+00, 1.422812768127432e-16
