"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient"
0, -5.000000000000000e-02, 0.000000000000000e+00, 2.981200013804144e-50, 9.478541695907590e-30, 6.472849134584915e-50, 1.178510936592997e-03, 2.964714621466738e-04, 8.321972183389338e+00, 3.439944340624433e-17, 2.402064133064291e+04, 4.100891727906333e+01, 2.021176670549759e-47, 6.426206647622865e-27, 4.388424661959204e-47, 7.990000000000000e-01, 2.010000000000000e-01, 3.794000000001373e+02, 8.889000000003217e+02, 8.888999999978880e+02, 5.642082366881273e+03, 2.332193484860406e-14, 9.401999999998303e+00, 5.849805609440989e-15
1, 0.000000000000000e+00, 0.000000000000000e+00, 1.033829049389027e-46, 3.215864245882717e-28, 2.228758548507890e-46, 1.548525076822403e-03, 3.895538678864869e-04, 1.089047451333848e+01, 3.586805485801199e-02, 3.149112653851237e+04, 5.388443801017423e+01, 5.334297925332003e-44, 1.659305083862699e-25, 1.149983366050479e-43, 7.989999999999999e-01, 2.010000000000000e-01, 5.697349289551985e+02, 1.015883250257047e+03, 8.889002501155079e+02, 5.619210993995026e+03, 1.850701435869506e+01, 8.759172375780404e+00, 8.107422543311973e-03
2, 1.931920337076797e-01, 5.173816881076040e-02, 8.456297017281250e-17, 9.967386985694561e-13, 2.594014345242729e-16, 8.207307981878600e-03, 2.064666963155364e-03, 5.012091363206699e+01, 1.493345129949288e+01, 1.586993068685931e+05, 6.023688571051508e+02, 8.232396459016530e-15, 9.703476729707003e-11, 2.525331651285833e-14, 7.989999999999799e-01, 2.009999999029518e-01, 1.122584847200454e+04, 3.776657853971108e+03, 1.121573266193758e+03, 4.879384334113182e+03, 1.453805268991915e+03, 4.116112327183449e+00, 4.620105271245304e-01
3, 3.346696875411197e-01, 1.931032050318336e-01, 6.039865104487235e-05, 1.695627074055475e-03, 4.139101229258612e-04, 7.681912042140434e-03, 7.996926152120338e-05, 2.996832977935364e+01, 2.762519792129822e+01, 1.500238874011251e+05, 8.130572230976109e+03, 6.081329340080329e-03, 1.707267711596276e-01, 4.167516544095054e-02, 7.734649082655477e-01, 8.051825793793750e-03, 1.427417418702749e+04, 4.283310991541512e+03, 4.804428182849846e+03, 3.017406515006242e+03, 2.781484747391216e+03, 2.843301285211341e+00, 5.918556625234668e-01
4, 4.846696875411197e-01, 1.931032050318336e-01, 2.363227640398750e-06, 1.044662405655804e-04, 2.003974229413941e-05, 4.606141291222578e-04, 3.670364971134382e-06, 2.657417434645168e+00, 4.737096940707714e-03, 9.204073056636684e+03, 3.773794975507918e+02, 3.997653439427826e-03, 1.767158689082622e-01, 3.389937699522520e-02, 7.791782839946599e-01, 6.208816662424875e-03, 5.751452155063309e+02, 2.891494541062032e+03, 4.070109594221047e+03, 4.495307081721599e+03, 8.013308389845983e+00, 3.784170391878910e+00, 8.337876718965426e-03
6, -3.640905996670419e-02, 0.000000000000000e+00, 3.075271294070048e-49, 3.558251811081963e-29, 6.805639042855740e-49, 1.178510936592996e-03, 2.964714621466736e-04, 8.321972183389333e+00, 2.588231069289841e-16, 2.402064133064290e+04, 4.100891727934884e+01, 2.084954570778458e-46, 2.412402896551435e-26, 4.614047631124931e-46, 7.990000000000000e-01, 2.010000000000000e-01, 3.793999999999016e+02, 8.888999999997701e+02, 8.889000000015166e+02, 5.642082366881274e+03, 1.754753867911516e-13, 9.402000000001218e+00, -4.188809480270244e-15
7, -2.648758523368654e-02, 0.000000000000000e+00, 5.956955225225488e-49, 5.281130886006629e-29, 1.327752540331512e-48, 1.178510936592997e-03, 2.964714621466738e-04, 8.321972183389342e+00, -9.297447860217513e-16, 2.402064133064292e+04, 4.100891727956331e+01, 4.038661905603437e-46, 3.580470445287483e-26, 9.001819557074293e-46, 7.990000000000000e-01, 2.010000000000000e-01, 3.793999999999019e+02, 8.888999999997701e+02, 8.889000000015166e+02, 5.642082366881275e+03, -6.303429700694673e-13, 9.402000000001220e+00, -4.176703094489117e-15
8, -1.924472747190228e-02, 0.000000000000000e+00, 8.722772540416026e-49, 6.594033178319379e-29, 1.954340705871286e-48, 1.178510936592999e-03, 2.964714621466744e-04, 8.321972183389352e+00, -2.979230206420722e-15, 2.402064133064295e+04, 4.100891727945913e+01, 5.913814665089810e-46, 4.470584316093382e-26, 1.324992560956123e-45, 7.989999999999999e-01, 2.010000000000000e-01, 3.793999999999027e+02, 8.888999999997701e+02, 8.889000000015166e+02, 5.642082366881272e+03, -2.019841191980583e-12, 9.402000000001216e+00, -4.145226491458184e-15
9, -1.395714581734536e-02, 0.000000000000000e+00, 1.140270701303604e-48, 7.684474357120467e-29, 2.565756416788935e-48, 1.178510936592998e-03, 2.964714621466740e-04, 8.321972183389342e+00, -3.747134645976173e-15, 2.402064133064291e+04, 4.100891727948809e+01, 7.730741073777772e-46, 5.209875293214767e-26, 1.739516633541727e-45, 7.990000000000000e-01, 2.010000000000000e-01, 3.793999999999036e+02, 8.888999999997732e+02, 8.889000000015391e+02, 5.642082366881272e+03, -2.540460583921535e-12, 9.402000000001198e+00, -4.106486056958575e-15
10, -1.009678458521239e-02, 0.000000000000000e+00, 1.317088485729783e-48, 8.340398598841355e-29, 2.971067356921535e-48, 1.178510936592996e-03, 2.964714621466736e-04, 8.321972183389333e+00, -1.328419667274251e-14, 2.402064133064289e+04, 4.100891727941872e+01, 8.929520019053772e-46, 5.654575001008816e-26, 2.014306990686958e-45, 7.990000000000000e-01, 2.010000000000000e-01, 3.794000000001305e+02, 8.889000000003061e+02, 8.888999999979633e+02, 5.642082366881273e+03, -9.006342505573950e-12, 9.401999999998383e+00, 5.559252350693920e-15
11, -7.278131510363134e-03, 0.000000000000000e+00, 1.459599312971007e-48, 8.842214935216136e-29, 3.298639549900180e-48, 1.178510936592994e-03, 2.964714621466730e-04, 8.321972183389331e+00, -3.507299315063262e-15, 2.402064133064292e+04, 4.100891727915215e+01, 9.895706648555236e-46, 5.994793526195006e-26, 2.236392483543383e-45, 7.989999999999999e-01, 2.010000000000000e-01, 3.794000000001944e+02, 8.889000000004579e+02, 8.888999999969903e+02, 5.642082366881283e+03, -2.377858419232769e-12, 9.401999999997594e+00, 8.283189151447691e-15
12, -5.219729353472306e-03, 0.000000000000000e+00, 1.574928901601455e-48, 9.230935743362693e-29, 3.564387868425571e-48, 1.178510936592995e-03, 2.964714621466734e-04, 8.321972183389340e+00, 1.548675006099188e-15, 2.402064133064294e+04, 4.100891727944531e+01, 1.067761149520962e-45, 6.258336202011812e-26, 2.416562985071036e-45, 7.989999999999999e-01, 2.010000000000000e-01, 3.793999999999446e+02, 8.888999999998713e+02, 8.889000000007642e+02, 5.642082366881280e+03, 1.049961685930956e-12, 9.402000000000694e+00, -2.358323950163710e-15
13, -3.716075109627959e-03, 0.000000000000000e+00, 1.656132025648322e-48, 9.496470870060824e-29, 3.751832193283657e-48, 1.178510936592995e-03, 2.964714621466732e-04, 8.321972183389331e+00, 2.709651034678531e-15, 2.402064133064291e+04, 4.100891727958693e+01, 1.122814771934527e-45, 6.438362164982646e-26, 2.543645399761716e-45, 7.990000000000000e-01, 2.010000000000000e-01, 3.793999999999737e+02, 8.888999999999398e+02, 8.889000000002708e+02, 5.642082366881279e+03, 1.837073470838604e-12, 9.402000000000328e+00, -1.121051323332441e-15
