"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient"
0, -5.000000000000000e-02, 0.000000000000000e+00, 1.191112703780457e-45, 4.318669075635196e-27, 2.602131210426319e-45, 9.948153269578150e-04, 3.055968651439040e-04, 7.485124277384773e+00, 1.211705533332090e-17, 2.212392294069781e+04, 5.219854748560583e+01, 9.159501202886967e-43, 3.321000142774258e-24, 2.001004932305939e-42, 7.650000000000000e-01, 2.350000000000000e-01, 3.683000000000084e+02, 9.830000000000223e+02, 9.829999999998693e+02, 5.755962857659275e+03, 9.317857373928018e-15, 9.140999999999897e+00, 3.905304515409986e-16
1, 0.000000000000000e+00, 0.000000000000000e+00, 1.909897881166474e-42, 1.173887261634677e-25, 4.137718826125246e-42, 1.307150633312966e-03, 4.015430050046368e-04, 9.793004497612708e+00, 3.412516080746648e-02, 2.900090914061441e+04, 6.858706215870662e+01, 1.117753258007666e-39, 6.870086218559916e-23, 2.421568579256423e-39, 7.650000000000000e-01, 2.350000000000001e-01, 5.530418941552068e+02, 1.123379929428036e+03, 9.830004337450515e+02, 5.731281651668698e+03, 1.997149169529680e+01, 8.514194028839462e+00, 8.575873959205666e-03
2, 1.931920337076797e-01, 5.173816881076040e-02, 1.392185077279352e-15, 9.777009292924221e-12, 4.507270783073965e-15, 6.841204804890745e-03, 2.101546564273067e-03, 4.445550012918147e+01, 1.327546106471935e+01, 1.443123104628893e+05, 7.422944112691603e+02, 1.556774887599887e-13, 1.093288729455404e-09, 5.040138758285407e-13, 7.649999999996090e-01, 2.349999989064425e-01, 1.036353688780085e+04, 4.022255662844094e+03, 1.261131037795076e+03, 4.971121106401310e+03, 1.484494033455164e+03, 4.073062119383649e+00, 4.639872949996347e-01
3, 3.346696875411197e-01, 1.931032050318336e-01, 5.275869581538984e-05, 1.790773094830832e-03, 4.175976087216667e-04, 6.617499650747331e-03, 9.547664638346160e-05, 2.760173235004051e+01, 2.549023292283725e+01, 1.421929456910429e+05, 7.037325447186290e+03, 5.878992024350022e-03, 1.995489194571796e-01, 4.653361826177239e-02, 7.373993436838170e-01, 1.063912657288097e-02, 1.302521301662773e+04, 4.247514286357653e+03, 4.768455133332669e+03, 3.075708408561484e+03, 2.840420403426100e+03, 2.878598230337975e+00, 5.875445374184484e-01
4, 4.846696875411197e-01, 1.931032050318336e-01, 1.881009951393146e-06, 1.015986993556884e-04, 1.931907474469609e-05, 3.670317358691776e-04, 4.196663030849527e-06, 2.262621487627475e+00, 6.895788938187458e-03, 8.067447145171822e+03, 3.005332761342928e+02, 3.807502939725180e-03, 2.056540669455428e-01, 3.910528693839257e-02, 7.429383413199425e-01, 8.494801856396910e-03, 4.773585750499523e+02, 2.819694698218603e+03, 4.030865054940179e+03, 4.579953423024916e+03, 1.395831884590889e+01, 3.858148210836209e+00, 5.062590692142705e-03
6, -3.640905996670419e-02, 0.000000000000000e+00, 1.223272321881554e-44, 1.621231678122541e-26, 2.747342471564675e-44, 9.948153269578144e-04, 3.055968651439039e-04, 7.485124277384770e+00, 2.291120233210298e-17, 2.212392294069780e+04, 5.219854748560738e+01, 9.406804467931887e-42, 1.246705996736555e-23, 2.112670496517290e-41, 7.650000000000000e-01, 2.350000000000001e-01, 3.683000000000081e+02, 9.830000000000223e+02, 9.829999999998693e+02, 5.755962857659277e+03, 1.761841550798908e-14, 9.140999999999901e+00, 3.773368552051541e-16
7, -2.648758523368654e-02, 0.000000000000000e+00, 2.365600572903179e-44, 2.406220004449728e-26, 5.368107826619670e-44, 9.948153269578144e-04, 3.055968651439038e-04, 7.485124277384770e+00, 4.086277940618119e-17, 2.212392294069780e+04, 5.219854748575290e+01, 1.819115959748047e-41, 1.850351772356740e-23, 4.128004842790475e-41, 7.650000000000000e-01, 2.350000000000000e-01, 3.683000000000081e+02, 9.830000000000223e+02, 9.829999999998693e+02, 5.755962857659277e+03, 3.142294393606001e-14, 9.140999999999901e+00, 3.773368552051541e-16
8, -1.924472747190228e-02, 0.000000000000000e+00, 3.459769337009556e-44, 3.004412290884723e-26, 7.909999001679949e-44, 9.948153269578144e-04, 3.055968651439039e-04, 7.485124277384769e+00, 1.067643119861502e-16, 2.212392294069780e+04, 5.219854748546347e+01, 2.660517455944409e-41, 2.310353831756230e-23, 6.082685974280092e-41, 7.650000000000000e-01, 2.350000000000001e-01, 3.683000000000081e+02, 9.830000000000223e+02, 9.829999999998693e+02, 5.755962857659276e+03, 8.210036220407809e-14, 9.140999999999899e+00, 3.773368552051541e-16
9, -1.395714581734536e-02, 0.000000000000000e+00, 4.518214314538449e-44, 3.501245532626597e-26, 1.039387411820474e-43, 9.948153269578139e-04, 3.055968651439037e-04, 7.485124277384766e+00, 2.652980958552364e-16, 2.212392294069780e+04, 5.219854748543352e+01, 3.474447826604994e-41, 2.692412108939018e-23, 7.992753514104041e-41, 7.649999999999999e-01, 2.350000000000000e-01, 3.683000000000080e+02, 9.830000000000223e+02, 9.829999999998693e+02, 5.755962857659276e+03, 2.040107724816571e-13, 9.140999999999901e+00, 3.694206974036474e-16
10, -1.009678458521239e-02, 0.000000000000000e+00, 5.215784567852288e-44, 3.800101604545613e-26, 1.204200399477764e-43, 9.948153269578139e-04, 3.055968651439037e-04, 7.485124277384766e+00, 3.180873123486078e-16, 2.212392294069780e+04, 5.219854748592324e+01, 4.010870245243219e-41, 2.922228526944148e-23, 9.260143874316831e-41, 7.649999999999999e-01, 2.350000000000000e-01, 3.683000000000080e+02, 9.830000000000223e+02, 9.829999999998693e+02, 5.755962857659276e+03, 2.446049908487225e-13, 9.140999999999901e+00, 3.694206974036474e-16
11, -7.278131510363134e-03, 0.000000000000000e+00, 5.777644005684621e-44, 4.028742123625274e-26, 1.337475151483048e-43, 9.948153269578157e-04, 3.055968651439042e-04, 7.485124277384778e+00, 1.057119980823418e-16, 2.212392294069784e+04, 5.219854748574944e+01, 4.442932818360324e-41, 3.098050101417490e-23, 1.028500931940223e-40, 7.650000000000000e-01, 2.350000000000000e-01, 3.683000000000086e+02, 9.830000000000223e+02, 9.829999999998693e+02, 5.755962857659276e+03, 8.129114654907274e-14, 9.140999999999901e+00, 3.984466093425054e-16
12, -5.219729353472306e-03, 0.000000000000000e+00, 6.232075106621210e-44, 4.205853391051766e-26, 1.445649114356788e-43, 9.948153269578178e-04, 3.055968651439049e-04, 7.485124277384794e+00, -6.283283638250963e-16, 2.212392294069788e+04, 5.219854748564359e+01, 4.792384402786125e-41, 3.234246354038158e-23, 1.111685297275116e-40, 7.650000000000000e-01, 2.350000000000000e-01, 3.683000000000094e+02, 9.830000000000223e+02, 9.829999999998693e+02, 5.755962857659275e+03, -4.831763095127505e-13, 9.140999999999899e+00, 4.380273983500391e-16
13, -3.716075109627959e-03, 0.000000000000000e+00, 6.551904492238980e-44, 4.326838071701180e-26, 1.521975689399013e-43, 9.948153269578196e-04, 3.055968651439054e-04, 7.485124277384808e+00, -1.679095741161919e-15, 2.212392294069792e+04, 5.219854748540359e+01, 5.038329025237605e-41, 3.327281994109997e-23, 1.170379437106935e-40, 7.649999999999999e-01, 2.350000000000000e-01, 3.683000000002357e+02, 9.830000000006243e+02, 9.829999999964989e+02, 5.755962857659276e+03, -1.291202705849878e-12, 9.140999999997099e+00, 1.094013008168230e-14
14, -2.617116624604489e-03, 0.000000000000000e+00, 6.799676592093886e-44, 4.418826009737044e-26, 1.581200244488411e-43, 9.948153269578202e-04, 3.055968651439056e-04, 7.485124277384813e+00, -2.679434196810776e-15, 2.212392294069794e+04, 5.219854748537038e+01, 5.228862535581315e-41, 3.398019517638740e-23, 1.215922346846714e-40, 7.649999999999999e-01, 2.350000000000000e-01, 3.682999999999955e+02, 9.829999999999827e+02, 9.830000000000067e+02, 5.755962857659275e+03, -2.060449919713745e-12, 9.141000000000084e+00, -2.084588221063439e-16
15, -1.739648995067414e-03, 0.000000000000000e+00, 7.031122665677797e-44, 4.503239017284330e-26, 1.636609823957330e-43, 9.948153269578200e-04, 3.055968651439056e-04, 7.485124277384812e+00, -3.657043840996051e-15, 2.212392294069792e+04, 5.219854748560709e+01, 5.406841544844408e-41, 3.462932018505761e-23, 1.258531590135465e-40, 7.650000000000000e-01, 2.350000000000001e-01, 3.683000000000019e+02, 9.830000000000000e+02, 9.830000000000516e+02, 5.755962857659277e+03, -2.812218974266566e-12, 9.141000000000004e+00, 8.971645508374294e-17
16, -8.698244975333391e-04, 0.000000000000000e+00, 7.265442335733723e-44, 4.587184418454576e-26, 1.692799039207810e-43, 9.948153269578178e-04, 3.055968651439049e-04, 7.485124277384794e+00, -4.115881164842799e-15, 2.212392294069788e+04, 5.219854748586488e+01, 5.587030312282242e-41, 3.527484936173031e-23, 1.301740363162785e-40, 7.650000000000000e-01, 2.350000000000001e-01, 3.682999999999871e+02, 9.829999999999623e+02, 9.830000000001472e+02, 5.755962857659275e+03, -3.165058886590969e-12, 9.141000000000178e+00, -6.016279929145114e-16
17, 8.914882248994977e-04, 2.387467401603415e-04, 4.783880276066854e-35, 1.682609865579315e-22, 1.050329144862769e-34, 1.971925952740054e-03, 6.057550312338728e-04, 1.461121263056084e+01, 1.686356845142318e-01, 4.348713061594062e+04, 1.034722530987794e+02, 1.855885311568580e-32, 6.527610965206759e-20, 4.074705719570894e-32, 7.650000000000000e-01, 2.350000000000000e-01, 1.097021788717783e+03, 1.477130676096501e+03, 9.830122842155006e+02, 5.668355673724688e+03, 6.542147207613398e+01, 7.343938699414283e+00, 3.382787775316570e-02
18, 1.782976449799005e-03, 4.774934803206855e-04, 7.720739173436194e-33, 1.862132113823757e-21, 1.711234232400853e-32, 2.189279164493179e-03, 6.725236649096695e-04, 1.614862638334578e+01, 3.024816362732826e-01, 4.816516373881399e+04, 1.148860052935884e+02, 2.697858529634351e-30, 6.506849789551417e-19, 5.979567197359726e-30, 7.650000000000000e-01, 2.350000000000000e-01, 1.333224266313143e+03, 1.616949039158038e+03, 9.830354209719740e+02, 5.642815856295520e+03, 1.056961832469777e+02, 6.988377719931699e+00, 4.479259523629438e-02
19, 2.674464674698533e-03, 7.162402204810351e-04, 1.016425713539547e-30, 1.933083209549367e-20, 2.275325014518159e-30, 2.457950448885137e-03, 7.550566738405324e-04, 1.803287944146261e+01, 4.942810811902583e-01, 5.392498347645289e+04, 1.290063577150793e+02, 3.163471709571840e-28, 6.016429891725503e-18, 7.081605883861057e-28, 7.649999999999999e-01, 2.350000000000000e-01, 1.647913296836584e+03, 1.780145502139245e+03, 9.830863997542098e+02, 5.612461707263474e+03, 1.538375304848213e+02, 6.625844028304439e+00, 5.940072445600657e-02
20, 3.565952899598004e-03, 9.549869606413694e-04, 2.939154960375835e-28, 3.092188861260469e-19, 6.693346190138403e-28, 2.834246945879895e-03, 8.706510225905557e-04, 2.063343804574653e+01, 8.210260240473549e-01, 6.193820249690172e+04, 1.488243129547587e+02, 7.933160333668380e-26, 8.346218674780572e-17, 1.806620923734026e-25, 7.650000000000000e-01, 2.349999999999999e-01, 2.142549425837605e+03, 2.007185119978406e+03, 9.832267528347461e+02, 5.569232465061633e+03, 2.216055694473852e+02, 6.194377375130323e+00, 8.236214919066033e-02
21, 4.457441124497438e-03, 1.193733700801694e-03, 1.658394797163726e-26, 2.386952476028571e-18, 3.834799396624213e-26, 3.100488743613631e-03, 9.524377186264071e-04, 2.241733006488884e+01, 1.172884235060872e+00, 6.753183335943498e+04, 1.629439553785398e+02, 4.091845269373915e-24, 5.889454196287859e-16, 9.461803544554645e-24, 7.650000000000000e-01, 2.349999999999994e-01, 2.568497985217734e+03, 2.199598106493482e+03, 9.834901913649383e+02, 5.531146511969737e+03, 2.893919359229190e+02, 5.880166065926461e+00, 1.021350392276128e-01
22, 5.348929349396780e-03, 1.432480440961994e-03, 3.786373469019997e-25, 1.203281494187055e-17, 8.898016041396228e-25, 3.306407829564872e-03, 1.015693908428413e-03, 2.375491098886605e+01, 1.551067671737812e+00, 7.180654822734302e+04, 1.740148527425164e+02, 8.760491303885798e-23, 2.784019366341258e-15, 2.058724338480629e-22, 7.649999999999999e-01, 2.349999999999972e-01, 2.949499473352945e+03, 2.368569698657773e+03, 9.839309270130893e+02, 5.496148038360427e+03, 3.588688480197496e+02, 5.634970374063737e+00, 1.198214484498345e-01
23, 6.240417574296114e-03, 1.671227181122291e-03, 4.511337820316751e-24, 4.430933830019055e-17, 1.074604226375031e-23, 3.473412982126808e-03, 1.066996144836295e-03, 2.480454305038502e+01, 1.948997290172369e+00, 7.523437411505505e+04, 1.831848965021224e+02, 9.935972054866692e-22, 9.758886712886784e-15, 2.366756378832716e-21, 7.650000000000000e-01, 2.349999999999902e-01, 3.297567484617402e+03, 2.520760214572126e+03, 9.845718365157974e+02, 5.463063428157528e+03, 4.292558744537533e+02, 5.434498648835489e+00, 1.359790580028014e-01
24, 7.131905799195436e-03, 1.909973921282586e-03, 2.439455512263356e-23, 1.091114820844177e-16, 5.905418785943895e-23, 3.528832224464117e-03, 1.084020356534620e-03, 2.508505930212286e+01, 2.294055090433321e+00, 7.629697672342135e+04, 1.865772335697015e+02, 5.288388192399434e-21, 2.365379776797273e-14, 1.280209736220350e-20, 7.649999999999999e-01, 2.349999999999763e-01, 3.487963216824683e+03, 2.624430959840965e+03, 9.853492887948997e+02, 5.438079553084493e+03, 4.973181020097930e+02, 5.307487496961870e+00, 1.448173878751180e-01
25, 8.023394024094811e-03, 2.148720661442895e-03, 2.016047031258971e-22, 3.390707795910234e-16, 4.925714484799675e-22, 3.776730138454015e-03, 1.160172003315600e-03, 2.665534699840860e+01, 2.870210118277800e+00, 8.142383852452321e+04, 2.004878351499930e+02, 4.083627694787944e-20, 6.868087919390302e-14, 9.977338710290357e-20, 7.650000000000000e-01, 2.349999999999313e-01, 3.965935797442356e+03, 2.788200444607256e+03, 9.865907714396737e+02, 5.399205054701013e+03, 5.813787747570759e+02, 5.120632150520345e+00, 1.670052766919865e-01
26, 8.914882248994234e-03, 2.387467401603216e-03, 6.662237784415744e-22, 6.541667746787801e-16, 1.659772519688891e-21, 3.832907373651874e-03, 1.177429062493712e-03, 2.693098399672428e+01, 3.329398752196871e+00, 8.252334088208490e+04, 2.043047119095525e+02, 1.329698687767180e-19, 1.305634427978534e-13, 3.312696743705148e-19, 7.650000000000001e-01, 2.349999999998695e-01, 4.136569578741941e+03, 2.865538687852071e+03, 9.878589864797275e+02, 5.375084954861549e+03, 6.645060256188540e+02, 5.037654475384950e+00, 1.749262401978523e-01
27, 9.806370473893577e-03, 2.626214141763516e-03, 1.713810317764369e-21, 1.101283296123375e-15, 4.346549652648665e-21, 3.854626141411114e-03, 1.184100840824535e-03, 2.698715449062285e+01, 3.648409818755134e+00, 8.290291815219235e+04, 2.063627409192827e+02, 3.401276401373088e-19, 2.185637959758047e-13, 8.626285305736451e-19, 7.650000000000000e-01, 2.349999999997815e-01, 4.248041605122439e+03, 2.926178169004094e+03, 9.892166867325404e+02, 5.355946965525594e+03, 7.240737256884601e+02, 4.974749656741954e+00, 1.801008653287025e-01
28, 1.069785869879290e-02, 2.864960881923812e-03, 5.149678894601882e-21, 2.045297016624544e-15, 1.316204438888022e-20, 4.010043691477793e-03, 1.231843486922506e-03, 2.792331768656789e+01, 4.150304729061480e+00, 8.609083604788833e+04, 2.159512551197310e+02, 9.824093345273856e-19, 3.901833341723931e-13, 2.510936222189321e-18, 7.650000000000000e-01, 2.349999999996098e-01, 4.574028341039611e+03, 3.028614612628672e+03, 9.910505060632116e+02, 5.326958924567800e+03, 7.917577368245527e+02, 4.872532252578036e+00, 1.952334435258810e-01
29, 1.158934692369223e-02, 3.103707622084108e-03, 8.709439762829012e-21, 2.708817493396367e-15, 2.290208916723455e-20, 3.926742863799489e-03, 1.206254343778834e-03, 2.729238189312071e+01, 4.320460712226780e+00, 8.428521303115299e+04, 2.124921871456008e+02, 1.696755211548889e-18, 5.277262745040379e-13, 4.461738092007915e-18, 7.649999999999999e-01, 2.349999999994723e-01, 4.496265832328044e+03, 3.040281407651320e+03, 9.925634872944188e+02, 5.317045926464175e+03, 8.417033046201155e+02, 4.861167675721041e+00, 1.916236425302185e-01
30, 1.248083514859175e-02, 3.342454362244454e-03, 1.326876508172492e-20, 3.425565838933863e-15, 3.575644440427551e-20, 3.905419107252913e-03, 1.199703908760541e-03, 2.709006744628745e+01, 4.535880557802636e+00, 8.380471916596396e+04, 2.123074785826844e+02, 2.599107806040193e-18, 6.710055425082701e-13, 7.004031889553448e-18, 7.649999999999999e-01, 2.349999999993290e-01, 4.494641385522971e+03, 3.055777060556354e+03, 9.939962800878270e+02, 5.306447535406044e+03, 8.884958390956897e+02, 4.846179663909162e+00, 1.915482343445579e-01
