"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient"
0, -5.000000000000000e-02, 0.000000000000000e+00, 1.377589389366791e-46, 1.153474427900847e-27, 2.998882774880564e-46, 8.630975376412082e-04, 2.477101041106685e-04, 5.961384398806014e+00, 1.206419225875332e-18, 1.647796472590657e+04, 4.176379891889846e+01, 1.240169168438711e-43, 1.038410598329770e-24, 2.699731854698953e-43, 7.769999999999999e-01, 2.230000000000000e-01, 3.097000000000006e+02, 9.662000000000019e+02, 9.662000000000039e+02, 5.366711728237839e+03, 1.086073934432666e-15, 8.589999999999991e+00, 3.553487498497004e-17
1, 0.000000000000000e+00, 0.000000000000000e+00, 2.481402246232611e-43, 3.237234636419930e-26, 5.363117787316570e-43, 1.134069129736955e-03, 3.254792997829358e-04, 7.794953456561527e+00, 3.076674668132017e-02, 2.159319523224283e+04, 5.487570994032179e+01, 1.700116416862476e-40, 2.217970004246312e-23, 3.674504852902163e-40, 7.770000000000000e-01, 2.230000000000001e-01, 4.649980723694540e+02, 1.104071830057443e+03, 9.662003447362001e+02, 5.340661055779853e+03, 2.107963398750715e+01, 7.996835220863860e+00, 9.708243623713900e-03
2, 1.931920337076797e-01, 5.173816881076040e-02, 2.831287262150331e-17, 5.505240023752235e-13, 8.445793254535372e-17, 5.709748938155835e-03, 1.638705293154407e-03, 3.390608221742972e+01, 1.020484760467603e+01, 1.031963385914137e+05, 4.491742470155085e+02, 3.852901811478457e-15, 7.491698049751780e-11, 1.149329231434379e-14, 7.769999999999908e-01, 2.229999999250769e-01, 7.861040977555375e+03, 3.707223360458105e+03, 1.132105632105523e+03, 4.614042783368272e+03, 1.388706697039850e+03, 3.937363191702420e+00, 4.720616088616760e-01
3, 3.346696875411197e-01, 1.931032050318336e-01, 1.454409395507510e-05, 1.124121488809893e-03, 5.002756648206236e-04, 5.422685569747800e-03, 2.366433051710377e-04, 2.102030845672023e+01, 1.932011880183934e+01, 1.005827385253490e+05, 5.656592368583136e+03, 1.992813873828534e-03, 1.540257444491718e-01, 6.854715657591365e-02, 7.430097103458517e-01, 3.242457475523428e-02, 9.716207296157023e+03, 4.044392974430532e+03, 4.533815968835172e+03, 2.880176823258911e+03, 2.647218926888605e+03, 2.821618791161972e+00, 5.880347584874259e-01
4, 4.846696875411197e-01, 1.931032050318336e-01, 4.476854005996778e-07, 7.338518852018937e-05, 2.993930720414525e-05, 3.426133455588690e-04, 1.312097577520612e-05, 1.969520668173049e+00, 2.368143593944023e-03, 6.527936494345575e+03, 2.688101226534613e+02, 9.742743534725363e-04, 1.597043526641622e-01, 6.515535045516795e-02, 7.456115282926428e-01, 2.855449423455457e-02, 4.165972059176221e+02, 2.744454792759870e+03, 3.769186784488644e+03, 4.286164956607423e+03, 5.153667208779650e+00, 3.744706542292271e+00, 6.682530580764059e-03
6, -3.640905996670419e-02, 0.000000000000000e+00, 1.418365166323656e-45, 4.330151835359354e-27, 3.158716882898523e-45, 8.630975376412081e-04, 2.477101041106685e-04, 5.961384398806014e+00, 3.274851277436056e-30, 1.647796472590657e+04, 4.176379891919955e+01, 1.276877393539285e-42, 3.898201338019413e-24, 2.843621851499732e-42, 7.770000000000000e-01, 2.230000000000001e-01, 3.097000000000006e+02, 9.662000000000019e+02, 9.662000000000039e+02, 5.366711728237840e+03, 2.948171361399012e-27, 8.589999999999991e+00, 3.553487498497004e-17
7, -2.648758523368654e-02, 0.000000000000000e+00, 2.745489334345381e-45, 6.426779163735516e-27, 6.166570667860390e-45, 8.630975376412082e-04, 2.477101041106685e-04, 5.961384398806015e+00, 1.440584094212582e-17, 1.647796472590657e+04, 4.176379891919957e+01, 2.471615454513272e-42, 5.785681446699191e-24, 5.551429821039914e-42, 7.769999999999999e-01, 2.230000000000000e-01, 3.097000000000006e+02, 9.662000000000019e+02, 9.662000000000039e+02, 5.366711728237840e+03, 1.296879891770107e-14, 8.589999999999993e+00, 3.553487498497004e-17
8, -1.924472747190228e-02, 0.000000000000000e+00, 4.018144921230617e-45, 8.024492471435258e-27, 9.080941217440949e-45, 8.630975376412083e-04, 2.477101041106685e-04, 5.961384398806015e+00, 3.591604750889158e-17, 1.647796472590657e+04, 4.176379891919747e+01, 3.617318399874816e-42, 7.224016265120099e-24, 8.175079893328079e-42, 7.770000000000000e-01, 2.230000000000000e-01, 3.097000000000006e+02, 9.662000000000019e+02, 9.662000000000039e+02, 5.366711728237840e+03, 3.233327370006896e-14, 8.589999999999993e+00, 3.908836248346704e-17
9, -1.395714581734536e-02, 0.000000000000000e+00, 5.250412837207055e-45, 9.351485647435793e-27, 1.192650040695473e-44, 8.630975376412082e-04, 2.477101041106686e-04, 5.961384398806015e+00, 2.390169487613782e-17, 1.647796472590657e+04, 4.176379891925838e+01, 4.726662511005528e-42, 8.418636401067046e-24, 1.073678282240227e-41, 7.769999999999999e-01, 2.230000000000001e-01, 3.097000000000006e+02, 9.662000000000019e+02, 9.662000000000039e+02, 5.366711728237840e+03, 2.151740227357635e-14, 8.589999999999993e+00, 3.553487498497004e-17
10, -1.009678458521239e-02, 0.000000000000000e+00, 6.063057657806551e-45, 1.014970109423086e-26, 1.381361211937290e-44, 8.630975376412085e-04, 2.477101041106687e-04, 5.961384398806016e+00, 4.928809682390942e-17, 1.647796472590657e+04, 4.176379891927522e+01, 5.458242660488346e-42, 9.137226566269889e-24, 1.243564736157844e-41, 7.769999999999999e-01, 2.230000000000000e-01, 3.097000000000007e+02, 9.662000000000019e+02, 9.662000000000039e+02, 5.366711728237839e+03, 4.437140596744200e-14, 8.589999999999989e+00, 4.619533748046105e-17
11, -7.278131510363134e-03, 0.000000000000000e+00, 6.717847675456587e-45, 1.076037764136815e-26, 1.533913868697944e-44, 8.630975376412084e-04, 2.477101041106685e-04, 5.961384398806015e+00, 4.887780505372178e-17, 1.647796472590657e+04, 4.176379891919775e+01, 6.047714674398291e-42, 9.686985610215774e-24, 1.380899636483215e-41, 7.770000000000000e-01, 2.230000000000000e-01, 3.097000000000006e+02, 9.662000000000019e+02, 9.662000000000039e+02, 5.366711728237839e+03, 4.400204249282586e-14, 8.589999999999991e+00, 3.908836248346704e-17
12, -5.219729353472306e-03, 0.000000000000000e+00, 7.247617190049387e-45, 1.123342457848562e-26, 1.657700952180622e-44, 8.630975376412084e-04, 2.477101041106685e-04, 5.961384398806015e+00, 4.587527210719980e-17, 1.647796472590657e+04, 4.176379891919703e+01, 6.524637495848538e-42, 1.011284416514200e-23, 1.492338448055893e-41, 7.770000000000000e-01, 2.230000000000000e-01, 3.097000000000006e+02, 9.662000000000019e+02, 9.662000000000039e+02, 5.366711728237839e+03, 4.129902458615515e-14, 8.589999999999991e+00, 3.908836248346704e-17
13, -3.716075109627959e-03, 0.000000000000000e+00, 7.620559171677354e-45, 1.155656287144685e-26, 1.745026843197464e-44, 8.630975376412083e-04, 2.477101041106685e-04, 5.961384398806015e+00, 4.350573640385431e-17, 1.647796472590657e+04, 4.176379891919640e+01, 6.860376977294483e-42, 1.040374808118961e-23, 1.570953221428463e-41, 7.770000000000000e-01, 2.230000000000000e-01, 3.097000000000028e+02, 9.662000000000087e+02, 9.662000000000039e+02, 5.366711728237840e+03, 3.916585983801889e-14, 8.589999999999961e+00, 1.741208874263532e-16
14, -2.617116624604489e-03, 0.000000000000000e+00, 7.909521137679828e-45, 1.180225369041370e-26, 1.812777828389466e-44, 8.630975376412082e-04, 2.477101041106685e-04, 5.961384398806015e+00, 2.116823254048442e-17, 1.647796472590657e+04, 4.176379891920002e+01, 7.120513795894998e-42, 1.062493022806373e-23, 1.631945766532986e-41, 7.769999999999999e-01, 2.230000000000000e-01, 3.097000000000005e+02, 9.662000000000018e+02, 9.662000000000040e+02, 5.366711728237840e+03, 1.905661407505226e-14, 8.589999999999993e+00, 3.198138748647303e-17
