x, P/Pinf
0.0023762376237623766, 3.4818941504178276
0.006336633663366337, 10.445682451253482
0.01702970297029703, 12.534818941504179
0.06732673267326733, 12.538440111420613
0.11445544554455446, 12.532061281337048
0.15603960396039604, 12.534818941504179
0.19287128712871288, 12.535682451253482
0.19405940594059407, 149.025069637883
0.19762376237623763, 129.52646239554318
0.20792079207920794, 135.09749303621172
0.21544554455445547, 137.1866295264624
0.22257425742574258, 131.61559888579387
0.22574257425742575, 109.33147632311979
0.22891089108910892, 80.7799442896936
0.2324752475247525, 57.10306406685237
0.2427722772277228, 48.05013927576602
0.2625742574257426, 51.532033426183844
0.27762376237623765, 66.15598885793872
0.30178217821782183, 68.24512534818942
0.321980198019802, 68.24512534818942
0.3342574257425743, 67.54874651810586
0.33544554455445547, 2.785515320334262
0.3643564356435644, 1.392757660167131
