x,S1_M,S1_P,S1_T,S1_beta
-0.05,0.0,0.0,0.9997033008793993,0.0002966991206007673
-0.03640905996670419,0.0,0.0,0.9996667712616211,0.00033322873837886237
-0.02648758523368654,0.0,0.0,0.9997386692281676,0.00026133077183243037
-0.01924472747190228,0.0,0.0,0.9996284844486759,0.000371515551324075
-0.01395714581734536,0.0,0.0,0.9997691046244561,0.00023089537554379856
-0.01009678458521239,0.0017768855429985307,0.0,0.9978119759624609,0.0004111384945406509
-0.007278131510363134,0.005554432997958137,0.0,0.9942441367343271,0.0002014302677146826
-0.005219729353472306,0.010342458710425656,0.0,0.9892183959790111,0.000439145310563284
-0.003716075109627959,0.022565224486159243,0.0,0.2709270409829701,0.0002336131016218929
-0.002617116624604489,0.030382635565917762,0.0,0.06317975205722998,0.0006092110151875449
-0.001739648995067414,0.037309853803107466,0.0,0.04231157176660327,0.00019246168065863503
-0.0008698244975333391,0.04559082848857673,0.0,0.04163930878190214,0.0005885577200345507
0.0,0.05570849598711809,0.0,0.04290780383516013,0.00017097836511165143
0.0008914882248994977,0.19057995766930286,0.0,0.04708022270015723,0.0005017594660491169
0.001782976449799005,0.19410561717844751,0.0,0.05282064538202514,7.880256437115758e-05
0.002674464674698533,0.20199974582032462,0.0,0.06075148317840677,0.00034747434085706036
0.003565952899598004,0.2135304128701906,0.0,0.07117441588143414,0.0
0.004457441124497438,0.22766944378217435,0.0014103135911590807,0.0844300050726099,0.00016542262391756177
0.00534892934939678,0.23556439082620007,0.006177876072038356,0.10007428889360655,0.0
0.006240417574296114,0.2389958698518304,0.011315343724680365,0.11607840615535145,0.0
0.007131905799195436,0.24037658308834947,0.01690212289250384,0.1322548737139451,0.0
0.008023394024094811,0.2406463514506862,0.022878898139099043,0.14746124935209384,0.0
0.008914882248994234,0.24013833683220426,0.02927793724637616,0.16135539977276883,0.0
0.009806370473893577,0.23794665330918374,0.03602896118866819,0.17342187435397236,0.0
0.0106978586987929,0.23153035446611392,0.04281045080322982,0.18300651521505423,0.0
0.01158934692369223,0.22006313718866338,0.049150310654988705,0.18998539867252479,0.0
0.01248083514859175,0.20878163872373517,0.05477440544971503,0.19482607413513447,0.0
0.01337232337349147,0.19960359989791304,0.05961974402019643,0.19796256484337066,0.0
0.01426381159839122,0.19214704350074457,0.06371592528258924,0.1997692229493863,0.0
0.01515529982329097,0.18589057365985254,0.06710748809108447,0.20044189954615255,0.0
0.0160467880481907,0.1805153323783395,0.06985657082578951,0.20014684348213269,0.0
0.01693827627309051,0.17582315172332266,0.07201101025760145,0.19884789951843013,0.0
0.01782976449799041,0.17169109318949047,0.07364583516871946,0.19676017567270082,0.0
0.01872125272289031,0.16803945326248473,0.07480883759088065,0.19409843306480204,0.0
0.01961274094779022,0.16481227064740178,0.0755845324565381,0.1910844720059691,0.0
0.02050422917269014,0.16196754921132805,0.07602208459339647,0.1878988299803374,0.0
0.02139571739759007,0.15947171802286692,0.07620299952717903,0.18468543674593413,0.0
0.02228720562248999,0.15729551433193784,0.07617386087913093,0.18154762084704157,0.0
0.02317869384738967,0.1554133083410152,0.07599705040270559,0.17856012757013223,0.0
0.02407018207228917,0.15379949292375078,0.07571547124704747,0.17576857106290586,0.0
0.02496167029718797,0.1524315261060281,0.07537455541774274,0.17319639957389552,0.0
0.02585315852208661,0.151283648541973,0.07500301407037308,0.1708468021582661,0.0
0.02674464674698497,0.15033478727566243,0.07462581426586234,0.16871480661793986,0.0
0.02763613497188353,0.14955844310305624,0.074257973969027,0.16678232278798338,0.0
0.02852762319678226,0.1489356786543942,0.07391040015715589,0.16503698352699356,0.0
0.02941911142168101,0.14844065831647962,0.07358882742993075,0.16345490876473745,0.0
0.03031059964657972,0.1480564970588491,0.07329640174778254,0.1620202558322916,0.0
0.03120208876295687,0.14775971973105942,0.0730342325965109,0.1607062675567236,0.0
0.03211603615231537,0.14753547684415597,0.07280181494521414,0.15949658043797738,0.0
0.03306263821957166,0.14736451971460038,0.07259872288446734,0.1583668769912632,0.0
0.03404330350149454,0.14723406003715128,0.07242272173066346,0.15730261390109213,0.0
0.03505990866283369,0.14712995472500323,0.07227357963038698,0.1562846872026455,0.0
0.03611437659401692,0.1470413445905245,0.07214818225448338,0.1552988232314326,0.0
0.03720781251492448,0.14695904638227578,0.07204738600859414,0.15433122742218477,0.0
