"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient","Metric_xx","Metric_xy","Metric_yy"
0, -5.000000000000000e-02, 0.000000000000000e+00, 1.842805571604039e-50, 6.970400936546761e-30, 4.351443254075053e-50, 1.849308055538482e-03, 5.307537920013917e-04, 1.284758603528300e+01, 5.103652428430886e-14, 3.548202393745094e+04, 5.845895749321737e+01, 7.742679348895224e-48, 2.928663783990170e-27, 1.828289991107953e-47, 7.770000000000000e-01, 2.229999999999999e-01, 5.858999999998935e+02, 8.530999999998462e+02, 8.531000000009832e+02, 5.398005118464787e+03, 2.144336053160225e-11, 9.195000000000810e+00, -3.072026419424176e-15, 4.000000000000001e+00, -4.801883333517976e-17, 4.000000000000000e+00
3, -3.640905996670419e-02, 0.000000000000000e+00, 5.205434355427741e-50, 1.377837855582652e-29, 1.254490048457779e-49, 1.849308055538473e-03, 5.307537920013892e-04, 1.284758603528297e+01, -5.371699822115543e-14, 3.548202393745099e+04, 5.845895749262024e+01, 2.187100457413873e-47, 5.789084250087224e-27, 5.270829620475939e-47, 7.770000000000000e-01, 2.229999999999999e-01, 5.858999999998906e+02, 8.530999999998462e+02, 8.531000000009832e+02, 5.398005118464804e+03, -2.256958081853197e-11, 9.195000000000839e+00, -3.153990838298887e-15, 3.999999999999999e+00, -7.791585030039520e-17, 4.000000000000000e+00
4, -2.648758523368654e-02, 0.000000000000000e+00, 7.759490406496258e-50, 1.789982410707429e-29, 1.885903508712183e-49, 1.849308055538513e-03, 5.307537920014007e-04, 1.284758603528324e+01, -1.140390299612512e-14, 3.548202393745170e+04, 5.845895749294505e+01, 3.260205365888557e-47, 7.520739062128137e-27, 7.923758412671065e-47, 7.770000000000000e-01, 2.230000000000000e-01, 5.858999999999147e+02, 8.530999999998630e+02, 8.531000000010289e+02, 5.398005118464798e+03, -4.791431368858108e-12, 9.195000000000739e+00, -2.458932566241336e-15, 4.000000000000000e+00, 5.113927119316781e-17, 4.000000000000000e+00
6, -1.924472747190228e-02, 0.000000000000000e+00, 9.632465321454157e-50, 2.059697212023934e-29, 2.352766832142229e-49, 1.849308055538487e-03, 5.307537920013933e-04, 1.284758603528304e+01, 4.035363326504022e-14, 3.548202393745110e+04, 5.845895749253606e+01, 4.047149166065002e-47, 8.653965081423881e-27, 9.885318041521211e-47, 7.770000000000000e-01, 2.229999999999999e-01, 5.858999999999066e+02, 8.530999999998630e+02, 8.531000000010289e+02, 5.398005118464790e+03, 1.695486749924218e-11, 9.195000000000725e+00, -2.691711515845516e-15, 4.000000000000000e+00, -9.722981732372966e-17, 4.000000000000000e+00
20, -1.395714581734536e-02, 0.000000000000000e+00, 1.099205400287994e-49, 2.237497320634313e-29, 2.695245144588931e-49, 1.849308055538457e-03, 5.307537920013845e-04, 1.284758603528284e+01, 2.273161616730110e-14, 3.548202393745057e+04, 5.845895749249259e+01, 4.618390070090791e-47, 9.401004948451692e-27, 1.132426515460041e-46, 7.770000000000000e-01, 2.229999999999999e-01, 5.858999999999005e+02, 8.530999999998680e+02, 8.531000000009626e+02, 5.398005118464795e+03, 9.550851038092857e-12, 9.195000000000705e+00, -2.868754660614892e-15, 4.000000000000000e+00, 2.816488340701053e-17, 4.000000000000000e+00
23, -1.009678458521239e-02, 0.000000000000000e+00, 1.214027003475518e-49, 2.380776228917719e-29, 2.985457361718248e-49, 1.849308055538453e-03, 5.307537920013835e-04, 1.284758603528286e+01, -6.325112430002010e-14, 3.548202393745074e+04, 5.845895749265454e+01, 5.100821244331963e-47, 1.000300152442938e-26, 1.254361253176753e-46, 7.770000000000000e-01, 2.230000000000000e-01, 5.858999999998994e+02, 8.530999999998680e+02, 8.531000000009626e+02, 5.398005118464814e+03, -2.657541204880871e-11, 9.195000000000737e+00, -2.901540428164777e-15, 4.000000000000000e+00, -9.899748049769941e-17, 4.000000000000000e+00
28, -7.278131510363134e-03, 0.000000000000000e+00, 1.314921413293828e-49, 2.499745004925834e-29, 3.242385177856382e-49, 1.849308055538481e-03, 5.307537920013917e-04, 1.284758603528303e+01, -2.429529104252443e-14, 3.548202393745115e+04, 5.845895749317444e+01, 5.524736319995141e-47, 1.050285734175215e-26, 1.362311311871093e-46, 7.770000000000000e-01, 2.230000000000000e-01, 5.858999999999082e+02, 8.530999999998680e+02, 8.531000000009626e+02, 5.398005118464804e+03, -1.020784021542844e-11, 9.195000000000718e+00, -2.645811441275678e-15, 4.000000000000000e+00, -1.099376122261114e-16, 4.000000000000000e+00
30, -5.219729353472306e-03, 0.000000000000000e+00, 1.385564600593030e-49, 2.580813363534752e-29, 3.422756310552611e-49, 1.849308055538502e-03, 5.307537920013978e-04, 1.284758603528318e+01, -3.874174289412948e-14, 3.548202393745157e+04, 5.845895749283838e+01, 5.821548721623302e-47, 1.084347184592011e-26, 1.438095532723433e-46, 7.769999999999999e-01, 2.230000000000000e-01, 5.858999999999148e+02, 8.530999999998680e+02, 8.531000000009626e+02, 5.398005118464804e+03, -1.627762023670689e-11, 9.195000000000721e+00, -2.455653989486348e-15, 4.000000000000000e+00, 2.415075428635518e-17, 4.000000000000001e+00
31, -3.793883903379684e-03, -6.938893903907228e-18, 1.437335215230018e-49, 2.639082785913143e-29, 3.555196602142017e-49, 1.849308055538517e-03, 5.307537920014019e-04, 1.284758603528326e+01, 1.471442228805122e-14, 3.548202393745172e+04, 5.845895749335388e+01, 6.039066660035232e-47, 1.108829498964891e-26, 1.493741268033325e-46, 7.770000000000000e-01, 2.229999999999999e-01, 5.858999999999195e+02, 8.530999999998680e+02, 8.531000000009626e+02, 5.398005118464793e+03, 6.182369715837572e-12, 9.195000000000704e+00, -2.321232342531821e-15, 3.999999999999999e+00, 9.048777527909245e-17, 3.999999999999999e+00
32, -2.617116624604489e-03, 0.000000000000000e+00, 1.480012339870720e-49, 2.686486610811841e-29, 3.664491431359622e-49, 1.849308055538500e-03, 5.307537920013968e-04, 1.284758603528315e+01, -2.822420386935780e-14, 3.548202393745148e+04, 5.845895749251680e+01, 6.218377650145961e-47, 1.128746554879939e-26, 1.539662271863796e-46, 7.770000000000000e-01, 2.229999999999999e-01, 5.858999999999140e+02, 8.530999999998680e+02, 8.531000000009626e+02, 5.398005118464801e+03, -1.185860102691499e-11, 9.195000000000718e+00, -2.478604026771267e-15, 4.000000000000000e+00, -7.108512352367544e-18, 4.000000000000000e+00
