x,S1_M,S1_P,S1_T,S1_beta
-0.05,0.9524810407323705,2.3413493366319926e-12,3.1670818856355254e-08,6.626954540678298e-11
-0.036321868903065,0.9524819467640551,3.830602501864178e-12,3.256261593698184e-08,6.829059540081062e-11
-0.02650896669203175,0.9524838325337601,8.378409077636206e-12,3.199163667311211e-08,6.915701344922809e-11
-0.019468917466196032,0.9524868813718033,2.1535551120166474e-11,3.4652946845348254e-08,7.506106847188221e-11
-0.01441803665817253,0.9524913237980991,4.8627657456279394e-11,3.344778554126293e-08,7.65965069149388e-11
-0.01079409732605052,0.9524975534906266,1.2398482240882913e-10,3.783586566274977e-08,8.591283240377834e-11
-0.008193750092243442,0.952505985561574,2.339037852294723e-10,3.587936581173068e-08,8.774669879585417e-11
-0.006327637772575889,0.952517273171453,5.592649676700034e-10,4.192185132367854e-08,9.971579117973306e-11
-0.0049881893861881965,0.952532059299605,8.75049366300118e-10,3.906092105321335e-08,1.0135092765040099e-10
-0.004026523985122925,0.9525513176196165,1.980233865772618e-09,4.6655995289413e-08,1.1497180985031719e-10
-0.003335871429679449,0.9525759730069192,2.59987287254404e-09,4.272749043465751e-08,1.1585110648582031e-10
-0.00283967477847865,0.9526073776603694,5.633715383090987e-09,5.1747734541862656e-08,1.2995970966045434e-10
-0.002483045367522009,0.9526467953172177,6.2697017577661995e-09,4.6611064785651024e-08,1.2954626260608393e-10
-0.0022041559146859647,0.9526959942404551,1.3124157982602469e-08,5.6914375323735555e-08,1.4292533823123676e-10
-0.001928636425350724,0.9527566249371582,1.247119596481383e-08,5.048977469446214e-08,1.40784717217457e-10
-0.001653116936015483,0.9528308736579328,2.538125520867851e-08,6.194148738369876e-08,1.5229628669288786e-10
-0.0013775974466796038,0.9529208009252121,2.0694612135052637e-08,5.425343641007885e-08,1.4816869953193645e-10
-0.00110207795734342,0.9530289703938731,4.1146188234364445e-08,6.676451391740557e-08,1.5688916832345967e-10
-0.0008265584680072213,0.9531578355714145,2.8868629264877654e-08,5.799092028802022e-08,1.5073597925407967e-10
-0.0005510389786710299,0.9533102667437133,5.628072330399192e-08,7.157778647570723e-08,1.5606937964207646e-10
-0.0002755194893352339,0.953489071890039,3.401527659541159e-08,6.210722824917525e-08,1.4808498871587972e-10
0.0,0.9536972934653278,6.520977746671264e-08,7.697947856932785e-08,1.49828704998356e-10
0.0002687398190813291,0.9539375914660676,3.3928829523688364e-08,6.748084191432469e-08,1.4041368068262727e-10
0.0005374796381626582,0.9542122485573814,6.410637976017597e-08,8.416323205029386e-08,1.3876289006731213e-10
0.0008062194572439872,0.9545233392729888,2.8646163330314778e-08,7.567502957606109e-08,1.2846346209016701e-10
0.001074959276325316,0.9548731506895843,5.344354592207168e-08,9.517073085163474e-08,1.239529590080224e-10
0.0013436990954066462,0.9552639876807556,2.0422654123386508e-08,8.921645433535019e-08,1.1337975003300471e-10
0.0016124389144879779,0.9556981299089463,3.7678563380438845e-08,1.1321497972449635e-07,1.0677625450483674e-10
0.001881178733569316,0.9561776303409928,1.2233176582832073e-08,1.1195164850708039e-07,9.651801580190522e-11
0.002149918552650655,0.9567035344750212,2.2347071415573794e-08,1.430829876802875e-07,8.868739076461907e-11
0.002418658371731993,0.9572747999216911,6.107581329573009e-09,1.4948749549326124e-07,7.923828260203436e-11
0.002687398190813331,0.9578877013907816,1.1058805760022494e-08,1.9161428765901434e-07,7.10155267924506e-11
0.002956138009894669,0.9585357242121655,2.511589936027292e-09,2.0970314829060754e-07,6.272604657908687e-11
0.003224877828975986,0.9592090441210126,4.5116341773621116e-09,2.6823211607407416e-07,5.4812043792651366e-11
0.003493617648057295,0.959893795087955,8.362134318318226e-10,3.032999330576658e-07,4.7871262509602275e-11
