x,S1_M,S1_P,S1_T,S1_beta
-0.05,6.169074097087468e-13,0.9999999413938073,2.1515557890872117e-08,7.763926723747261e-09
-0.036321868903065,6.072827263217696e-13,0.9999998738082009,2.3613933586297264e-08,7.799171863887011e-09
-0.02650896669203175,5.956511380947835e-13,0.9999997632238631,2.254414910307645e-08,8.158563380433748e-09
-0.019468917466196032,1.0914123269692907e-11,0.9999993710049471,2.9006801960385076e-08,8.26714685597807e-09
-0.01441803665817253,1.209567113911007e-09,0.9999988272662971,2.701844969976719e-08,8.997010803035721e-09
-0.01079409732605052,5.43513853068905e-09,0.9999972095848861,3.836995821071554e-08,9.188232841239596e-09
-0.008193750092243442,3.6803896313478155e-08,0.9999949884302701,3.58772160868881e-08,1.031120078209824e-08
-0.006327637772575889,1.403734120206148e-07,0.9999892541091205,5.3069737715460974e-08,1.0602965394568287e-08
-0.0049881893861881965,4.733643113861351e-07,0.9999814242975742,5.097505928475243e-08,1.2153958173222179e-08
-0.004026523985122925,1.40133432074519e-06,0.9999636671026648,7.55186978507183e-08,1.2575978591833348e-08
-0.003335871429679449,3.437734038761918e-06,0.9999395634660492,7.555030534511786e-08,1.4602819509157428e-08
-0.00283967477847865,7.901670319196352e-06,0.9998910645722221,1.0971482300448088e-07,1.520031411850198e-08
-0.002483045367522009,1.6155574899803216e-05,0.9998256788665091,1.1486257234238906e-07,1.7763644666324296e-08
-0.0022041559146859647,2.9254105315041757e-05,0.9997078852413173,1.6195140639663208e-07,1.8600774143173737e-08
-0.001928636425350724,5.3189866103166374e-05,0.9995504195645916,1.7696295950830887e-07,2.177256408497641e-08
-0.001653116936015483,7.727634197394962e-05,0.9992939799072004,2.416369079272229e-07,2.293472556313958e-08
-0.0013775974466796038,0.00013031849886029358,0.9989550155614699,2.7350005427084767e-07,2.679461896804014e-08
-0.00110207795734342,0.00015750436465452716,0.9984502942891289,3.6209240705797896e-07,2.8388672856927144e-08
-0.0008265584680072213,0.00025799618053807237,0.9977932355092793,4.2038627789953154e-07,3.301748108253122e-08
-0.0005510389786710299,0.000287389902067074,0.9968861148986048,5.411081877015889e-07,3.516907054468277e-08
-0.0002755194893352339,0.0004857353732333169,0.9957281423288736,6.38066259384118e-07,4.063896963391045e-08
0.0,0.0006001817602239871,0.9942215720747608,8.009623325699877e-07,4.34863366427507e-08
0.0002687398190813291,0.001049572764098289,0.9923408373503272,9.510680792912396e-07,4.984774260030633e-08
0.0005374796381626582,0.0015229029510869557,0.989994549451772,1.1675619543405347e-06,5.35318501748705e-08
0.0008062194572439872,0.0025457363635284936,0.987123913800093,1.3865198510432108e-06,6.0797541112656e-08
0.001074959276325316,0.0039113874853110246,0.9836266140900445,1.668427329959421e-06,6.544891573145861e-08
0.0013436990954066462,0.006070961485031468,0.9793849402633195,1.971410739876056e-06,7.357677422881181e-08
0.0016124389144879779,0.009066557148057097,0.974211650631692,2.3293382412914454e-06,7.929985879062684e-08
0.001881178733569316,0.013332260562150672,0.9680048717049634,2.7285439897495323e-06,8.817618302181529e-08
0.002149918552650655,0.01928754352046872,0.960744032202838,3.169758573284831e-06,9.503284337242235e-08
0.002418658371731993,0.027399960649400083,0.952476231007797,3.671502568858287e-06,1.0445884102150416e-07
0.002687398190813331,0.03827088682051401,0.9433635351332569,4.197497397551153e-06,1.1245311892782439e-07
0.002956138009894669,0.051973459748143574,0.9337106614276656,4.799254950782483e-06,1.2213735200994336e-07
0.003224877828975986,0.06649598576222338,0.923987991344088,5.4034196990127015e-06,1.3120365349728047e-07
0.003493617648057295,0.07914190175359051,0.914747753779825,6.091386389850406e-06,1.4076310705934958e-07
0.003762357467138606,0.08924198143907883,0.9062786210786561,6.757309726768135e-06,1.5075996218083532e-07
0.004031097286219916,0.09745670840345157,0.8985165200880805,7.505122015638577e-06,1.5973168010496863e-07
0.004299837105301226,0.10447285405902411,0.8912911208531812,8.206071736460707e-06,1.7044272326849352e-07
0.004568576924382532,0.11073528721713934,0.8845226007283887,8.975244740305754e-06,1.7830675880237123e-07
0.004837316743463812,0.11652391017020927,0.8782378309312472,9.675250133400759e-06,1.8944976043488992e-07
0.005106056562545092,0.12,0.8724704884392567,1.0417643320104197e-05,1.9566262632331188e-07
0.005374796381626372,0.12,0.8672205635966224,1.1074341458972015e-05,2.0690634716657996e-07
0.005643536200707652,0.12,0.8624893752139248,1.1736580806664954e-05,2.1094245183927995e-07
0.005912276019788932,0.12,0.8583059995841479,1.2305608832363646e-05,2.219299584105272e-07
0.006181015838870209,0.12,0.8546967806957071,1.2834873635791944e-05,2.2332697557914116e-07
0.0064497556579514856,0.12,0.8516421491194385,1.327519482063888e-05,2.337030393650963e-07
0.006718495477032762,0.12,0.8490894511953136,1.3625777447789922e-05,2.3210619004565558e-07
0.0069872352961140366,0.12,0.8470034441354467,1.3905410758630055e-05,2.415454573023723e-07
0.007255975115195314,0.12,0.845372305203173,1.4044738343099716e-05,2.3674578586430073e-07
0.007524714934276591,0.12,0.844164052775973,1.4144973659480087e-05,2.449770644119553e-07
0.0077934547533578934,0.12,0.8433010846490865,1.4058312186482347e-05,2.3693832784665858e-07
0.0080621945724392,0.12,0.8427126433401337,1.3976097435031143e-05,2.4376477258947205e-07
0.008330934391520507,0.12,0.8423254053954746,1.3668044292702852e-05,2.326341126401843e-07
0.008599674210601814,0.12,0.8421009107495677,1.3416262144239077e-05,2.3794746761840457e-07
0.00886841402968312,0.12,0.8419865143268641,1.2909815785278056e-05,2.2404685395827073e-07
0.009137153848764415,0.12,0.8419536259116935,1.251579757322041e-05,2.2783154340899614e-07
0.009405893667845696,0.12,0.8419590085158619,1.1849163026544929e-05,2.1163365759857555e-07
0.009674633486926971,0.12,0.8419794665330693,1.1350104608953693e-05,2.139617636398583e-07
0.009943373306008252,0.12,0.84198795672271,1.0571633916822698e-05,1.9605286982748993e-07
0.010212113125089529,0.12,0.84197623699849,1.0009154327028646e-05,1.9707018450443314e-07
0.01048085294417081,0.12,0.8419350041243931,9.171267293051066e-06,1.7810362507031385e-07
0.01074959276325209,0.12,0.841867397468483,8.586100235574712e-06,1.7801035767650575e-07
0.011018332582333359,0.12,0.8417774295069689,7.739117168892307e-06,1.5865599245490358e-07
0.01128707240141464,0.12,0.8416722477346024,7.167142360042789e-06,1.576845711781516e-07
0.01155581222049592,0.12,0.8415586833892431,6.354571996380898e-06,1.3858005776246074e-07
0.0118245520395772,0.12,0.841439920572099,5.824125309139561e-06,1.369728650502111e-07
0.01209329185865849,0.12,0.8413213819826999,5.079174302147216e-06,1.1868175231466438e-07
0.012362031677739879,0.12,0.8412013135065189,4.60917938260863e-06,1.1667136035065084e-07
0.01263077149682128,0.12,0.8410831140634357,3.953578857407436e-06,9.965189240457306e-08
0.01289951131590268,0.12,0.8409610378542973,3.5538193930984008e-06,9.744550488743897e-08
0.01316825113498408,0.12,0.8408366782182793,2.998173422308348e-06,8.203238499593368e-08
0.01343699095406548,0.12,0.8407033858380216,2.6706046655222693e-06,7.980141214503078e-08
0.01370573077314688,0.12,0.8405626244399068,2.215971229513336e-06,6.620075954089089e-08
0.01397447059222828,0.12,0.8404091638418256,1.9566613538302136e-06,6.407572072930634e-08
0.01424321041130969,0.12,0.840245347243326,1.5968706693625379e-06,5.237180900063976e-08
0.01451195023039109,0.12,0.8400686660654634,1.3981058969436688e-06,5.0442052534904747e-08
0.0147806900494725,0.12,0.839882718903201,1.1222946583178128e-06,4.061322045334492e-08
0.015049429868553909,0.12,0.8396875171911513,9.74490582006382e-07,3.893045519287597e-08
0.01531816968763531,0.12,0.8394875168967925,7.694406429781253e-07,3.087093114473305e-08
0.01558690950671671,0.12,0.8392850571453482,6.626480598681539e-07,2.9455312633430708e-08
0.01585564932579811,0.12,0.8390850148286407,5.146723310867074e-07,2.299960599749795e-08
0.016124389144879517,0.12,0.8388907008678752,4.396049788635281e-07,2.184709946284613e-08
0.016393128963960918,0.12,0.838706296037005,3.358760563010321e-07,1.679399097564982e-08
0.016661868783042332,0.12,0.8385351401881767,2.844918886024672e-07,1.5883894421975242e-08
0.01693060860212378,0.12,0.8383803611364424,2.138294253883899e-07,1.2017751349624461e-08
0.01719934842120523,0.12,0.8382444466922049,1.7955666042901441e-07,1.1319538195664336e-08
0.017468088240286683,0.12,0.8381289128105561,1.3276488042279766e-07,8.427515352238402e-09
0.01773682805936813,0.12,0.8380351647554887,1.1048354531251192e-07,7.906470811391841e-09
