x,UB,LB,M
-0.05,6.686115413390947e-39,-2.600140435088595e-39,2.0429874891511762e-39
-0.03640905996670419,1.3265874018387762e-38,-4.802590239140737e-39,4.231641889623512e-39
-0.02648758523368654,2.1772140508115636e-38,-7.578035823694898e-39,7.097052342210368e-39
-0.01924472747190228,2.8226245680839805e-38,-9.572069434170163e-39,9.327088123334822e-39
-0.01395714581734536,3.3073015554257013e-38,-1.1074050906695594e-38,1.0999482323780708e-38
-0.01009678458521239,3.6897859632567963e-38,-1.2297730868832975e-38,1.2300064381867494e-38
-0.007278131510363134,3.9808871607166954e-38,-1.3234087580687074e-38,1.3287392013239942e-38
-0.005219729353472306,4.210871599484083e-38,-1.3988419335994022e-38,1.4060148329423405e-38
-0.003716075109627959,6.414664748470015e-38,-3.077944842578113e-38,1.6683599529459515e-38
-0.002617116624604489,1.909472785849415e-37,-9.92634942056534e-38,4.5841892189644037e-38
-0.001739648995067414,3.190368109684402e-26,-2.360956001743335e-26,4.1470605397053345e-27
-0.0008698244975333391,4.6990427462760307e-26,-3.0474430769046936e-26,8.257998346856687e-27
0.0,9.91538627770188e-20,-4.716210931393276e-20,2.5995876731543025e-20
0.0008914882248994977,1.1377977411320318e-18,-8.30948357676381e-19,1.5342469172782546e-19
0.001782976449799005,4.3196644950185874e-18,-2.3423111307952137e-18,9.886766821116866e-19
0.002674464674698533,8.599612563712435e-18,-6.8366892004603404e-18,8.814616816260477e-19
0.003565952899598004,3.282279214470424e-17,-2.1616290728374782e-17,5.6032507081647285e-18
0.004457441124497438,5.861179656404952e-17,-3.9515961336256294e-17,9.547917613896617e-18
0.00534892934939678,8.98646889570483e-17,-6.11639472193902e-17,1.4350370868829054e-17
0.006240417574296114,1.223314532614458e-16,-8.384219902881306e-17,1.924462711631637e-17
0.007131905799195436,1.5640417441424295e-16,-1.0940322899238444e-16,2.3500472710929254e-17
0.008023394024094811,1.9228807332273673e-16,-1.3464703622566652e-16,2.88205185485351e-17
0.008914882248994234,2.2754851983569565e-16,-1.5703677399950975e-16,3.525587291809296e-17
0.009806370473893577,2.5668432715358876e-16,-1.7392819499397421e-16,4.137806607980729e-17
0.0106978586987929,2.760669954590075e-16,-1.8184610523293682e-16,4.711044511303535e-17
0.01158934692369223,2.924547246878082e-16,-1.849418438454328e-16,5.375644042118768e-17
0.01248083514859175,3.091423922809807e-16,-1.8558346400206134e-16,6.177946413945968e-17
0.01337232337349147,3.3246064563849757e-16,-1.8879032480909852e-16,7.183516041469953e-17
0.01426381159839122,3.610034265638983e-16,-1.9545906129938649e-16,8.277218263225591e-17
0.01515529982329097,4.012825179208143e-16,-2.1222190593326552e-16,9.45303059937744e-17
0.0160467880481907,4.734712494899036e-16,-2.5920671548446534e-16,1.0713226700271911e-16
0.01693827627309051,5.881209109111749e-16,-3.4552443390971163e-16,1.2129823850073163e-16
0.01782976449799041,7.363138113015566e-16,-4.613684536108137e-16,1.3747267884537141e-16
0.01872125272289031,9.118786942909324e-16,-6.000289629398023e-16,1.55924865675565e-16
0.01961274094779022,1.122069280271587e-15,-7.699990968796804e-16,1.7603509169595332e-16
0.02050422917269014,1.3405017877915571e-15,-9.486537864916258e-16,1.959240006499657e-16
0.02139571739759007,1.5672974299147578e-15,-1.135635546951479e-15,2.1583094148163942e-16
0.02228720562248999,1.8701756549429614e-15,-1.3951911015499323e-15,2.3749227669651443e-16
0.02317869384738967,2.233153688310949e-15,-1.7090613896050167e-15,2.6204614935296617e-16
0.02407018207228917,2.6342420873848153e-15,-2.0480981803326104e-15,2.9307195352610243e-16
0.02496167029718797,3.0091422684749404e-15,-2.3627979483070588e-15,3.2317216008394066e-16
0.02585315852208661,3.3763731694929686e-15,-2.6678473921810496e-15,3.542628886559595e-16
0.02674464674698497,3.758762294148762e-15,-2.9859384489092484e-15,3.8641192261975693e-16
0.02763613497188353,4.256585415909123e-15,-3.4109503422864107e-15,4.2281753681135627e-16
0.02852762319678226,4.8061971174918495e-15,-3.880128536214928e-15,4.630342906384605e-16
0.02941911142168101,5.337234967545131e-15,-4.3214232172735485e-15,5.079058751357911e-16
