"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Density_5","Density_6","Density_7","Density_8","Density_9","Density_10","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","MassFrac_5","MassFrac_6","MassFrac_7","MassFrac_8","MassFrac_9","MassFrac_10","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient","Metric_xx","Metric_xy","Metric_yy"
0, -5.000000000000000e-02, 0.000000000000000e+00, 2.225816766941402e-85, 5.162696265863488e-137, 1.302538443607473e-116, 1.214297606563981e-80, 1.229571933981615e-103, 9.460622554423058e-86, 2.745535029198305e-44, 2.177049213835215e-26, 6.135819943203406e-44, 1.065942355278786e-03, 2.833517653272721e-04, 7.724885620526755e+00, -8.595280788886501e-18, 2.273700246985241e+04, 5.607786830648505e+01, 1.649615701239133e-82, 3.826220085762011e-134, 9.653480465937374e-114, 8.999502688254200e-78, 9.112705044837315e-101, 7.011534705401119e-83, 2.034793591159429e-41, 1.613472689599623e-23, 4.547429540749352e-41, 7.900000000000000e-01, 2.099999999999999e-01, 3.899999999999782e+02, 9.999999999999435e+02, 1.000000000000127e+03, 5.725131016695599e+03, -6.370205470861896e-15, 9.000000000000250e+00, -9.871062992345364e-16, 4.000000000000001e+00, 7.493033793449234e-17, 4.000000000000001e+00
3, -3.640905996670419e-02, 0.000000000000000e+00, 6.393635237823982e-84, 4.616520263632274e-135, 7.399373922810293e-115, 3.488068940731591e-79, 2.908009171650092e-102, 1.454332708318169e-84, 1.707892006475726e-43, 6.405579575795996e-26, 3.953680261903398e-43, 1.065942355278785e-03, 2.833517653272719e-04, 7.724885620526750e+00, -1.322783207687936e-15, 2.273700246985238e+04, 5.607786830614736e+01, 4.738503740720503e-81, 3.421433617126184e-132, 5.483885099482052e-112, 2.585106454895742e-76, 2.155207769188169e-99, 1.077847065445547e-81, 1.265767026175582e-40, 4.747356027104623e-23, 2.930184161869422e-40, 7.900000000000000e-01, 2.100000000000000e-01, 3.899999999999778e+02, 9.999999999999435e+02, 1.000000000000127e+03, 5.725131016695601e+03, -9.803520133132923e-13, 9.000000000000254e+00, -1.002529835160076e-15, 3.999999999999999e+00, 1.771541216254636e-17, 3.999999999999999e+00
4, -2.648758523368654e-02, 0.000000000000000e+00, 1.773968123711077e-83, 1.832147103708489e-134, 2.462117925080705e-114, 9.677947510985663e-79, 7.434795142908734e-102, 3.449820305356143e-84, 3.132345819055547e-43, 9.281886632083690e-26, 7.350678986398348e-43, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526747e+00, 1.994913861293475e-15, 2.273700246985235e+04, 5.607786830609032e+01, 1.314737903782068e-80, 1.357855989830853e-131, 1.824745166735630e-111, 7.172600371695577e-76, 5.510136766600062e-99, 2.556759310421215e-81, 2.321469997696724e-40, 6.879068462785994e-23, 5.447795906126584e-40, 7.899999999999999e-01, 2.100000000000000e-01, 3.899999999999779e+02, 9.999999999999435e+02, 1.000000000000127e+03, 5.725131016695596e+03, 1.478487033203277e-12, 9.000000000000247e+00, -9.973886565182295e-16, 4.000000000000000e+00, -4.121264623274680e-17, 4.000000000000000e+00
6, -1.924472747190228e-02, 0.000000000000000e+00, 2.872222962031870e-83, 3.505209162933162e-134, 4.372311805454152e-114, 1.566952083574529e-78, 1.160898619064531e-101, 5.140136076397098e-84, 4.125526840520509e-43, 1.095927925353491e-25, 9.754707304216320e-43, 1.065942355278784e-03, 2.833517653272718e-04, 7.724885620526742e+00, 2.164280765552627e-15, 2.273700246985234e+04, 5.607786830566226e+01, 2.128685598023482e-80, 2.597809557903316e-131, 3.240443828133085e-111, 1.161312466751659e-75, 8.603747702858856e-99, 3.809500091861608e-81, 3.057544517178705e-40, 8.122231532893945e-23, 7.229489223472525e-40, 7.900000000000000e-01, 2.100000000000000e-01, 3.899999999999777e+02, 9.999999999999435e+02, 1.000000000000127e+03, 5.725131016695597e+03, 1.604009631777323e-12, 9.000000000000247e+00, -1.010241603122846e-15, 4.000000000000000e+00, 3.489518481847257e-17, 4.000000000000000e+00
20, -1.395714581734536e-02, 0.000000000000000e+00, 3.909964058153549e-83, 5.305935252732775e-134, 6.292810676511975e-114, 2.133095958393469e-78, 1.540225960418001e-101, 6.676382473080196e-84, 4.951900478488660e-43, 1.224518528429503e-25, 1.176527745555391e-42, 1.065942355278784e-03, 2.833517653272718e-04, 7.724885620526742e+00, 1.876293616134778e-15, 2.273700246985235e+04, 5.607786830577763e+01, 2.897784847974679e-80, 3.932378546457709e-131, 4.663779809316491e-111, 1.580897689997608e-75, 1.141504981676037e-98, 4.948055706402542e-81, 3.669993371248396e-40, 9.075252828341770e-23, 8.719579575629778e-40, 7.899999999999999e-01, 2.100000000000000e-01, 3.899999999999777e+02, 9.999999999999435e+02, 1.000000000000127e+03, 5.725131016695596e+03, 1.390574217645010e-12, 9.000000000000247e+00, -1.010241603122846e-15, 4.000000000000000e+00, -7.056188509406255e-17, 4.000000000000000e+00
22, -1.009678458521239e-02, 0.000000000000000e+00, 4.874908848425266e-83, 7.154557379742993e-134, 8.191031499945703e-114, 2.659525586017392e-78, 1.885538062246093e-101, 8.026505814127466e-84, 5.617921492989942e-43, 1.320320279819628e-25, 1.339769653323350e-42, 1.065942355278784e-03, 2.833517653272717e-04, 7.724885620526738e+00, 3.324059147445945e-15, 2.273700246985234e+04, 5.607786830569709e+01, 3.612932698643663e-80, 5.302444641594832e-131, 6.070604899891342e-111, 1.971049562435524e-75, 1.397425537879891e-98, 5.948670265102940e-81, 4.163600364957173e-40, 9.785266678747449e-23, 9.929411481623980e-40, 7.900000000000000e-01, 2.100000000000000e-01, 3.899999999999776e+02, 9.999999999999435e+02, 1.000000000000127e+03, 5.725131016695595e+03, 2.463554162640903e-12, 9.000000000000243e+00, -1.012812192443769e-15, 4.000000000000000e+00, 1.006200183754266e-16, 4.000000000000000e+00
27, -7.278131510363134e-03, 0.000000000000000e+00, 5.600059201779954e-83, 8.629385872266929e-134, 9.670595921778360e-114, 3.055134396704013e-78, 2.141837551501814e-101, 9.007552355684635e-84, 6.077504856292548e-43, 1.383394259538858e-25, 1.452938555261719e-42, 1.065942355278784e-03, 2.833517653272717e-04, 7.724885620526736e+00, 2.911941079918212e-15, 2.273700246985235e+04, 5.607786830582695e+01, 4.150362116203843e-80, 6.395481711867914e-131, 7.167151901199026e-111, 2.264246430816547e-75, 1.587376331662793e-98, 6.675751578639324e-81, 4.504210582021024e-40, 1.025272576536156e-22, 1.076813819220608e-39, 7.900000000000000e-01, 2.100000000000000e-01, 3.899999999999920e+02, 9.999999999999806e+02, 1.000000000000055e+03, 5.725131016695595e+03, 2.158121817510232e-12, 9.000000000000076e+00, -3.598825049292580e-16, 4.000000000000001e+00, -7.605061256677945e-18, 4.000000000000000e+00
28, -5.219729353472306e-03, 0.000000000000000e+00, 6.224361213789000e-83, 9.956029174387288e-134, 1.097760823244026e-113, 3.395724987851852e-78, 2.359973410911722e-101, 9.835927017960811e-84, 6.452309982650817e-43, 1.433266894694783e-25, 1.545483092545912e-42, 1.065942355278783e-03, 2.833517653272715e-04, 7.724885620526731e+00, 3.150771559123572e-15, 2.273700246985234e+04, 5.607786830592147e+01, 4.613049978305129e-80, 7.378694550240382e-131, 8.135815657085577e-111, 2.516667742038787e-75, 1.749042980971195e-98, 7.289683448366958e-81, 4.781989252093286e-40, 1.062234595709207e-22, 1.145401190847653e-39, 7.899999999999999e-01, 2.100000000000000e-01, 3.899999999999918e+02, 9.999999999999806e+02, 1.000000000000055e+03, 5.725131016695594e+03, 2.335125834320212e-12, 9.000000000000075e+00, -3.701648622129511e-16, 4.000000000000000e+00, 2.723615039916342e-17, 4.000000000000000e+00
32, -3.716075109627959e-03, 0.000000000000000e+00, 6.763510178344778e-83, 1.114323878921149e-133, 1.213132260461656e-113, 3.689859987324440e-78, 2.546771669126533e-101, 1.053864214883803e-83, 6.760956099899853e-43, 1.473268581174669e-25, 1.621886669492795e-42, 1.065942355278783e-03, 2.833517653272714e-04, 7.724885620526733e+00, -6.846347762173132e-15, 2.273700246985239e+04, 5.607786830595186e+01, 5.012628510755574e-80, 8.258569142957762e-131, 8.990865978996196e-111, 2.734659501567448e-75, 1.887484448522324e-98, 7.810485488593435e-81, 5.010735611049038e-40, 1.091880975893477e-22, 1.202026040671030e-39, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000563e+02, 1.000000000000146e+03, 9.999999999993722e+02, 5.725131016695597e+03, -5.074021784885565e-12, 8.999999999999334e+00, 2.544883427714039e-15, 4.000000000000000e+00, 9.029255570775937e-17, 4.000000000000000e+00
33, -2.617116624604489e-03, 0.000000000000000e+00, 7.139392031797114e-83, 1.198962260490298e-133, 1.294522651955045e-113, 3.894923924779265e-78, 2.675821618870805e-101, 1.102701655619744e-83, 6.972746629241629e-43, 1.500451716790938e-25, 1.674328690461400e-42, 1.065942355278783e-03, 2.833517653272714e-04, 7.724885620526742e+00, -1.441190378503945e-14, 2.273700246985245e+04, 5.607786830594072e+01, 5.291205173702497e-80, 8.885848105169003e-131, 9.594073168966245e-111, 2.886638180139558e-75, 1.983127012862787e-98, 8.172433561960907e-81, 5.167699556942947e-40, 1.112027165816886e-22, 1.240892304273402e-39, 7.899999999999999e-01, 2.100000000000000e-01, 3.900000000002140e+02, 1.000000000000551e+03, 9.999999999970877e+02, 5.725131016695606e+03, -1.068106913455322e-11, 8.999999999997527e+00, 9.678268793276118e-15, 4.000000000000000e+00, -8.574490785724039e-17, 3.999999999999999e+00
