"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Density_5","Density_6","Density_7","Density_8","Density_9","Density_10","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","MassFrac_5","MassFrac_6","MassFrac_7","MassFrac_8","MassFrac_9","MassFrac_10","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient","Metric_xx","Metric_xy","Metric_yy"
0, -5.000000000000000e-02, 0.000000000000000e+00, 1.208106840105953e-82, 1.727684870861537e-133, 2.308670703531607e-113, 6.590882784970546e-78, 5.295579190748679e-101, 1.064061126410810e-83, 5.098375609994621e-43, 9.317344473874715e-26, 1.320757415777420e-42, 1.065942355278789e-03, 2.833517653272731e-04, 7.724885620526782e+00, 1.893256475027225e-14, 2.273700246985247e+04, 5.607786830558555e+01, 8.953621168698988e-80, 1.280436077262023e-130, 1.711021094863009e-110, 4.884689471566154e-75, 3.924703376288384e-98, 7.886057681277564e-81, 3.778550230178564e-40, 6.905347271275179e-23, 9.788506416852801e-40, 7.899999999999999e-01, 2.100000000000000e-01, 3.900000000000416e+02, 1.000000000000103e+03, 1.000000000000126e+03, 5.725131016695600e+03, 1.403145871692401e-11, 8.999999999999536e+00, 1.879100793594912e-15, 4.000000000000002e+00, 5.959208298069719e-17, 4.000000000000001e+00
3, -3.640905996670419e-02, 0.000000000000000e+00, 2.797300615288844e-82, 5.501106582705886e-133, 5.775388780105697e-113, 1.526080381174529e-77, 1.169170441673735e-100, 2.375430239468723e-83, 9.797222251469127e-43, 1.497335418621711e-25, 2.577596642882327e-42, 1.065942355278781e-03, 2.833517653272711e-04, 7.724885620526731e+00, -1.349567695913937e-17, 2.273700246985233e+04, 5.607786830606980e+01, 2.073158529759546e-79, 4.077025534088146e-130, 4.280303821016879e-110, 1.131021293184818e-74, 8.665052517597775e-98, 1.760498473380858e-80, 7.260998252233235e-40, 1.109717589185940e-22, 1.910329707598938e-39, 7.900000000000000e-01, 2.100000000000001e-01, 3.900000000000144e+02, 1.000000000000040e+03, 1.000000000000129e+03, 5.725131016695605e+03, -1.000202754391134e-14, 8.999999999999824e+00, 6.503590981935878e-16, 4.000000000000000e+00, 1.000708278367151e-16, 4.000000000000000e+00
4, -2.648758523368654e-02, 0.000000000000000e+00, 4.364177666724851e-82, 1.034413602802824e-132, 9.788301866851265e-113, 2.380897619561374e-77, 1.753388041479728e-100, 3.531021156904876e-83, 1.313730595739143e-42, 1.828465231591272e-25, 3.495360524426592e-42, 1.065942355278782e-03, 2.833517653272713e-04, 7.724885620526736e+00, 3.503591510385344e-15, 2.273700246985233e+04, 5.607786830622223e+01, 3.234415388073153e-79, 7.666331506270875e-130, 7.254387103128205e-110, 1.764550503260151e-74, 1.299485423305758e-97, 2.616939556009383e-80, 9.736428667969466e-40, 1.355127250365541e-22, 2.590510453611556e-39, 7.899999999999999e-01, 2.100000000000001e-01, 3.900000000000291e+02, 1.000000000000078e+03, 1.000000000000134e+03, 5.725131016695605e+03, 2.596610669889868e-12, 8.999999999999655e+00, 1.316141732312715e-15, 4.000000000000000e+00, 5.957698413362150e-17, 4.000000000000000e+00
5, -1.924472747190228e-02, 0.000000000000000e+00, 5.393637157592829e-82, 1.396860502462139e-132, 1.251135057948038e-112, 2.942524146949209e-77, 2.127370235167904e-100, 4.291466906897064e-83, 1.524579948018017e-42, 2.026051095970665e-25, 4.076356374587075e-42, 1.065942355278791e-03, 2.833517653272736e-04, 7.724885620526790e+00, 4.130676082332353e-14, 2.273700246985246e+04, 5.607786830626187e+01, 3.997376906356163e-79, 1.035252789684364e-129, 9.272515449678712e-110, 2.180787792677486e-74, 1.576654194722460e-97, 3.180527389365233e-80, 1.129909279774538e-39, 1.501563717672334e-22, 3.021102895457731e-39, 7.899999999999999e-01, 2.100000000000000e-01, 3.900000000000992e+02, 1.000000000000249e+03, 1.000000000000141e+03, 5.725131016695597e+03, 3.061360765788390e-11, 8.999999999998872e+00, 4.485678365011109e-15, 3.999999999999999e+00, 9.656764105873793e-17, 4.000000000000000e+00
11, -1.395714581734536e-02, 0.000000000000000e+00, 6.231879559135180e-82, 1.720729245866607e-132, 1.481380000608828e-112, 3.399831284328024e-77, 2.424576690504634e-100, 4.906800898423127e-83, 1.688568161656723e-42, 2.173165827507546e-25, 4.529666678372522e-42, 1.065942355278791e-03, 2.833517653272736e-04, 7.724885620526778e+00, 3.156589242780839e-14, 2.273700246985245e+04, 5.607786830562853e+01, 4.618622036488230e-79, 1.275281067032074e-129, 1.097892578041794e-109, 2.519711034389533e-74, 1.796922296982649e-97, 3.636568798075789e-80, 1.251445578743251e-39, 1.610594602258713e-22, 3.357063970854570e-39, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000001160e+02, 1.000000000000292e+03, 1.000000000000143e+03, 5.725131016695586e+03, 2.339437484069809e-11, 8.999999999998662e+00, 5.246572804004397e-15, 4.000000000000000e+00, 1.527256507073862e-17, 4.000000000000000e+00
12, -1.009678458521239e-02, 0.000000000000000e+00, 6.993888572106641e-82, 2.032814986750250e-132, 1.700748339850735e-112, 3.815548950539965e-77, 2.689220686302328e-100, 5.447713840914481e-83, 1.823381194984046e-42, 2.287009384654160e-25, 4.905929321161025e-42, 1.065942355278777e-03, 2.833517653272700e-04, 7.724885620526684e+00, -4.200109708448570e-15, 2.273700246985222e+04, 5.607786830563013e+01, 5.183368448211480e-79, 1.506576628257443e-129, 1.260472652980085e-109, 2.827811143819539e-74, 1.993057440355881e-97, 4.037454664419343e-80, 1.351359327175500e-39, 1.694967279355615e-22, 3.635922847538596e-39, 7.900000000000000e-01, 2.100000000000001e-01, 3.900000000000613e+02, 1.000000000000165e+03, 1.000000000000147e+03, 5.725131016695592e+03, -3.112819988100188e-12, 8.999999999999243e+00, 2.773665877276210e-15, 4.000000000000000e+00, 5.045621864717388e-17, 4.000000000000000e+00
13, -7.278131510363134e-03, 0.000000000000000e+00, 7.479465566736776e-82, 2.239530031909807e-132, 1.842914823218402e-112, 4.080457804362481e-77, 2.855756372186274e-100, 5.793444026761950e-83, 1.908608966460332e-42, 2.358055903061680e-25, 5.143734377134604e-42, 1.065942355278778e-03, 2.833517653272702e-04, 7.724885620526688e+00, -7.333415497472295e-15, 2.273700246985225e+04, 5.607786830591527e+01, 5.543243279958339e-79, 1.659778989405142e-129, 1.365836251024824e-109, 3.024142580959075e-74, 2.116481742989870e-97, 4.293685074503822e-80, 1.414524036911286e-39, 1.747621861720213e-22, 3.812166894215951e-39, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000645e+02, 1.000000000000172e+03, 1.000000000000152e+03, 5.725131016695589e+03, -5.435001446666365e-12, 8.999999999999208e+00, 2.917618879247913e-15, 4.000000000000000e+00, -3.331186317569206e-17, 4.000000000000000e+00
14, -5.219729353472306e-03, 0.000000000000000e+00, 7.800755032346052e-82, 2.379628877361705e-132, 1.938315762812024e-112, 4.255738811216308e-77, 2.965051624554862e-100, 6.021226556542592e-83, 1.963935621780782e-42, 2.403523835466779e-25, 5.298329105672340e-42, 1.065942355278778e-03, 2.833517653272702e-04, 7.724885620526685e+00, -1.957963529083489e-14, 2.273700246985226e+04, 5.607786830605998e+01, 5.781359981648974e-79, 1.763610202564932e-129, 1.436540583117202e-109, 3.154048288081773e-74, 2.197483542893584e-97, 4.462501143811477e-80, 1.455528184543383e-39, 1.781319431220239e-22, 3.926741415943134e-39, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000564e+02, 1.000000000000151e+03, 1.000000000000153e+03, 5.725131016695587e+03, -1.451102097891045e-11, 8.999999999999298e+00, 2.550024606355886e-15, 4.000000000000000e+00, 9.533940855104923e-17, 4.000000000000000e+00
15, -4.073237666381022e-03, 0.000000000000000e+00, 8.009307996018156e-82, 2.472353632945140e-132, 2.000770252905480e-112, 4.369515879011091e-77, 3.035511136643553e-100, 6.169562362064037e-83, 1.999854564397386e-42, 2.432929365085244e-25, 5.398621264126282e-42, 1.065942355278778e-03, 2.833517653272702e-04, 7.724885620526694e+00, -2.059178068979578e-14, 2.273700246985229e+04, 5.607786830629193e+01, 5.935924476140678e-79, 1.832331139066002e-129, 1.482827370511935e-109, 3.238371688041211e-74, 2.249703078288167e-97, 4.572437000831901e-80, 1.482148727883830e-39, 1.803112700137217e-22, 4.001070768544844e-39, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000666e+02, 1.000000000000177e+03, 1.000000000000153e+03, 5.725131016695594e+03, -1.526115053443410e-11, 8.999999999999192e+00, 3.012730684122075e-15, 4.000000000000001e+00, -8.990990044250337e-17, 4.000000000000001e+00
17, -3.165922246397782e-03, 0.000000000000000e+00, 8.179841069140388e-82, 2.549636666699912e-132, 2.052168394795501e-112, 4.462551012526112e-77, 3.092708553748851e-100, 6.291887400575299e-83, 2.029583205010925e-42, 2.457313751637222e-25, 5.481449303505020e-42, 1.065942355278783e-03, 2.833517653272715e-04, 7.724885620526724e+00, -2.052322906617629e-14, 2.273700246985238e+04, 5.607786830674178e+01, 6.062311355411743e-79, 1.889607779180648e-129, 1.520919985832103e-109, 3.307322654397763e-74, 2.292093700341417e-97, 4.663095543430670e-80, 1.504181463489449e-39, 1.821184658044374e-22, 4.062456969013508e-39, 7.900000000000000e-01, 2.100000000000000e-01, 3.900000000000786e+02, 1.000000000000203e+03, 1.000000000000153e+03, 5.725131016695590e+03, -1.521034498909547e-11, 8.999999999999067e+00, 3.552554441515962e-15, 4.000000000000000e+00, 4.994225015062295e-17, 4.000000000000000e+00
