level,log_mean_ql,log_variance_ql,level_ql_ql1,log_mean_ql_ql1,log_variance_ql_ql1
0,7.27582015162542,10.53838296003212,1.0,5.125229083049479,7.181897643108388
1,7.568861355988556,10.88378880325996,2.0,3.320270799593645,4.876271360550127
2,7.490895670773469,10.817863047263648,3.0,2.268424721678081,3.6803243568440163
3,7.529028751164304,10.850421276078848,4.0,2.12458356206175,2.4802651220544627
4,7.562695191476765,10.707186550581676,,,
