"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Density_5","Density_6","Density_7","Density_8","Density_9","Density_10","Momentum_x","Momentum_y","Energy","Energy_ve","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient","Metric_xx","Metric_xy","Metric_yy"
0, -5.000000000000000e-02, 0.000000000000000e+00, 3.428983043901395e-85, 8.940733483020570e-137, 2.065261758433912e-116, 1.870687070850434e-80, 1.792813262819602e-103, 1.421770544487251e-85, 3.709268522922471e-44, 2.598521926044590e-26, 8.311177213387139e-44, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526758e+00, -9.759084708780777e-17, 2.273700246985243e+04, 5.607786830636026e+01, 3.899999999999804e+02, 9.999999999999498e+02, 9.999999999998879e+02, 5.725131016695604e+03, -7.232733441688256e-14, 9.000000000000231e+00, -8.868533157185281e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
1, -3.640905996670419e-02, 0.000000000000000e+00, 7.814624079471602e-84, 6.021336414076143e-135, 9.453445297701724e-115, 4.263295052115513e-79, 3.539592682101878e-102, 1.678494993904802e-84, 1.866533825467750e-43, 6.697653474300367e-26, 4.336404171824450e-43, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526755e+00, -2.430462393680754e-16, 2.273700246985241e+04, 5.607786830614558e+01, 3.899999999999803e+02, 9.999999999999498e+02, 9.999999999998879e+02, 5.725131016695604e+03, -1.801284357919735e-13, 9.000000000000229e+00, -8.894239050394514e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
2, -2.648758523368654e-02, 0.000000000000000e+00, 1.994411227472281e-83, 2.126555052697164e-134, 2.842712974167897e-114, 1.088058437542715e-78, 8.405159390922831e-102, 3.717734438742964e-84, 3.266196934101205e-43, 9.442865635796486e-26, 7.687750668613061e-43, 1.065942355278785e-03, 2.833517653272719e-04, 7.724885620526750e+00, -2.982901216425700e-16, 2.273700246985240e+04, 5.607786830611527e+01, 3.899999999999802e+02, 9.999999999999498e+02, 9.999999999998879e+02, 5.725131016695602e+03, -2.210712379807809e-13, 9.000000000000224e+00, -8.945650836812981e-16, 4.000000000000001e+00, 0.000000000000000e+00, 4.000000000000001e+00
5, -1.924472747190228e-02, 0.000000000000000e+00, 3.077281322774477e-83, 3.816198758741148e-134, 4.719814018954289e-114, 1.678822532201936e-78, 1.247663428839981e-101, 5.415884242793545e-84, 4.271058012436909e-43, 1.115404881213632e-25, 1.011476285489648e-42, 1.065942355278785e-03, 2.833517653272719e-04, 7.724885620526750e+00, -2.288764767785329e-16, 2.273700246985238e+04, 5.607786830607103e+01, 3.899999999999802e+02, 9.999999999999498e+02, 9.999999999998879e+02, 5.725131016695602e+03, -1.696268243396254e-13, 9.000000000000224e+00, -8.945650836812981e-16, 3.999999999999998e+00, 0.000000000000000e+00, 3.999999999999998e+00
18, -1.395714581734536e-02, 0.000000000000000e+00, 4.066549176506856e-83, 5.576305480853349e-134, 6.567037892604137e-114, 2.218521632984293e-78, 1.606104803973086e-101, 6.879882994639063e-84, 5.052664262527781e-43, 1.236535048028838e-25, 1.201617745787923e-42, 1.065942355278785e-03, 2.833517653272719e-04, 7.724885620526750e+00, -1.504750383843407e-16, 2.273700246985237e+04, 5.607786830610759e+01, 3.899999999999803e+02, 9.999999999999498e+02, 9.999999999998879e+02, 5.725131016695600e+03, -1.115213029437588e-13, 9.000000000000224e+00, -8.894239050394514e-16, 3.999999999999999e+00, 0.000000000000000e+00, 3.999999999999999e+00
20, -1.009678458521239e-02, 0.000000000000000e+00, 4.958092808048350e-83, 7.307137498736007e-134, 8.324354908374078e-114, 2.704906942199848e-78, 1.921968128977308e-101, 8.140313848786207e-84, 5.676605710787332e-43, 1.326778301127053e-25, 1.354315184392617e-42, 1.065942355278785e-03, 2.833517653272718e-04, 7.724885620526749e+00, 2.133234698344057e-17, 2.273700246985236e+04, 5.607786830610593e+01, 3.899999999999803e+02, 9.999999999999498e+02, 9.999999999998879e+02, 5.725131016695599e+03, 1.581000514095386e-14, 9.000000000000224e+00, -8.919944943603747e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
23, -7.278131510363134e-03, 0.000000000000000e+00, 5.648751142589802e-83, 8.726038367336302e-134, 9.735334495611929e-114, 3.081698477880213e-78, 2.163681154231587e-101, 9.085107117476438e-84, 6.120985724424627e-43, 1.388085580719853e-25, 1.463566011050373e-42, 1.065942355278786e-03, 2.833517653272720e-04, 7.724885620526750e+00, -1.781973596137172e-16, 2.273700246985238e+04, 5.607786830605161e+01, 3.899999999999806e+02, 9.999999999999498e+02, 9.999999999998879e+02, 5.725131016695596e+03, -1.320670985608956e-13, 9.000000000000217e+00, -8.791415477557584e-16, 4.000000000000001e+00, 0.000000000000000e+00, 4.000000000000001e+00
24, -5.219729353472306e-03, 0.000000000000000e+00, 6.163399260575087e-83, 9.823800479082216e-134, 1.081046930692990e-113, 3.362466915639012e-78, 2.341738079795557e-101, 9.778465852895257e-84, 6.437868764452706e-43, 1.430742145684258e-25, 1.541624026027292e-42, 1.065942355278786e-03, 2.833517653272722e-04, 7.724885620526751e+00, 4.373978616630894e-16, 2.273700246985238e+04, 5.607786830606137e+01, 3.899999999999808e+02, 9.999999999999498e+02, 9.999999999998879e+02, 5.725131016695594e+03, 3.241679148995511e-13, 9.000000000000213e+00, -8.688591904720652e-16, 4.000000000000001e+00, 0.000000000000000e+00, 4.000000000000001e+00
28, -3.716075109627959e-03, 0.000000000000000e+00, 6.574419317876541e-83, 1.072440076052166e-133, 1.168377989634523e-113, 3.586700638399507e-78, 2.483113642005402e-101, 1.032385821412147e-83, 6.681304438373405e-43, 1.462820494837545e-25, 1.601718333440704e-42, 1.065942355278786e-03, 2.833517653272723e-04, 7.724885620526751e+00, -9.298504955022054e-17, 2.273700246985240e+04, 5.607786830620460e+01, 3.899999999999808e+02, 9.999999999999498e+02, 9.999999999998879e+02, 5.725131016695594e+03, -6.891384771502206e-14, 9.000000000000213e+00, -8.688591904720652e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
30, -2.617116624604489e-03, 0.000000000000000e+00, 6.927085453550656e-83, 1.151317882613831e-133, 1.244307527293569e-113, 3.779099139149222e-78, 2.603966734409061e-101, 1.078582829599885e-83, 6.883623796117235e-43, 1.489020260019418e-25, 1.651756869637350e-42, 1.065942355278787e-03, 2.833517653272725e-04, 7.724885620526756e+00, 2.687096426329040e-15, 2.273700246985239e+04, 5.607786830613160e+01, 3.899999999999812e+02, 9.999999999999498e+02, 9.999999999998879e+02, 5.725131016695592e+03, 1.991483091264106e-12, 9.000000000000210e+00, -8.508650652256024e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
