"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Density_5","Density_6","Density_7","Density_8","Density_9","Density_10","Momentum_x","Momentum_y","Energy","Energy_ve","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient","Metric_xx","Metric_xy","Metric_yy"
0, -5.000000000000000e-02, 0.000000000000000e+00, 1.215530879515189e-86, 9.684819592801634e-139, 3.495473598804234e-118, 6.631284842396871e-82, 6.445605209110257e-105, 1.174891525331133e-86, 7.170319578384592e-45, 1.140093903915455e-26, 1.566103536211711e-44, 1.065942355278787e-03, 2.833517653272725e-04, 7.724885620526758e+00, 2.449237440430060e-17, 2.273700246985240e+04, 5.607786830602044e+01, 3.900000000000070e+02, 1.000000000000016e+03, 1.000000000000000e+03, 5.725131016695593e+03, 1.815199075595127e-14, 8.999999999999915e+00, 3.161824864735622e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
1, 0.000000000000000e+00, 0.000000000000000e+00, 4.220408146915985e-81, 4.139883376358152e-128, 6.538143107328815e-110, 2.302024987556326e-76, 9.622215376088061e-97, 4.710309888019909e-80, 1.020898708263524e-41, 3.001884956073340e-25, 2.212565533543160e-41, 1.400606216896177e-03, 3.723130449977178e-04, 1.010530066868751e+01, 3.632755591543711e-02, 2.980235733162241e+04, 7.368421387357996e+01, 5.856118461074994e+02, 1.142780749174841e+03, 1.000000453240195e+03, 5.699808719937235e+03, 2.049024831318643e+01, 8.381827321431347e+00, 8.846014767009679e-03, 7.754978267256189e+06, -5.964918469212139e+06, 7.115740323954320e+06
2, 1.931920337076797e-01, 5.173816881076040e-02, 1.237112056252964e-32, 1.628128075075460e-44, 6.737138377339657e-41, 6.584128604464453e-28, 3.127322690029935e-34, 1.759581933553677e-29, 1.469828136367240e-15, 9.536758351957930e-12, 4.690737730451130e-15, 7.263901291354531e-03, 1.930910460315425e-03, 4.541736499428432e+01, 1.358685714505925e+01, 1.469106611202320e+05, 7.548998222840062e+02, 1.068910238862184e+04, 4.021984707560569e+03, 1.262246963772640e+03, 4.939455659752775e+03, 1.477665611641301e+03, 4.041367960602639e+00, 4.657489494098723e-01, 1.708231880962660e+07, -3.638539340460556e+06, 2.233092565629949e+06
3, 3.346696875411197e-01, 1.931032050318336e-01, 5.072279499802099e-12, 4.003083570208540e-12, 1.830936521231719e-10, 2.762060769433381e-07, 2.061891699793863e-11, 1.509424561777639e-10, 7.151458038281842e-05, 1.666881333440494e-03, 3.503807155442347e-04, 6.964863891422519e-03, 6.008724635036554e-05, 2.793419313638222e+01, 2.576008258257496e+01, 1.428095043937163e+05, 7.529494169017572e+03, 1.340521380100087e+04, 4.340025261868797e+03, 4.888927304942898e+03, 3.064974746954887e+03, 2.826428607033326e+03, 2.851623204074310e+00, 5.885777153607050e-01, 4.774013674994591e+05, -4.170117477047918e+05, 6.234440539889500e+05
4, 4.846696875411197e-01, 1.931032050318336e-01, 1.237183523526914e-13, 6.802640087434738e-14, 8.343824117585822e-12, 6.734471648728800e-09, 5.955656957195329e-14, 1.523230714731617e-13, 3.003174163934284e-06, 1.006647875877376e-04, 1.604457271384574e-05, 4.101420893261427e-04, 2.591715003068115e-06, 2.430518821287357e+00, 5.072647980286104e-03, 8.599935181101388e+03, 3.484249171662818e+02, 5.263505892245803e+02, 2.908806741719773e+03, 4.184597607184550e+03, 4.564756789640005e+03, 9.526938901546988e+00, 3.807065410902013e+00, 6.166085284570431e-03, 9.702360173110472e+04, -3.118710371170324e+03, 9.750220313212895e+04
6, -3.640905996670419e-02, 0.000000000000000e+00, 1.044060938447583e-84, 4.293553515767852e-136, 8.444777149991194e-116, 5.695894276831655e-80, 4.670206342446130e-103, 3.958693508373877e-85, 7.364962991805042e-44, 4.279921245853582e-26, 1.653270187623057e-43, 1.065942355278785e-03, 2.833517653272721e-04, 7.724885620526746e+00, -8.190287773826092e-18, 2.273700246985236e+04, 5.607786830615805e+01, 3.900000000000063e+02, 1.000000000000016e+03, 1.000000000000000e+03, 5.725131016695595e+03, -6.070053703448504e-15, 8.999999999999917e+00, 2.827648253015597e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
7, -2.648758523368654e-02, 0.000000000000000e+00, 3.330759404488601e-84, 2.054394638501525e-135, 3.386086600773266e-115, 1.817104340672303e-79, 1.374842881049877e-102, 1.025911424168839e-84, 1.424336916438898e-43, 6.352227296204709e-26, 3.230207634980202e-43, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526748e+00, 1.275384241590602e-17, 2.273700246985237e+04, 5.607786830615802e+01, 3.900000000000061e+02, 1.000000000000016e+03, 1.000000000000000e+03, 5.725131016695596e+03, 9.452233001784237e-15, 8.999999999999924e+00, 2.776236466597132e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
8, -1.924472747190228e-02, 0.000000000000000e+00, 6.604308323466695e-84, 5.164843246593008e-135, 7.700869731118376e-115, 3.602999636026941e-79, 2.608318589265343e-102, 1.790860357675674e-84, 2.083223595226793e-43, 7.931406823944997e-26, 4.759595903902285e-43, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526750e+00, 1.382744232899618e-17, 2.273700246985238e+04, 5.607786830615803e+01, 3.900000000000061e+02, 1.000000000000016e+03, 1.000000000000000e+03, 5.725131016695599e+03, 1.024790823425908e-14, 8.999999999999924e+00, 2.776236466597132e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
9, -1.395714581734536e-02, 0.000000000000000e+00, 1.077872204578582e-83, 9.989282747656921e-135, 1.389404519172674e-114, 5.880365667189925e-79, 4.134281447061306e-102, 2.659407111214392e-84, 2.720633300948719e-43, 9.243006625293616e-26, 6.254007868442840e-43, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526750e+00, 9.673478851333848e-18, 2.273700246985238e+04, 5.607786830615801e+01, 3.900000000000061e+02, 1.000000000000016e+03, 1.000000000000000e+03, 5.725131016695598e+03, 7.169288521755990e-15, 8.999999999999924e+00, 2.776236466597132e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
10, -1.009678458521239e-02, 0.000000000000000e+00, 1.402820433835131e-83, 1.422009773044909e-134, 1.906829409605674e-114, 7.653132548416026e-79, 5.301491454320099e-102, 3.289435492450827e-84, 3.140735033258349e-43, 1.003196262023341e-25, 7.245567059374431e-43, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526750e+00, 6.490329893789906e-18, 2.273700246985239e+04, 5.607786830615802e+01, 3.900000000000061e+02, 1.000000000000016e+03, 1.000000000000000e+03, 5.725131016695598e+03, 4.810166882573141e-15, 8.999999999999924e+00, 2.776236466597132e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
11, -7.278131510363134e-03, 0.000000000000000e+00, 1.690962306108362e-83, 1.825558209865594e-134, 2.385175575841631e-114, 9.225101215627137e-79, 6.323785499221112e-102, 3.826246007238689e-84, 3.479114225408197e-43, 1.063555520262154e-25, 8.047369463293956e-43, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526750e+00, -6.236451916584901e-18, 2.273700246985240e+04, 5.607786830615799e+01, 3.900000000000061e+02, 1.000000000000016e+03, 1.000000000000000e+03, 5.725131016695598e+03, -4.622010739796078e-15, 8.999999999999924e+00, 2.776236466597132e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
12, -5.219729353472306e-03, 0.000000000000000e+00, 1.943691983554088e-83, 2.200651020082970e-134, 2.819611712519237e-114, 1.060387748905749e-78, 7.212346432273011e-102, 4.281297459927316e-84, 3.752800155308048e-43, 1.110311470479019e-25, 8.698151173823773e-43, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526750e+00, -5.802884951091147e-18, 2.273700246985240e+04, 5.607786830615802e+01, 3.900000000000061e+02, 1.000000000000016e+03, 1.000000000000000e+03, 5.725131016695599e+03, -4.300682010297864e-15, 8.999999999999924e+00, 2.776236466597132e-16, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
13, -3.716075109627959e-03, 0.000000000000000e+00, 2.131848200889016e-83, 2.491178353541089e-134, 3.150924789270259e-114, 1.163037089345680e-78, 7.869946542289568e-102, 4.612134187921089e-84, 3.945423479019428e-43, 1.142250453174756e-25, 9.157331699888244e-43, 1.065942355278784e-03, 2.833517653272717e-04, 7.724885620526750e+00, 4.069840858038236e-17, 2.273700246985241e+04, 5.607786830615803e+01, 3.900000000000089e+02, 1.000000000000024e+03, 9.999999999999995e+02, 5.725131016695605e+03, 3.016274062033418e-14, 8.999999999999897e+00, 4.035825233849534e-16, 4.000000000000001e+00, 0.000000000000000e+00, 4.000000000000001e+00
14, -2.617116624604489e-03, 0.000000000000000e+00, 2.282946723012279e-83, 2.730799189144531e-134, 3.421206401177909e-114, 1.245469466830600e-78, 8.395680937924943e-102, 4.873866845590610e-84, 4.094650247795927e-43, 1.166534529022212e-25, 9.513623983911657e-43, 1.065942355278785e-03, 2.833517653272719e-04, 7.724885620526756e+00, -6.714931497909537e-17, 2.273700246985244e+04, 5.607786830615809e+01, 3.900000000000119e+02, 1.000000000000031e+03, 9.999999999999990e+02, 5.725131016695605e+03, -4.976625477989498e-14, 8.999999999999867e+00, 5.398237573938867e-16, 4.000000000000001e+00, 0.000000000000000e+00, 4.000000000000001e+00
15, -1.739648995067414e-03, 0.000000000000000e+00, 2.428939304860123e-83, 2.967908958740940e-134, 3.686167341986033e-114, 1.325116282411526e-78, 8.901846650837995e-102, 5.123161050932675e-84, 4.234045486536875e-43, 1.188818884141240e-25, 9.846963214474696e-43, 1.065942355278785e-03, 2.833517653272718e-04, 7.724885620526753e+00, 3.190690005984533e-16, 2.273700246985242e+04, 5.607786830615788e+01, 3.900000000000016e+02, 1.000000000000005e+03, 9.999999999999994e+02, 5.725131016695604e+03, 2.364710523270779e-13, 8.999999999999980e+00, 7.454709030677483e-17, 2.532983477667696e+06, -8.930955038215013e+05, 1.172885293301672e+06
16, -8.698244975333391e-04, 0.000000000000000e+00, 2.581863458607356e-83, 3.222118791239581e-134, 3.967769838475794e-114, 1.408544647280741e-78, 9.430307908687040e-102, 5.380527983360748e-84, 4.375172707612457e-43, 1.210979794937021e-25, 1.018499022979144e-42, 1.065942355278785e-03, 2.833517653272720e-04, 7.724885620526751e+00, 7.622226811320168e-16, 2.273700246985240e+04, 5.607786830615779e+01, 3.899999999999933e+02, 9.999999999999828e+02, 9.999999999999997e+02, 5.725131016695599e+03, 5.649047672346279e-13, 9.000000000000075e+00, -3.033295398689459e-16, 5.864789374051803e+06, -3.293530784876696e+06, 3.458272138604216e+06
