"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Density_5","Density_6","Density_7","Density_8","Density_9","Density_10","Momentum_x","Momentum_y","Energy","Energy_ve","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient","Metric_xx","Metric_xy","Metric_yy"
0, -5.000000000000000e-02, 0.000000000000000e+00, 1.474112258754622e-83, 1.254134593881624e-134, 2.122739837087160e-114, 8.042082283985457e-79, 7.121413253653800e-102, 1.871527243124586e-84, 1.673366336233108e-43, 5.407384772121407e-26, 4.031022875267196e-43, 1.065942355278786e-03, 2.833517653272723e-04, 7.724885620526758e+00, -3.362956686261706e-16, 2.273700246985242e+04, 5.607786830650905e+01, 3.900000000000591e+02, 1.000000000000151e+03, 9.999999999993011e+02, 5.725131016695599e+03, -2.492382227791207e-13, 8.999999999999318e+00, 2.673412893760201e-15, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
2, -3.640905996670419e-02, 0.000000000000000e+00, 2.378066024251245e-83, 2.335791114675168e-134, 3.283134040033005e-114, 1.297363676956698e-78, 1.102656971686206e-101, 3.427277457349200e-84, 2.922469665718497e-43, 8.273857740315029e-26, 7.015328927993606e-43, 1.065942355278787e-03, 2.833517653272724e-04, 7.724885620526766e+00, -9.602149450800840e-16, 2.273700246985246e+04, 5.607786830614401e+01, 3.900000000000593e+02, 1.000000000000151e+03, 9.999999999993011e+02, 5.725131016695603e+03, -7.116424287454737e-13, 8.999999999999323e+00, 2.681124661722971e-15, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
3, -2.648758523368654e-02, 0.000000000000000e+00, 6.806337763798309e-83, 9.583519883780272e-134, 1.122700509407265e-113, 3.713227056565579e-78, 2.970694919245009e-101, 8.143064955492019e-84, 5.176808144464909e-43, 1.150957267773335e-25, 1.275680118138560e-42, 1.065942355278788e-03, 2.833517653272726e-04, 7.724885620526773e+00, -1.868586548419392e-15, 2.273700246985248e+04, 5.607786830660675e+01, 3.900000000000596e+02, 1.000000000000151e+03, 9.999999999993011e+02, 5.725131016695603e+03, -1.384862291981293e-12, 8.999999999999323e+00, 2.696548197648510e-15, 3.999999999999999e+00, 0.000000000000000e+00, 3.999999999999999e+00
6, -1.924472747190228e-02, 0.000000000000000e+00, 1.085736987557646e-82, 1.826697373685264e-133, 1.946165392986260e-113, 5.923285781114106e-78, 4.558425395014590e-101, 1.234533322137381e-83, 6.950435671419390e-43, 1.378199899303882e-25, 1.730440145573245e-42, 1.065942355278788e-03, 2.833517653272727e-04, 7.724885620526782e+00, -2.993909968632490e-15, 2.273700246985250e+04, 5.607786830658527e+01, 3.900000000000597e+02, 1.000000000000151e+03, 9.999999999993011e+02, 5.725131016695607e+03, -2.218871277144318e-12, 8.999999999999330e+00, 2.701689376290357e-15, 3.999999999999999e+00, 0.000000000000000e+00, 3.999999999999999e+00
15, -1.395714581734536e-02, 0.000000000000000e+00, 1.368972260758454e-82, 2.508556702678081e-133, 2.553508083566828e-113, 7.468488536911602e-78, 5.630057003069437e-101, 1.525273896595113e-83, 8.106957478736464e-43, 1.517941370235243e-25, 2.027939317725881e-42, 1.065942355278790e-03, 2.833517653272733e-04, 7.724885620526791e+00, -3.158236706874843e-15, 2.273700246985252e+04, 5.607786830658193e+01, 3.900000000000606e+02, 1.000000000000151e+03, 9.999999999993011e+02, 5.725131016695604e+03, -2.340658466262534e-12, 8.999999999999321e+00, 2.740248216104206e-15, 4.000000000000001e+00, 0.000000000000000e+00, 4.000000000000001e+00
17, -1.009678458521239e-02, 0.000000000000000e+00, 1.554767477558781e-82, 2.996161068936377e-133, 2.968558100157905e-113, 8.482102669448837e-78, 6.309208544369650e-101, 1.717974533010478e-83, 8.851199478914530e-43, 1.605628972713905e-25, 2.219081970720425e-42, 1.065942355278790e-03, 2.833517653272732e-04, 7.724885620526792e+00, -3.268890717965409e-15, 2.273700246985252e+04, 5.607786830642008e+01, 3.900000000000606e+02, 1.000000000000151e+03, 9.999999999993011e+02, 5.725131016695604e+03, -2.422667280649766e-12, 8.999999999999323e+00, 2.740248216104206e-15, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
19, -7.278131510363134e-03, 0.000000000000000e+00, 1.697489599635221e-82, 3.391800993132689e-133, 3.297626546325520e-113, 9.260729609524654e-78, 6.819614044032912e-101, 1.865326436334236e-83, 9.403467245822040e-43, 1.669028661215563e-25, 2.361052337851002e-42, 1.065942355278792e-03, 2.833517653272736e-04, 7.724885620526797e+00, -2.713575969333963e-15, 2.273700246985253e+04, 5.607786830615895e+01, 3.900000000000610e+02, 1.000000000000151e+03, 9.999999999993011e+02, 5.725131016695599e+03, -2.011107828821710e-12, 8.999999999999320e+00, 2.760812930671592e-15, 4.349007574527075e+00, -5.092783841749009e-01, 4.743148548965596e+00
22, -5.219729353472306e-03, 0.000000000000000e+00, 1.820659961790608e-82, 3.743324749833612e-133, 3.588851118983866e-113, 9.932691083432532e-78, 7.257699417412842e-101, 1.988519757902393e-83, 9.846091395348176e-43, 1.717940993420090e-25, 2.475527589619801e-42, 1.065942355278794e-03, 2.833517653272741e-04, 7.724885620526811e+00, -7.027482636441365e-15, 2.273700246985259e+04, 5.607786830631279e+01, 3.900000000000618e+02, 1.000000000000151e+03, 9.999999999993011e+02, 5.725131016695597e+03, -5.208265958562690e-12, 8.999999999999316e+00, 2.796801181164518e-15, 5.768315436133136e+00, -3.217668767771489e+00, 9.854946514368713e+00
25, -3.716075109627959e-03, 0.000000000000000e+00, 1.911734478346127e-82, 4.011271168013463e-133, 3.807896086356082e-113, 1.042955221723449e-77, 7.576782473800743e-101, 2.080121009056961e-83, 1.017170986431520e-42, 1.753627724203126e-25, 2.559648563424294e-42, 1.065942355278791e-03, 2.833517653272735e-04, 7.724885620526807e+00, -1.072434177980989e-14, 2.273700246985256e+04, 5.607786830621713e+01, 3.900000000000609e+02, 1.000000000000151e+03, 9.999999999993011e+02, 5.725131016695609e+03, -7.948112732450672e-12, 8.999999999999336e+00, 2.755671752029746e-15, 4.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e+00
26, -2.617116624604489e-03, 0.000000000000000e+00, 1.975462477784053e-82, 4.201226726007428e-133, 3.962540038548393e-113, 1.077722319678136e-77, 7.799124994512938e-101, 2.143834743437655e-83, 1.039550241876008e-42, 1.777885282185308e-25, 2.617534330107921e-42, 1.065942355278794e-03, 2.833517653272743e-04, 7.724885620526823e+00, -9.649103651916202e-15, 2.273700246985260e+04, 5.607786830629147e+01, 3.900000000000380e+02, 1.000000000000089e+03, 9.999999999993760e+02, 5.725131016695605e+03, -7.151223372693622e-12, 8.999999999999604e+00, 1.719724255697668e-15, 7.309801146888134e+00, -4.424199754343688e+00, 9.913812521558205e+00
