"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient","Metric_xx","Metric_xy","Metric_yy"
0, -5.000000000000000e-02, 0.000000000000000e+00, 5.362194104450160e-51, 3.751329455814134e-30, 1.202364879672530e-50, 1.862157100182888e-03, 5.160767442397022e-04, 1.284265130248057e+01, -2.614874184054846e-17, 3.548162485267135e+04, 5.805582387947088e+01, 2.254695902602480e-48, 1.577359377258764e-27, 5.055705024517683e-48, 7.829999999999999e-01, 2.170000000000000e-01, 5.858999999999974e+02, 8.530999999999964e+02, 8.531000000000572e+02, 5.400079278410331e+03, -1.099502553202336e-14, 9.195000000000023e+00, -7.540726536473431e-17, 4.000000000000000e+00, 1.387475689563545e-17, 4.000000000000000e+00
3, -3.640905996670419e-02, 0.000000000000000e+00, 3.223971193333652e-50, 1.049281619981679e-29, 7.618218795269401e-50, 1.862157100182888e-03, 5.160767442397022e-04, 1.284265130248057e+01, 1.641045709767672e-16, 3.548162485267136e+04, 5.805582387955556e+01, 1.355615723363149e-47, 4.412020384128515e-27, 3.203309385717291e-47, 7.830000000000000e-01, 2.170000000000000e-01, 5.858999999999975e+02, 8.530999999999964e+02, 8.531000000000572e+02, 5.400079278410331e+03, 6.900270608864791e-14, 9.195000000000025e+00, -7.212868860974586e-17, 4.000000000000000e+00, 6.989530110940632e-17, 4.000000000000000e+00
4, -2.648758523368654e-02, 0.000000000000000e+00, 5.641348148188258e-50, 1.490994297342395e-29, 1.348471914456592e-49, 1.862157100182889e-03, 5.160767442397023e-04, 1.284265130248057e+01, 8.798885160473733e-16, 3.548162485267136e+04, 5.805582387948231e+01, 2.372074622274125e-47, 6.269334282829498e-27, 5.670056027581200e-47, 7.829999999999999e-01, 2.170000000000000e-01, 5.858999999999976e+02, 8.530999999999964e+02, 8.531000000000572e+02, 5.400079278410330e+03, 3.699756094678740e-13, 9.195000000000022e+00, -6.885011185475741e-17, 4.000000000000000e+00, -1.095219431456193e-16, 4.000000000000001e+00
6, -1.924472747190228e-02, 0.000000000000000e+00, 7.111301411219893e-50, 1.730820808250538e-29, 1.706043913914908e-49, 1.862157100182887e-03, 5.160767442397017e-04, 1.284265130248055e+01, 1.309697754887621e-15, 3.548162485267131e+04, 5.805582387943269e+01, 2.990160714387801e-47, 7.277757030956574e-27, 7.173575121369608e-47, 7.830000000000000e-01, 2.170000000000000e-01, 5.858999999999969e+02, 8.530999999999964e+02, 8.531000000000572e+02, 5.400079278410329e+03, 5.507018403421986e-13, 9.195000000000020e+00, -8.852157238468810e-17, 4.000000000000000e+00, 2.151064663004052e-18, 4.000000000000000e+00
22, -1.395714581734536e-02, 0.000000000000000e+00, 8.306651069104620e-50, 1.901703085318106e-29, 2.002179718418366e-49, 1.862157100182887e-03, 5.160767442397017e-04, 1.284265130248056e+01, 1.510168649379248e-15, 3.548162485267131e+04, 5.805582387972808e+01, 3.492781455694653e-47, 7.996282997056670e-27, 8.418767242396534e-47, 7.830000000000000e-01, 2.170000000000000e-01, 5.858999999999969e+02, 8.530999999999964e+02, 8.531000000000572e+02, 5.400079278410331e+03, 6.349958617067374e-13, 9.195000000000023e+00, -8.852157238468810e-17, 4.000000000000001e+00, -4.993726973219642e-17, 4.000000000000001e+00
24, -1.009678458521239e-02, 0.000000000000000e+00, 9.430289657684947e-50, 2.054151180078566e-29, 2.281228418635558e-49, 1.862157100182885e-03, 5.160767442397014e-04, 1.284265130248054e+01, 9.411946437060956e-15, 3.548162485267125e+04, 5.805582387968367e+01, 3.965249119551796e-47, 8.637296895323995e-27, 9.592111490573034e-47, 7.829999999999999e-01, 2.170000000000000e-01, 5.858999999999966e+02, 8.530999999999964e+02, 8.531000000000572e+02, 5.400079278410326e+03, 3.957536160345951e-12, 9.195000000000013e+00, -9.835730264965345e-17, 4.000000000000000e+00, 4.567847629118274e-18, 4.000000000000000e+00
29, -7.278131510363134e-03, 0.000000000000000e+00, 1.023387177650948e-49, 2.158227542169105e-29, 2.481684879147811e-49, 1.862157100182888e-03, 5.160767442397020e-04, 1.284265130248056e+01, 1.054469900661462e-15, 3.548162485267135e+04, 5.805582387969120e+01, 4.303139407636409e-47, 9.074917284650369e-27, 1.043499101220779e-46, 7.830000000000000e-01, 2.170000000000000e-01, 5.858999999999972e+02, 8.530999999999964e+02, 8.531000000000572e+02, 5.400079278410330e+03, 4.433836071816043e-13, 9.195000000000020e+00, -7.868584211972276e-17, 4.000000000000000e+00, -2.247483341360635e-18, 4.000000000000000e+00
30, -5.219729353472306e-03, 0.000000000000000e+00, 1.081388826921927e-49, 2.231105863920779e-29, 2.626765855810817e-49, 1.862157100182885e-03, 5.160767442397014e-04, 1.284265130248055e+01, -1.553096710903216e-15, 3.548162485267130e+04, 5.805582387968847e+01, 4.547024799340027e-47, 9.381356123381852e-27, 1.104502764507824e-46, 7.830000000000000e-01, 2.170000000000001e-01, 5.858999999999965e+02, 8.530999999999964e+02, 8.531000000000572e+02, 5.400079278410332e+03, -6.530462572238326e-13, 9.195000000000025e+00, -1.016358794046419e-16, 3.999999999999999e+00, 2.819178428337141e-17, 4.000000000000000e+00
34, -2.617116624604489e-03, 0.000000000000000e+00, 1.171493118852497e-49, 2.341802796905385e-29, 2.852316496814267e-49, 1.862157100182892e-03, 5.160767442397033e-04, 1.284265130248060e+01, -4.223595152670821e-15, 3.548162485267147e+04, 5.805582387941924e+01, 4.925895414363346e-47, 9.846814695692571e-27, 1.199342320143784e-46, 7.829999999999999e-01, 2.170000000000000e-01, 5.858999999999985e+02, 8.530999999999964e+02, 8.531000000000572e+02, 5.400079278410334e+03, -1.775937703761110e-12, 9.195000000000029e+00, -4.262149781484983e-17, 2.372853058185378e+05, -2.961143860826105e+05, 4.400297585046304e+05
39, -8.698244975333391e-04, 0.000000000000000e+00, 1.223136977611324e-49, 2.403269011676118e-29, 2.981991306267430e-49, 1.862157100182888e-03, 5.160767442397020e-04, 1.284265130248056e+01, 2.727961564231411e-15, 3.548162485267133e+04, 5.805582388013531e+01, 5.143047562290029e-47, 1.010526789580529e-26, 1.253867996732435e-46, 7.829999999999999e-01, 2.170000000000000e-01, 5.858999999999972e+02, 8.530999999999964e+02, 8.531000000000572e+02, 5.400079278410331e+03, 1.147053545902981e-12, 9.195000000000022e+00, -7.868584211972276e-17, 6.366646789022837e+05, -9.125727800652167e+05, 1.497803678100707e+06
40, 0.000000000000000e+00, 0.000000000000000e+00, 8.236947044063877e-46, 4.874390913480752e-28, 1.789302296901125e-45, 2.693778281520274e-03, 7.465515799360148e-04, 1.845944870330637e+01, 1.780502342963662e-01, 5.114627923018152e+04, 8.398338343524219e+01, 2.394231767234431e-43, 1.416838242196179e-25, 5.200961445434523e-43, 7.829999999999999e-01, 2.170000000000000e-01, 1.028650106755984e+03, 1.035377181983331e+03, 8.531011158042414e+02, 5.365604301528373e+03, 5.175382636739305e+01, 8.293562406240868e+00, 1.276832250214682e-02, 9.149056760191193e+05, -1.540132608024325e+06, 3.019373811769600e+06
41, 1.782976449799005e-03, 4.774934803206855e-04, 1.880887603869552e-35, 2.626592264694640e-23, 4.348090085967147e-35, 4.315638689031629e-03, 1.196032689041971e-03, 2.910028502600536e+01, 1.317792753701308e+00, 8.126358983700859e+04, 1.345790916906134e+02, 3.412553969295148e-33, 4.765509560573017e-21, 7.888877597573426e-33, 7.830000000000000e-01, 2.170000000000000e-01, 2.324634624026820e+03, 1.460502771606751e+03, 8.531562342012513e+02, 5.279756906729132e+03, 2.390913142869366e+02, 6.877952124614783e+00, 5.014278728894597e-02, 1.095536802485288e+06, -2.263837564136023e+06, 5.303472432619399e+06
50, 3.565952899598004e-03, 9.549869606413694e-04, 1.206921516610153e-29, 1.945817118655742e-20, 3.040392000058216e-29, 6.005060979514457e-03, 1.664237844897365e-03, 3.974396960896787e+01, 3.866709781779715e+00, 1.121733925030948e+05, 1.875959075263779e+02, 1.573705164243244e-27, 2.537151261419223e-18, 3.964367629515846e-27, 7.830000000000001e-01, 2.170000000000000e-01, 4.136711568775841e+03, 1.867800899507662e+03, 8.535785425070003e+02, 5.182216851749278e+03, 5.041803521166439e+02, 5.991665887166902e+00, 1.024006692774694e-01, 2.644397896777697e+06, -6.259598360577660e+06, 1.519992908370862e+07
51, 5.348929349396780e-03, 1.432480440961994e-03, 4.253465162013144e-24, 1.740164402609834e-17, 1.268046222210235e-23, 9.339737631581257e-03, 2.588407491766434e-03, 5.950806557690525e+01, 1.197572453905886e+01, 1.723994307710796e+05, 2.964058407112564e+02, 3.565906616685581e-22, 1.458872594703514e-15, 1.063070753329626e-21, 7.830000000000001e-01, 2.169999999999985e-01, 8.498958044451847e+03, 2.467310291195215e+03, 8.573330842051606e+02, 4.988878401590400e+03, 1.003988836086344e+03, 5.095227553431894e+00, 2.282020389109772e-01, 4.089737100465843e+06, -1.021688005616651e+07, 2.571466406154893e+07
104, 1.158934692369223e-02, 3.103707622084108e-03, 2.310727437986653e-22, 2.236098452827377e-16, 1.239945552301151e-21, 8.729510587065739e-03, 2.419289651843027e-03, 5.479663310124079e+01, 1.469231137383839e+01, 1.611384588029470e+05, 3.028677806292163e+02, 2.072624307970180e-20, 2.005685279949190e-14, 1.112178463807951e-19, 7.830000000000000e-01, 2.169999999999799e-01, 7.940637702782251e+03, 2.466370099578914e+03, 8.791307558686700e+02, 4.915025108262514e+03, 1.317837889189425e+03, 5.095929727574403e+00, 2.121008249910557e-01, 3.259124239182294e+06, -8.812266776822561e+06, 2.401510441259662e+07
112, 1.782976449799041e-02, 4.774934803206952e-03, 2.377347360705322e-22, 2.471496370425201e-16, 1.676807449809715e-21, 7.345177977830190e-03, 2.035636808670444e-03, 4.613993023687535e+01, 1.264704932270609e+01, 1.357423094451765e+05, 2.637816330639969e+02, 2.534265322161948e-20, 2.634628682768279e-14, 1.787485935894037e-19, 7.829999999999999e-01, 2.169999999999736e-01, 6.524091835717601e+03, 2.408299544269748e+03, 8.878329406832653e+02, 4.918541863044917e+03, 1.348182392525793e+03, 5.168488682773423e+00, 1.712495316908984e-01, 8.131721680353434e+05, -1.839813542140218e+06, 4.829895758271957e+06
120, 2.407018207228917e-02, 6.446161984329951e-03, 3.056198718754758e-22, 2.943792487141618e-16, 2.281539833023182e-21, 7.088025962473447e-03, 1.964369902754160e-03, 4.445289635755585e+01, 1.194337658601266e+01, 1.307914572009032e+05, 2.598957506179471e+02, 3.376121376324517e-20, 3.251948468636160e-14, 2.520371255290593e-19, 7.830000000000000e-01, 2.169999999999675e-01, 6.494249001212166e+03, 2.484256288431821e+03, 8.931546501657247e+02, 4.910622228564760e+03, 1.319360837045319e+03, 5.073702518399646e+00, 1.703889041506015e-01, 7.577732542322958e+05, -2.333369377782588e+06, 7.230707302580331e+06
122, 2.317869384738967e-02, 6.207415244169609e-03, 2.908832950481755e-22, 2.862415989997139e-16, 2.178124102230347e-21, 7.122019477152057e-03, 1.973790838495239e-03, 4.467745934828906e+01, 1.206582868297102e+01, 1.314591153142465e+05, 2.604570036047347e+02, 3.197992096952231e-20, 3.146960953080679e-14, 2.394645475932261e-19, 7.830000000000000e-01, 2.169999999999686e-01, 6.485000393372023e+03, 2.468877893258622e+03, 8.924792005919453e+02, 4.911872367372276e+03, 1.326525978912961e+03, 5.092553381124024e+00, 1.701221866370495e-01, 3.014263735586485e+05, -9.152578059349381e+05, 3.300167060918952e+06
123, 2.228720562248999e-02, 5.968668504009221e-03, 2.722340399519822e-22, 2.712277008782269e-16, 2.023538366981775e-21, 7.111176759974523e-03, 1.970785896442221e-03, 4.461835308121808e+01, 1.207816375644578e+01, 1.312827054184787e+05, 2.585433008062693e+02, 2.997524326524626e-20, 2.986443692174690e-14, 2.228084879375726e-19, 7.830000000000000e-01, 2.169999999999702e-01, 6.451401170557461e+03, 2.459831371710976e+03, 8.909782101825999e+02, 4.912853616469368e+03, 1.329906784841462e+03, 5.103743945253669e+00, 1.691532298684987e-01, 2.649859910277898e+05, -1.063132182205374e+06, 4.673672865024109e+06
124, 2.139571739759007e-02, 5.729921763848764e-03, 2.581937407555640e-22, 2.629274164310622e-16, 1.928380148641497e-21, 7.109890000865335e-03, 1.970429285041599e-03, 4.463342543676789e+01, 1.212717641564031e+01, 1.313107573118190e+05, 2.578468701236245e+02, 2.843443414553549e-20, 2.895574573452829e-14, 2.123692006771584e-19, 7.830000000000000e-01, 2.169999999999710e-01, 6.398426451884383e+03, 2.440074361813532e+03, 8.903340651101167e+02, 4.915402645151444e+03, 1.335545153622724e+03, 5.128327328854764e+00, 1.676255096440265e-01, 4.643105255795801e+05, -1.553715468764280e+06, 5.508168964132261e+06
173, 3.306263821957166e-02, 8.854404214832268e-03, 6.765835266667232e-22, 5.276119644129184e-16, 5.008643463060047e-21, 7.022958068727532e-03, 1.946337038203654e-03, 4.397044211536337e+01, 1.173728214873838e+01, 1.294549762033267e+05, 2.738162175514661e+02, 7.543329978560313e-20, 5.882423959996206e-14, 5.584210802908281e-19, 7.829999999999999e-01, 2.169999999999412e-01, 6.570450791109649e+03, 2.536692663337991e+03, 9.092038988839167e+02, 4.902329736188724e+03, 1.308606976223527e+03, 5.010332277493434e+00, 1.725864621269978e-01, 2.387153722566543e+05, -5.946023941958260e+05, 1.576873512505866e+06
187, 2.852762319678226e-02, 7.639895685130482e-03, 4.240982923401085e-22, 3.747051141479224e-16, 3.158914535423856e-21, 7.054090569537522e-03, 1.954965074826755e-03, 4.421190581919257e+01, 1.177975271867392e+01, 1.300877234566904e+05, 2.653137559326128e+02, 4.707466676658732e-20, 4.159205236814229e-14, 3.506376983474202e-19, 7.830000000000001e-01, 2.169999999999584e-01, 6.540698981352905e+03, 2.514061469772174e+03, 8.997405006333183e+02, 4.907496142156479e+03, 1.307545783230055e+03, 5.037513095004080e+00, 1.717284596190368e-01, 1.499271198377998e+05, -5.990701539761914e+05, 2.815075838634684e+06
190, 2.674464674698497e-02, 7.162402204810255e-03, 3.796784025613550e-22, 3.457294752199918e-16, 2.838380566193331e-21, 7.055116006358257e-03, 1.955249263575314e-03, 4.422967275086156e+01, 1.180122539729783e+01, 1.301293049194841e+05, 2.631835579263346e+02, 4.213795902684193e-20, 3.837019530979873e-14, 3.150128192543462e-19, 7.830000000000000e-01, 2.169999999999616e-01, 6.518978876128320e+03, 2.505348673010991e+03, 8.976058091109602e+02, 4.908754687054540e+03, 1.309738844514612e+03, 5.048034597678495e+00, 1.711020807564318e-01, 1.692730435626695e+05, -4.926754413346070e+05, 2.045460864488194e+06
278, 3.611437659401692e-02, 9.671680953179728e-03, 9.754477389151342e-22, 6.942543945262789e-16, 7.272670926616240e-21, 7.026311824712931e-03, 1.947266495481689e-03, 4.396702809685517e+01, 1.176048144105791e+01, 1.294915164536130e+05, 2.820671977575908e+02, 1.087022037485157e-19, 7.736650528405574e-14, 8.104538309147946e-19, 7.830000000000000e-01, 2.169999999999226e-01, 6.598868367067692e+03, 2.546447969054160e+03, 9.170211583819463e+02, 4.899609333982857e+03, 1.310567648870974e+03, 4.998634508820147e+00, 1.734059871119155e-01, 2.054975415458012e+05, -4.860911869200356e+05, 1.278750228322736e+06
279, 3.951707266937012e-02, 1.058294660207660e-02, 1.354900665137608e-21, 8.980251774488560e-16, 1.040668385131957e-20, 7.032802124920595e-03, 1.949065212141846e-03, 4.399661942392408e+01, 1.177835714559121e+01, 1.296006528093028e+05, 2.904610781699629e+02, 1.508484387813947e-19, 9.998201306572285e-14, 1.158632549422855e-18, 7.830000000000001e-01, 2.169999999999000e-01, 6.615440558749225e+03, 2.550487119070444e+03, 9.247373825471525e+02, 4.898382237552506e+03, 1.311348375965013e+03, 4.993706226286936e+00, 1.738839070146516e-01, 2.023999983640626e+05, -3.969011900003721e+05, 8.784825805688432e+05
