"PointID","x","y","Density_0","Density_1","Density_2","Density_3","Density_4","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","MassFrac_2","MassFrac_3","MassFrac_4","Pressure","Temperature_tr","Temperature_ve","Velocity_x","Velocity_y","Mach","Pressure_Coefficient","Metric_xx","Metric_xy","Metric_yy"
0, -5.000000000000000e-02, 0.000000000000000e+00, 9.358717294877453e-45, 1.160229364804019e-26, 2.086498607269462e-44, 9.344905528237600e-04, 2.620402446458431e-04, 6.713400901160368e+00, 4.626056252987619e-18, 1.937704287553817e+04, 4.859911611766929e+01, 7.821543176881917e-42, 9.696610962773766e-24, 1.743790140364079e-41, 7.810000000000000e-01, 2.190000000000000e-01, 3.422000000000016e+02, 9.906000000000040e+02, 9.905999999999955e+02, 5.610721358244786e+03, 3.866224139629920e-15, 8.866999999999983e+00, 8.450977279799988e-17, 4.000000000000000e+00, -2.463075466316529e-17, 4.000000000000000e+00
3, -3.640905996670419e-02, 0.000000000000000e+00, 5.617071500747938e-44, 3.226330034189368e-26, 1.312671124623227e-43, 9.344905528237597e-04, 2.620402446458430e-04, 6.713400901160362e+00, 1.100546295813994e-16, 1.937704287553815e+04, 4.859911611772313e+01, 4.694464624418192e-41, 2.696403670521762e-23, 1.097064218822645e-40, 7.810000000000000e-01, 2.190000000000000e-01, 3.422000000000014e+02, 9.906000000000040e+02, 9.905999999999955e+02, 5.610721358244783e+03, 9.197810019946040e-14, 8.866999999999980e+00, 7.545515428392846e-17, 4.000000000000000e+00, -9.281747756684966e-17, 4.000000000000000e+00
4, -2.648758523368654e-02, 0.000000000000000e+00, 1.010518867531537e-43, 4.648319119304769e-26, 2.389564917802369e-43, 9.344905528237595e-04, 2.620402446458429e-04, 6.713400901160362e+00, -1.133383467104453e-17, 1.937704287553815e+04, 4.859911611765681e+01, 8.445406250040202e-41, 3.884830318730563e-23, 1.997077653877167e-40, 7.810000000000000e-01, 2.189999999999999e-01, 3.422000000000014e+02, 9.906000000000040e+02, 9.905999999999955e+02, 5.610721358244784e+03, -9.472246510506105e-15, 8.866999999999980e+00, 7.243694811257132e-17, 4.000000000000000e+00, 9.966468579311688e-17, 4.000000000000000e+00
6, -1.924472747190228e-02, 0.000000000000000e+00, 1.312503431695627e-43, 5.464668609622124e-26, 3.121777788263462e-43, 9.344905528237591e-04, 2.620402446458428e-04, 6.713400901160362e+00, -1.297797041320256e-15, 1.937704287553816e+04, 4.859911611770710e+01, 1.096924069544455e-40, 4.567093986363486e-23, 2.609024184638901e-40, 7.810000000000000e-01, 2.190000000000000e-01, 3.422000000000012e+02, 9.906000000000040e+02, 9.905999999999955e+02, 5.610721358244788e+03, -1.084633211334644e-12, 8.866999999999985e+00, 6.338232959849991e-17, 3.999999999999999e+00, 1.345673921083817e-17, 3.999999999999999e+00
21, -1.395714581734536e-02, 0.000000000000000e+00, 1.567118875197395e-43, 6.105414166411862e-26, 3.740643206709399e-43, 9.344905528237600e-04, 2.620402446458430e-04, 6.713400901160371e+00, -3.047331873030840e-15, 1.937704287553820e+04, 4.859911611781158e+01, 1.309718795798239e-40, 5.102596756659718e-23, 3.126240640541830e-40, 7.810000000000000e-01, 2.190000000000000e-01, 3.422000000000015e+02, 9.906000000000040e+02, 9.905999999999955e+02, 5.610721358244788e+03, -2.546806049184251e-12, 8.866999999999987e+00, 8.149156662664273e-17, 4.000000000000000e+00, 1.085388605461843e-16, 4.000000000000000e+00
23, -1.009678458521239e-02, 0.000000000000000e+00, 1.765258065570978e-43, 6.566010749700664e-26, 4.225481370322935e-43, 9.344905528237607e-04, 2.620402446458432e-04, 6.713400901160376e+00, -2.831230937208470e-15, 1.937704287553821e+04, 4.859911611765349e+01, 1.475313522480245e-40, 5.487540114793797e-23, 3.531443886993036e-40, 7.810000000000000e-01, 2.190000000000000e-01, 3.422000000000018e+02, 9.906000000000040e+02, 9.905999999999955e+02, 5.610721358244788e+03, -2.366199802960268e-12, 8.866999999999988e+00, 9.658259748342843e-17, 4.000000000000000e+00, -3.265399906084489e-17, 4.000000000000000e+00
28, -7.278131510363134e-03, 0.000000000000000e+00, 1.902929391250270e-43, 6.876801461668514e-26, 4.562734270406806e-43, 9.344905528237601e-04, 2.620402446458431e-04, 6.713400901160369e+00, -8.267096757723414e-16, 1.937704287553818e+04, 4.859911611791490e+01, 1.590372262272349e-40, 5.747283292842458e-23, 3.813302825180911e-40, 7.810000000000000e-01, 2.190000000000000e-01, 3.422000000000016e+02, 9.906000000000040e+02, 9.905999999999955e+02, 5.610721358244786e+03, -6.909221873107225e-13, 8.866999999999983e+00, 8.752797896935702e-17, 4.000000000000000e+00, -8.801823390554278e-17, 4.000000000000000e+00
29, -5.219729353472306e-03, 0.000000000000000e+00, 2.014573322277525e-43, 7.119263857271693e-26, 4.837274713244177e-43, 9.344905528237595e-04, 2.620402446458429e-04, 6.713400901160365e+00, -2.144886996555686e-16, 1.937704287553817e+04, 4.859911611769409e+01, 1.683678620339653e-40, 5.949921115551191e-23, 4.042749859405158e-40, 7.810000000000000e-01, 2.190000000000000e-01, 3.422000000000014e+02, 9.906000000000040e+02, 9.905999999999955e+02, 5.610721358244787e+03, -1.792588206748750e-13, 8.866999999999985e+00, 7.243694811257132e-17, 4.000000000000000e+00, 2.582846023117431e-17, 4.000000000000000e+00
32, -3.716075109627959e-03, 0.000000000000000e+00, 2.106105037508094e-43, 7.312527537012968e-26, 5.062957803300713e-43, 9.344905528237592e-04, 2.620402446458428e-04, 6.713400901160363e+00, 3.402543678496737e-16, 1.937704287553817e+04, 4.859911611769343e+01, 1.760176204375216e-40, 6.111441136724058e-23, 4.231364386113377e-40, 7.810000000000000e-01, 2.190000000000000e-01, 3.422000000000012e+02, 9.906000000000040e+02, 9.905999999999955e+02, 5.610721358244787e+03, 2.843674133329760e-13, 8.866999999999985e+00, 6.338232959849991e-17, 4.000000000000000e+00, 7.692855014104805e-17, 4.000000000000000e+00
33, -2.617116624604489e-03, 0.000000000000000e+00, 2.168847708067367e-43, 7.444039023994739e-26, 5.217618435400140e-43, 9.344905528237560e-04, 2.620402446458419e-04, 6.713400901160341e+00, -2.551269652907170e-16, 1.937704287553811e+04, 4.859911611789111e+01, 1.812613359099496e-40, 6.221351794485574e-23, 4.360621930028267e-40, 7.809999999999999e-01, 2.190000000000000e-01, 3.422000000000002e+02, 9.906000000000040e+02, 9.905999999999955e+02, 5.610721358244787e+03, -2.132222303264195e-13, 8.866999999999985e+00, 9.054618514071415e-18, 4.000000000000000e+00, -8.827905424988656e-17, 4.000000000000000e+00
