x,S1_M,S1_P,S1_T,S1_beta
-0.05,1.060818812174389e-15,4.824596709591062e-18,1.7245893781239073e-17,0.9869042054052171
-0.036321868903065,1.0193214333928283e-15,7.96162423359041e-18,1.7245893781239073e-17,0.986904205405217
-0.02650896669203175,8.682302836140456e-16,1.517448914701199e-17,1.4110276730104786e-17,0.9869042054052166
-0.019468917466196032,7.689684878018718e-16,3.1100786306446063e-17,1.4110276730104687e-17,0.9869042054052164
-0.01441803665817253,5.548122562375727e-16,6.002928265853052e-17,9.410266280605772e-18,0.9869042054052157
-0.01079409732605052,4.506813031150075e-16,1.1750657369872418e-16,9.439744569334364e-18,0.9869042054052153
-0.008193750092243442,2.7187808382512346e-16,2.169813650992437e-16,5.2222506076082825e-18,0.9869042054052147
-0.006327637772575889,2.0096509985993492e-16,4.020923749644363e-16,5.885371476985681e-18,0.9869042054052142
-0.0049881893861881965,9.884204574161272e-17,7.10132729771653e-16,4.888332263626577e-18,0.9869042054052134
-0.004026523985122925,6.579486291190167e-17,1.2505062489054115e-15,1.2191033274367478e-17,0.986904205405213
-0.003335871429679449,2.5138117338070233e-17,2.1160941786087354e-15,2.81997702610029e-17,0.9869042054052124
-0.00283967477847865,1.488074064692205e-17,3.553750391930456e-15,8.077175767763728e-17,0.9869042054052122
-0.002483045367522009,3.9928596080463734e-18,5.771476993554987e-15,1.9215288588606203e-16,0.986904205405212
-0.0022041559146859647,2.071387284460523e-18,9.271776300655231e-15,4.704889239531355e-16,0.9869042054052121
-0.001928636425350724,2.9806169233233055e-19,1.4473108081154794e-14,1.011561343334414e-15,0.9869042054052124
-0.001653116936015483,1.3323110341875123e-19,2.229877840532135e-14,2.1660253211482765e-15,0.986904205405213
-0.0013775974466796038,0.0,3.350324760967776e-14,4.238664119824075e-15,0.9869042054052135
-0.00110207795734342,0.0,4.961562118424616e-14,8.137293129237522e-15,0.9869042054052147
-0.0008265584680072213,0.0,7.184940175038806e-14,1.4634069359736138e-14,0.9869042054052165
-0.0005510389786710299,0.0,1.0247800950286859e-13,2.5628927331425897e-14,0.9869042054052206
-0.0002755194893352339,0.0,1.4322863748135532e-13,4.26930189360166e-14,0.9869042054052297
0.0,0.0,1.9711177816572983e-13,6.90549340190423e-14,0.9869042054052494
0.0002687398190813291,0.0,2.662704704532712e-13,1.0727297453016233e-13,0.986904205405289
0.0005374796381626582,0.0,3.542023996662684e-13,1.6174059206721395e-13,0.9869042054053652
0.0008062194572439872,0.0,4.631555763224814e-13,2.357277621065108e-13,0.9869042054055035
0.001074959276325316,0.0,5.965869120225066e-13,3.3379240513793635e-13,0.9869042054057433
0.0013436990954066462,0.0,7.56341749253931e-13,4.59022536412518e-13,0.986904205406141
0.0016124389144879779,0.0,9.451087079960903e-13,6.144744621288328e-13,0.9869042054067696
0.001881178733569316,0.0,1.1637473634120166e-12,8.018389576902577e-13,0.9869042054077153
0.002149918552650655,0.0,1.4134460732830113e-12,1.0212442130227638e-12,0.9869042054090637
0.002418658371731993,0.0,1.6936148282608728e-12,1.272168862719574e-12,0.9869042054108779
0.002687398190813331,0.0,2.0034448146771423e-12,1.5518075702148686e-12,0.9869042054131819
0.002956138009894669,0.0,2.340729612097456e-12,1.857740041356252e-12,0.9869042054159394
0.003224877828975986,0.0,2.7025640604063365e-12,2.186133554837758e-12,0.9869042054190542
0.003493617648057295,0.0,3.0853180101402206e-12,2.5343572969575083e-12,0.986904205422396
0.003762357467138606,0.0,3.4842785576570665e-12,2.9006347830178236e-12,0.9869042054258074
0.004031097286219916,0.0,3.8948576099672195e-12,3.284764418253449e-12,0.9869042054291709
0.004299837105301226,0.0,4.311034141811411e-12,3.689819966327865e-12,0.9869042054323897
0.004568576924382532,0.0,4.727830656157732e-12,4.120576946130174e-12,0.9869042054354346
0.004837316743463812,0.0,5.138405545048495e-12,4.5861447190061414e-12,0.9869042054382984
0.005106056562545092,0.0,5.53793016167507e-12,5.097207961286126e-12,0.9869042054409984
0.005374796381626372,0.0,5.919106681033251e-12,5.667769762123104e-12,0.9869042054435448
0.005643536200707652,0.0,6.277749125431208e-12,6.312389238712459e-12,0.9869042054459244
0.005912276019788932,5.75318842549928e-16,6.60642147532119e-12,7.046694621403367e-12,0.9869042054481068
0.006181015838870209,1.6165756095147736e-15,6.902103168613569e-12,7.884425709677701e-12,0.9869042054500309
0.0064497556579514856,9.616102524152762e-15,7.157679973866381e-12,8.839040410135939e-12,0.9869042054516206
0.006718495477032762,2.3180427036202437e-14,7.371882751926939e-12,9.918916014121305e-12,0.9869042054527958
0.0069872352961140366,7.529544657148297e-14,7.538639759273973e-12,1.1133458180481534e-11,0.9869042054534535
0.007255975115195314,1.577689755349047e-13,7.65896236839743e-12,1.248463199854406e-11,0.986904205453543
0.007524714934276591,3.6954278991555556e-13,7.728707099643465e-12,1.3978808354202228e-11,0.9869042054529906
0.0077934547533578934,6.813145495768459e-13,7.751371756478192e-12,1.561428947117798e-11,0.9869042054518269
0.0080621945724392,1.285375768044532e-12,7.725497350219068e-12,1.7396328726670005e-11,0.9869042054500672
0.008330934391520507,2.1111209172274254e-12,7.656691452255803e-12,1.9322841445209743e-11,0.9869042054478224
0.008599674210601814,3.406360183736247e-12,7.546488203570836e-12,2.139787830617147e-11,0.9869042054451784
0.00886841402968312,5.051676896837705e-12,7.40158881722459e-12,2.3619803910236788e-11,0.9869042054422679
0.009137153848764415,7.249471349878103e-12,7.226243879965823e-12,2.598916664895926e-11,0.9869042054391848
0.009405893667845696,9.857339251044014e-12,7.0268270175723545e-12,2.8503710061391323e-11,0.9869042054360436
